"Early Reflections"											
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce (full horizontal rear)"		"Total Early Reflection"	
"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"
20.5078	42.0243	20.5078	39.7654	20.5078	41.7326	20.5078	43.0568	20.5078	50.9746	20.5078	45.6982
21.9727	44.6986	21.9727	44.9962	21.9727	45.8235	21.9727	44.3454	21.9727	51.4778	21.9727	47.2763
23.4375	44.958	23.4375	44.2081	23.4375	45.5778	23.4375	44.6223	23.4375	52.7911	23.4375	47.9649
24.9023	46.9389	24.9023	47.0026	24.9023	48.025	24.9023	46.0861	24.9023	53.1037	24.9023	49.1167
26.3672	47.5619	26.3672	47.5394	26.3672	48.2979	26.3672	47.3659	26.3672	54.87	26.3672	50.3566
27.832	49.4937	27.832	49.4732	27.832	50.2009	27.832	49.3152	27.832	56.1408	27.832	51.9254
29.2969	51.1129	29.2969	51.0432	29.2969	51.7903	29.2969	50.6289	29.2969	56.8295	29.2969	53.0313
30.7617	52.3356	30.7617	52.5749	30.7617	53.0849	30.7617	52.0662	30.7617	58.0932	30.7617	54.3494
32.2266	54.8139	32.2266	54.8827	32.2266	55.4033	32.2266	54.4622	32.2266	59.0395	32.2266	56.1039
33.6914	55.3962	33.6914	55.3575	33.6914	55.8724	33.6914	55.1323	33.6914	60.2662	33.6914	56.9295
35.1562	56.7304	35.1562	56.9256	35.1562	57.2175	35.1562	56.6779	35.1562	61.5427	35.1562	58.3026
36.6211	58.6069	36.6211	58.6225	36.6211	58.9083	36.6211	58.5693	36.6211	62.8996	36.6211	59.9127
38.0859	59.8638	38.0859	59.9053	38.0859	60.1534	38.0859	59.8325	38.0859	63.8528	38.0859	61.0544
39.5508	61.3571	39.5508	61.3589	39.5508	61.5859	39.5508	61.3195	39.5508	64.9528	39.5508	62.3845
41.0156	62.5501	41.0156	62.5309	41.0156	62.7371	41.0156	62.5403	41.0156	66.0623	41.0156	63.5416
42.4805	63.9805	42.4805	63.8607	42.4805	64.0645	42.4805	63.9999	42.4805	67.3194	42.4805	64.8823
43.9453	65.3346	43.9453	65.3248	43.9453	65.4382	43.9453	65.3831	43.9453	68.3994	43.9453	66.1685
45.4102	66.5695	45.4102	66.5253	45.4102	66.6289	45.4102	66.6432	45.4102	69.4659	45.4102	67.3388
46.875	67.9318	46.875	67.874	46.875	67.9215	46.875	68.0373	46.875	70.5666	46.875	68.6087
48.3398	69.1355	48.3398	69.0271	48.3398	69.1725	48.3398	69.1472	48.3398	71.4158	48.3398	69.6871
51.2695	71.3957	51.2695	71.2935	51.2695	71.3854	51.2695	71.4438	51.2695	73.4577	51.2695	71.8826
52.7344	72.541	52.7344	72.4521	52.7344	72.5222	52.7344	72.5965	52.7344	74.4598	52.7344	72.9894
54.1992	73.6195	54.1992	73.4888	54.1992	73.5755	54.1992	73.6653	54.1992	75.4161	54.1992	74.0202
55.6641	74.58	55.6641	74.4419	55.6641	74.519	55.6641	74.6371	55.6641	76.3182	55.6641	74.9624
58.5938	76.3581	58.5938	76.2093	58.5938	76.2673	58.5938	76.4289	58.5938	77.8911	58.5938	76.6805
60.0586	77.1753	60.0586	77.0335	60.0586	77.0863	60.0586	77.2481	60.0586	78.6326	60.0586	77.4799
62.9883	78.5469	62.9883	78.4085	62.9883	78.4385	62.9883	78.6396	62.9883	79.9108	62.9883	78.8282
64.4531	79.0551	64.4531	78.9335	64.4531	78.9409	64.4531	79.1676	64.4531	80.3776	64.4531	79.3316
67.3828	79.8843	67.3828	79.7264	67.3828	79.7459	67.3828	79.9812	67.3828	81.0234	67.3828	80.1006
68.8477	80.1582	68.8477	79.9969	68.8477	80.0161	68.8477	80.2582	68.8477	81.2433	68.8477	80.3605
71.7773	80.6918	71.7773	80.5298	71.7773	80.5427	71.7773	80.7847	71.7773	81.6291	71.7773	80.8556
74.707	81.0047	74.707	80.8387	74.707	80.855	74.707	81.0887	74.707	81.8047	74.707	81.1334
77.6367	81.1157	77.6367	80.9498	77.6367	80.9624	77.6367	81.201	77.6367	81.8289	77.6367	81.2239
79.1016	81.1611	79.1016	80.9967	79.1016	81.0062	79.1016	81.2471	79.1016	81.8341	79.1016	81.2602
82.0312	81.269	82.0312	81.0983	82.0312	81.1066	82.0312	81.356	82.0312	81.8753	82.0312	81.3506
84.9609	81.2988	84.9609	81.1328	84.9609	81.1344	84.9609	81.3923	84.9609	81.8694	84.9609	81.3741
87.8906	81.2948	87.8906	81.1246	87.8906	81.1225	87.8906	81.3889	87.8906	81.8033	87.8906	81.3541
90.8203	81.3849	90.8203	81.2016	90.8203	81.2138	90.8203	81.4534	90.8203	81.7545	90.8203	81.4064
95.2148	81.465	95.2148	81.2532	95.2148	81.294	95.2148	81.5354	95.2148	81.7528	95.2148	81.4638
98.1445	81.4417	98.1445	81.2448	98.1445	81.2638	98.1445	81.5201	98.1445	81.7226	98.1445	81.4422
101.074	81.3846	101.074	81.1902	101.074	81.1972	101.074	81.4739	101.074	81.7415	101.074	81.4023
