"Early Reflections"
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce"		"Total Early Reflection"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	38.1731	20.5078	42.3765	20.5078	37.8265	20.5078	43.8957	20.5078	51.7261	20.5078	44.9116
21.2402	44.0653	21.2402	43.9963	21.2402	44.1306	21.2402	44.8014	21.2402	51.4747	21.2402	46.0885
21.9727	46.6894	21.9727	46.4179	21.9727	46.7278	21.9727	46.9303	21.9727	52.4776	21.9727	47.9586
22.7051	45.4011	22.7051	44.6104	22.7051	45.5195	22.7051	45.2542	22.7051	52.123	22.7051	46.8701
23.4375	45.9368	23.4375	45.1309	23.4375	46.1408	23.4375	45.6364	23.4375	52.6144	23.4375	47.3646
24.1699	46.4082	24.1699	45.9969	24.1699	46.5372	24.1699	46.6003	24.1699	53.5702	24.1699	48.169
25.6348	49.1418	25.6348	49.3198	25.6348	49.2787	25.6348	49.7278	25.6348	55.6245	25.6348	50.8061
26.3672	50.6482	26.3672	50.6193	26.3672	50.7267	26.3672	51.0116	26.3672	56.3488	26.3672	51.955
27.0996	51.3752	27.0996	51.3614	27.0996	51.4718	27.0996	51.6885	27.0996	56.8902	27.0996	52.6134
27.832	52.7402	27.832	52.7766	27.832	52.8176	27.832	53.0706	27.832	57.8424	27.832	53.8609
29.2969	54.7617	29.2969	54.7808	29.2969	54.8079	29.2969	55.0551	29.2969	59.3195	29.2969	55.7114
30.0293	55.8479	30.0293	55.9539	30.0293	55.8759	30.0293	56.2078	30.0293	60.2443	30.0293	56.782
31.4941	58.354	31.4941	58.4433	31.4941	58.3735	31.4941	58.6355	31.4941	62.0043	31.4941	59.0779
32.2266	59.1811	32.2266	59.3051	32.2266	59.2061	32.2266	59.4748	32.2266	62.718	32.2266	59.8886
33.6914	61.198	33.6914	61.4209	33.6914	61.2096	33.6914	61.5805	33.6914	64.5427	33.6914	61.9023
34.4238	62.3052	34.4238	62.5102	34.4238	62.3126	34.4238	62.6609	34.4238	65.3945	34.4238	62.9441
35.8887	64.306	35.8887	64.5574	35.8887	64.3175	35.8887	64.6755	35.8887	67.1459	35.8887	64.9063
37.3535	66.3336	37.3535	66.6016	37.3535	66.3394	37.3535	66.7095	37.3535	68.9233	37.3535	66.8895
38.8184	68.3465	38.8184	68.6212	38.8184	68.3501	38.8184	68.716	38.8184	70.6929	38.8184	68.8564
39.5508	69.3377	39.5508	69.6008	39.5508	69.3374	39.5508	69.6928	39.5508	71.5486	39.5508	69.8165
41.0156	70.9444	41.0156	71.2124	41.0156	70.9445	41.0156	71.2943	41.0156	73.0061	41.0156	71.3966
42.4805	72.8644	42.4805	73.1297	42.4805	72.8568	42.4805	73.2103	42.4805	74.7612	42.4805	73.2857
43.9453	74.4014	43.9453	74.6621	43.9453	74.392	43.9453	74.7368	43.9453	76.1597	43.9453	74.7956
45.4102	75.869	45.4102	76.145	45.4102	75.8602	45.4102	76.2128	45.4102	77.5354	45.4102	76.2539
47.6074	77.7203	47.6074	77.9921	47.6074	77.7102	47.6074	78.0533	47.6074	79.2172	47.6074	78.0744
49.0723	78.5597	49.0723	78.8307	49.0723	78.5499	49.0723	78.8872	49.0723	79.9615	49.0723	78.8975
50.5371	79.1581	50.5371	79.4253	50.5371	79.1468	50.5371	79.4793	50.5371	80.4766	50.5371	79.4806
52.7344	79.7188	52.7344	79.9901	52.7344	79.7109	52.7344	80.0325	52.7344	80.9206	52.7344	80.023
54.1992	79.9194	54.1992	80.192	54.1992	79.9143	54.1992	80.2266	54.1992	81.0475	54.1992	80.2115
56.3965	80.0762	56.3965	80.3445	56.3965	80.0715	56.3965	80.3748	56.3965	81.1153	56.3965	80.3523
58.5938	80.1761	58.5938	80.4549	58.5938	80.1787	58.5938	80.4725	58.5938	81.1412	58.5938	80.4443
60.0586	80.2246	60.0586	80.4905	60.0586	80.2233	60.0586	80.5149	60.0586	81.145	60.0586	80.4819
62.2559	80.2062	62.2559	80.4447	62.2559	80.1979	62.2559	80.4735	62.2559	81.0281	62.2559	80.4365
64.4531	80.2561	64.4531	80.4901	64.4531	80.2492	64.4531	80.5144	64.4531	81.0123	64.4531	80.4741
66.6504	80.3192	66.6504	80.542	66.6504	80.312	66.6504	80.5645	66.6504	81.0055	66.6504	80.5217
69.5801	80.4809	69.5801	80.6887	69.5801	80.4742	69.5801	80.7064	69.5801	81.0744	69.5801	80.6622
71.7773	80.6132	71.7773	80.8165	71.7773	80.6077	71.7773	80.8314	71.7773	81.1601	71.7773	80.7856
73.9746	80.7511	73.9746	80.9555	73.9746	80.7487	73.9746	80.9637	73.9746	81.2565	73.9746	80.9171
76.9043	80.9048	76.9043	81.1031	76.9043	80.902	76.9043	81.1096	76.9043	81.3655	76.9043	81.0613
79.834	81.1283	79.834	81.3185	79.834	81.1296	79.834	81.3187	79.834	81.5229	79.834	81.2712
82.7637	81.3929	82.7637	81.5791	82.7637	81.4041	82.7637	81.561	82.7637	81.6844	82.7637	81.5168
85.6934	81.6146	85.6934	81.7634	85.6934	81.6169	85.6934	81.7605	85.6934	81.8387	85.6934	81.7151
88.623	81.7388	88.623	81.8967	88.623	81.7356	88.623	81.9014	88.623	82.0233	88.623	81.8526
91.5527	81.9845	91.5527	82.1545	91.5527	81.9924	91.5527	82.14	91.5527	82.2214	91.5527	82.0942
94.4824	82.1674	94.4824	82.3072	94.4824	82.174	94.4824	82.2976	94.4824	82.3346	94.4824	82.2551
98.1445	82.4597	98.1445	82.6157	98.1445	82.4834	98.1445	82.5784	98.1445	82.5437	98.1445	82.5398
101.807	82.6527	101.807	82.8151	101.807	82.6813	101.807	82.7725	101.807	82.7384	101.807	82.7354
105.469	82.8418	105.469	83.0128	105.469	82.8857	105.469	82.9422	105.469	82.8626	105.469	82.9147
109.131	83.1968	109.131	83.3526	109.131	83.2463	109.131	83.2734	109.131	83.1262	109.131	83.2498
