"Estimated In-Room Response"	
"Estimated In-Room Response"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	44.8837
21.9727	46.6492
23.4375	48.2527
24.9023	49.0509
26.3672	50.576
27.832	52.4825
29.2969	53.9245
30.7617	55.3255
32.2266	56.6641
33.6914	58.1097
35.1563	59.5536
36.6211	60.9543
38.0859	62.2497
39.5508	63.5338
41.0156	64.9102
42.4805	65.9766
43.9453	66.9357
45.4102	67.7901
46.875	68.7484
48.3398	69.9588
51.2695	71.3385
52.7344	71.5598
54.1992	71.7631
55.6641	71.8672
58.5938	71.693
60.0586	71.6641
62.9883	71.992
64.4531	72.1789
67.3828	72.9873
68.8477	73.176
71.7773	73.788
74.707	74.3664
77.6367	74.7054
79.1016	74.7198
82.0313	74.7724
84.9609	74.7366
87.8906	74.6778
90.8203	74.5917
95.2148	74.3721
98.1445	74.2261
101.074	74.1532
105.469	74.217
108.398	74.1763
112.793	74.2758
117.188	74.3979
120.117	74.5979
124.512	75.0432
128.906	75.4903
133.301	75.6975
139.16	75.764
143.555	75.8435
147.949	75.7666
153.809	75.8971
159.668	76.4485
165.527	77.0797
171.387	77.2398
177.246	77.2591
183.105	77.1631
188.965	77.1292
196.289	77.1368
203.613	77.0627
210.938	76.9722
218.262	77.1357
225.586	77.4355
232.91	77.7068
241.699	77.6649
250.488	77.979
259.277	78.9231
268.066	79.9105
276.855	80.9321
287.109	81.7329
297.363	81.8006
307.617	82.0046
319.336	81.8778
329.59	82.2199
341.309	82.627
353.027	82.8517
366.211	82.2594
379.395	81.6811
392.578	81.1476
405.762	80.5056
420.41	81.0322
435.059	80.6485
451.172	80.5265
465.82	79.8846
483.398	80.7599
499.512	80.8917
517.09	81.059
536.133	80.752
555.176	81.0398
574.219	80.4667
594.727	80.6902
615.234	80.1378
637.207	80.2938
659.18	79.3371
682.617	79.4365
707.52	80.0659
732.422	80.0544
757.324	79.9678
785.156	80.6824
811.523	80.6683
840.82	80.5961
870.117	79.792
900.879	79.8063
933.105	79.9274
965.332	79.7025
1,000.49	80.161
1,035.64	80.2193
1,072.27	79.4735
1,108.89	79.4106
1,148.44	79.2195
1,189.45	78.7346
1,230.47	79.4744
1,274.41	79.0034
1,319.82	79.4842
1,366.7	78.8941
1,413.57	78.4751
1,463.38	79.422
1,516.11	79.4441
1,568.85	79.7737
1,624.51	79.0285
1,681.64	79.1373
1,741.7	79.7439
1,803.22	79.3914
1,866.21	79.0294
1,932.13	79.0384
1,999.51	79.19
2,069.82	78.6382
2,143.07	78.5993
2,219.24	78.7303
2,296.88	78.1285
2,378.91	78.4127
2,462.4	78.048
2,548.83	77.2836
2,639.65	78.6649
2,731.93	78.6279
2,828.61	78.2241
2,928.22	78.5512
3,030.76	78.7496
3,137.7	78.5482
3,249.02	78.6497
3,363.28	78.5726
3,481.93	78.4322
3,604.98	78.4933
3,732.42	78.0035
3,864.26	78.8531
4,000.49	78.3446
4,141.11	78.587
4,287.6	78.7168
4,438.48	78.783
4,595.21	78.8567
4,756.35	78.8396
4,924.8	78.4338
5,097.66	78.4836
5,277.83	78.0044
5,463.87	76.8878
5,657.23	77.267
5,856.45	78.3704
6,062.99	78.5699
6,276.86	77.0599
6,498.05	76.3055
6,726.56	77.1411
6,963.87	77.5
7,209.96	77.318
7,464.84	77.2019
7,727.05	76.4154
7,999.51	75.4117
8,282.23	75.3962
8,573.73	75.6252
8,876.95	75.7533
9,188.96	74.8388
9,514.16	73.9791
9,849.61	74.0465
10,196.8	73.8627
10,555.7	73.4212
10,927.7	73.7672
11,313	74.3116
11,712.9	72.898
12,126	72.3564
12,553.7	73.1162
12,996.1	74.08
13,454.6	74.3636
13,929.2	73.9652
14,419.9	72.977
14,928.2	68.6483
15,455.6	65.1903
16,000.5	62.7448
16,564.5	59.3022
17,148.9	57.4597
17,752.4	56.3906
18,379.4	55.4034
19,026.9	55.616
19,697.8	54.8218
19,999.5	54.3822
