"Vertical Reflections"
"Floor Reflection"		"Ceiling Reflection"		"Total Vertical Reflection"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	58.0589	20.5078	55.88	20.5078	57.1047
21.2402	58.9837	21.2402	57.9293	21.2402	58.4884
21.9727	58.0547	21.9727	56.3735	21.9727	57.2949
22.7051	59.1827	22.7051	56.9285	22.7051	58.2002
23.4375	60.8974	23.4375	58.9455	23.4375	60.0302
24.1699	61.8975	24.1699	60.2901	24.1699	61.1678
25.6348	63.6342	25.6348	62.0758	25.6348	62.9245
26.3672	64.4307	26.3672	62.888	26.3672	63.7275
27.0996	65.577	27.0996	64.205	27.0996	64.9449
27.832	66.1247	27.832	64.7622	27.832	65.4967
29.2969	67.947	29.2969	66.7605	29.2969	67.3941
30.0293	68.7306	30.0293	67.6368	30.0293	68.218
31.4941	70.1227	31.4941	69.1434	31.4941	69.6606
32.2266	70.796	32.2266	69.868	32.2266	70.3568
33.6914	72.1023	33.6914	71.2381	33.6914	71.6917
34.4238	72.6405	34.4238	71.8245	34.4238	72.2516
35.8887	73.641	35.8887	72.8828	35.8887	73.2784
37.3535	74.5669	37.3535	73.8652	37.3535	74.2302
38.8184	75.3005	38.8184	74.6432	38.8184	74.9842
39.5508	75.6083	39.5508	74.9814	39.5508	75.3062
41.0156	76.2518	41.0156	75.7085	41.0156	75.9886
42.4805	76.5605	42.4805	75.9821	42.4805	76.2809
43.9453	77.0169	43.9453	76.4743	43.9453	76.7541
45.4102	77.3028	45.4102	76.7915	45.4102	77.0547
47.6074	77.7228	47.6074	77.2562	47.6074	77.4957
49.0723	77.9486	49.0723	77.5052	49.0723	77.7326
50.5371	78.1592	50.5371	77.7261	50.5371	77.9481
52.7344	78.4263	52.7344	78.028	52.7344	78.2317
54.1992	78.615	54.1992	78.2237	54.1992	78.4237
56.3965	78.8379	56.3965	78.4842	56.3965	78.6646
58.5938	79.1354	58.5938	78.7812	58.5938	78.9619
60.0586	79.19	60.0586	78.8445	60.0586	79.0207
62.2559	79.4039	62.2559	79.0756	62.2559	79.2428
64.4531	79.6447	64.4531	79.3293	64.4531	79.4899
66.6504	79.8451	66.6504	79.5304	66.6504	79.6906
69.5801	80.1659	69.5801	79.8766	69.5801	80.0237
71.7773	80.34	71.7773	80.0627	71.7773	80.2035
73.9746	80.5977	73.9746	80.3316	73.9746	80.4667
76.9043	80.8433	76.9043	80.5928	76.9043	80.7199
79.834	81.0563	79.834	80.8071	79.834	80.9335
82.7637	81.3879	82.7637	81.151	82.7637	81.2711
85.6934	81.6985	85.6934	81.459	85.6934	81.5804
88.623	81.8704	88.623	81.6264	88.623	81.7501
91.5527	81.6701	91.5527	81.4805	91.5527	81.5763
94.4824	82.2516	94.4824	82.0555	94.4824	82.1546
98.1445	82.4622	98.1445	82.2734	98.1445	82.3688
101.807	82.6773	101.807	82.5269	101.807	82.6028
105.469	82.8851	105.469	82.7653	105.469	82.8257
109.131	83.1746	109.131	83.0186	109.131	83.0973
112.793	83.4267	112.793	83.2624	112.793	83.3453
116.455	83.6192	116.455	83.4649	116.455	83.5427
120.85	83.8483	120.85	83.726	120.85	83.7876
125.244	84.066	125.244	83.8779	125.244	83.973
129.639	84.2379	129.639	84.0495	129.639	84.1447
134.033	84.3075	134.033	84.1115	134.033	84.2106
138.428	84.4902	138.428	84.2697	138.428	84.3813
143.555	84.6512	143.555	84.3917	143.555	84.5234
148.682	84.7857	148.682	84.537	148.682	84.6631
153.809	84.9459	153.809	84.7122	153.809	84.8307
159.668	85.1941	159.668	84.9498	159.668	85.0737
164.795	85.2821	164.795	85.0406	164.795	85.163
170.654	85.2427	170.654	85.042	170.654	85.1435
176.514	85.3446	176.514	85.0782	176.514	85.2134
183.105	85.3901	183.105	85.095	183.105	85.245
189.697	85.4249	189.697	85.2613	189.697	85.3438
196.289	85.4543	196.289	85.3901	196.289	85.4223
202.881	85.5768	202.881	85.3949	202.881	85.4868
210.205	85.5614	210.205	85.4029	210.205	85.4829
217.529	85.5083	217.529	85.4261	217.529	85.4674
225.586	85.7024	225.586	85.5366	225.586	85.6203
232.91	85.9005	232.91	85.6186	232.91	85.7618
241.699	85.8318	241.699	85.4787	241.699	85.6588
249.756	85.9574	249.756	85.4353	249.756	85.7042
258.545	86.0127	258.545	85.4446	258.545	85.738
268.066	85.6408	268.066	84.5664	268.066	85.1367
277.588	85.0314	277.588	85.0243	277.588	85.0279
287.109	84.8259	287.109	85.0002	287.109	84.9139
