* Freq[Hz]      Mag   Phase[Deg]
21.8102     21.630     0.000
22.1274     21.054     0.000
22.4492     19.840     0.000
22.7758     19.870     0.000
23.1071     22.001     0.000
23.4432     24.467     0.000
23.7841     25.950     0.000
24.1301     26.378     0.000
24.4811     25.568     0.000
24.8372     23.752     0.000
25.1984     21.450     0.000
25.5649     20.780     0.000
25.9368     22.198     0.000
26.3141     23.733     0.000
26.6968     24.308     0.000
27.0851     24.013     0.000
27.4791     23.506     0.000
27.8788     23.818     0.000
28.2843     25.592     0.000
28.6957     27.835     0.000
29.1131     29.880     0.000
29.5365     31.565     0.000
29.9661     33.021     0.000
30.4020     34.359     0.000
30.8442     35.579     0.000
31.2929     36.582     0.000
31.7480     37.333     0.000
32.2098     37.974     0.000
32.6783     38.762     0.000
33.1536     39.785     0.000
33.6359     40.809     0.000
34.1251     41.611     0.000
34.6215     42.294     0.000
35.1250     43.151     0.000
35.6359     44.245     0.000
36.1543     45.249     0.000
36.6802     45.908     0.000
37.2137     46.446     0.000
37.7550     47.464     0.000
38.3041     49.073     0.000
38.8613     50.630     0.000
39.4265     51.596     0.000
40.0000     51.983     0.000
40.5818     52.311     0.000
41.1721     53.140     0.000
41.7710     54.346     0.000
42.3785     55.458     0.000
42.9949     56.366     0.000
43.6203     57.242     0.000
44.2548     58.148     0.000
44.8985     59.018     0.000
45.5515     59.869     0.000
46.2141     60.758     0.000
46.8863     61.639     0.000
47.5683     62.443     0.000
48.2602     63.209     0.000
48.9621     64.004     0.000
49.6743     64.836     0.000
50.3968     65.671     0.000
51.1299     66.487     0.000
51.8736     67.268     0.000
52.6281     67.998     0.000
53.3936     68.683     0.000
54.1702     69.348     0.000
54.9581     69.996     0.000
55.7575     70.552     0.000
56.5685     70.953     0.000
57.3914     71.279     0.000
58.2261     71.661     0.000
59.0730     72.072     0.000
59.9323     72.444     0.000
60.8040     72.779     0.000
61.6884     73.050     0.000
62.5857     73.229     0.000
63.4960     73.335     0.000
64.4196     73.376     0.000
65.3566     73.357     0.000
66.3073     73.331     0.000
67.2717     73.341     0.000
68.2502     73.362     0.000
69.2429     73.348     0.000
70.2501     73.346     0.000
71.2719     73.391     0.000
72.3086     73.489     0.000
73.3603     73.582     0.000
74.4274     73.600     0.000
75.5099     73.588     0.000
76.6083     73.577     0.000
77.7226     73.562     0.000
78.8531     73.526     0.000
80.0000     73.420     0.000
81.1636     73.196     0.000
82.3442     73.057     0.000
83.5419     72.970     0.000
84.7570     72.884     0.000
85.9899     72.804     0.000
87.2406     72.737     0.000
88.5096     72.703     0.000
89.7970     72.697     0.000
91.1031     72.764     0.000
92.4282     72.711     0.000
93.7726     72.871     0.000
95.1366     72.825     0.000
96.5204     72.687     0.000
97.9243     72.720     0.000
99.3486     72.638     0.000
100.794     72.648     0.000
102.260     72.545     0.000
103.747     72.520     0.000
105.256     72.568     0.000
106.787     72.520     0.000
108.340     72.368     0.000
109.916     72.481     0.000
111.515     72.549     0.000
113.137     72.372     0.000
114.783     72.380     0.000
116.452     72.331     0.000
118.146     72.306     0.000
119.865     72.471     0.000
121.608     72.462     0.000
123.377     72.552     0.000
125.171     72.590     0.000
126.992     72.735     0.000
128.839     72.671     0.000
130.713     72.371     0.000
132.615     72.415     0.000
134.543     72.453     0.000
136.500     72.322     0.000
138.486     72.429     0.000
140.500     72.516     0.000
142.544     72.680     0.000
144.617     72.756     0.000
146.721     72.628     0.000
148.855     72.473     0.000
151.020     72.501     0.000
153.217     72.569     0.000
155.445     72.719     0.000
157.706     72.800     0.000
160.000     72.706     0.000
162.327     72.528     0.000
164.688     72.635     0.000
167.084     72.808     0.000
169.514     72.811     0.000
171.980     72.858     0.000
174.481     72.865     0.000
177.019     72.788     0.000
179.594     72.910     0.000
182.206     72.739     0.000
184.856     72.596     0.000
187.545     72.657     0.000
190.273     72.541     0.000
193.041     72.581     0.000
195.849     72.619     0.000
198.697     72.552     0.000
201.587     72.706     0.000
204.520     72.586     0.000
207.494     72.483     0.000
210.512     72.503     0.000
213.574     72.541     0.000
216.681     72.505     0.000
219.833     72.412     0.000
223.030     72.516     0.000
226.274     72.406     0.000
229.565     72.382     0.000
232.905     72.324     0.000
236.292     72.355     0.000
239.729     72.293     0.000
243.216     72.298     0.000
246.754     72.295     0.000
250.343     72.257     0.000
253.984     72.266     0.000
257.678     72.369     0.000
261.426     72.330     0.000
265.229     72.147     0.000
269.087     72.013     0.000
273.001     72.031     0.000
276.972     71.897     0.000
281.000     71.813     0.000
285.088     71.832     0.000
289.234     71.787     0.000
293.441     71.664     0.000
297.709     71.773     0.000
302.040     71.633     0.000
