"SPL Vertical"
"On-Axis"		"10°"		"-10°"		"20°"		"-20°"		"30°"		"-30°"		"40°"		"-40°"		"50°"		"-50°"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
999.756	75.552	999.756	75.6081	999.756	75.225	999.756	75.3483	999.756	74.6962	999.756	74.7647	999.756	74.0429	999.756	73.9047	999.756	73.3284	999.756	72.8963	999.756	72.5748
1,034.91	75.2245	1,034.91	75.4148	1,034.91	74.7074	1,034.91	75.2501	1,034.91	73.9345	1,034.91	74.7373	1,034.91	73.0192	1,034.91	73.9129	1,034.91	72.0979	1,034.91	72.843	1,034.91	71.2808
1,071.53	75.4196	1,071.53	75.7809	1,071.53	74.7669	1,071.53	75.7628	1,071.53	73.9303	1,071.53	75.3048	1,071.53	73.0313	1,071.53	74.3919	1,071.53	72.1885	1,071.53	73.0923	1,071.53	71.4729
1,109.62	75.4839	1,109.62	75.8678	1,109.62	74.734	1,109.62	75.8692	1,109.62	73.6798	1,109.62	75.5014	1,109.62	72.4518	1,109.62	74.805	1,109.62	71.2413	1,109.62	73.8475	1,109.62	70.2225
1,148.44	75.4593	1,148.44	75.9634	1,148.44	74.6237	1,148.44	76.0953	1,148.44	73.5327	1,148.44	75.8213	1,148.44	72.3424	1,148.44	75.1301	1,148.44	71.2738	1,148.44	74.0836	1,148.44	70.4843
1,189.45	75.3529	1,189.45	75.8874	1,189.45	74.4214	1,189.45	75.9822	1,189.45	73.2091	1,189.45	75.6221	1,189.45	71.9375	1,189.45	74.8201	1,189.45	70.853	1,189.45	73.6824	1,189.45	70.0376
1,231.2	75.1603	1,231.2	75.7717	1,231.2	74.1403	1,231.2	75.9581	1,231.2	72.8104	1,231.2	75.7045	1,231.2	71.4209	1,231.2	74.968	1,231.2	70.3069	1,231.2	73.7324	1,231.2	69.6086
1,274.41	74.6092	1,274.41	75.3618	1,274.41	73.4891	1,274.41	75.7589	1,274.41	72.1024	1,274.41	75.8036	1,274.41	70.7634	1,274.41	75.4228	1,274.41	69.8825	1,274.41	74.4963	1,274.41	69.5357
1,319.82	74.5416	1,319.82	75.3433	1,319.82	73.2671	1,319.82	75.7249	1,319.82	71.6631	1,319.82	75.7724	1,319.82	70.2051	1,319.82	75.4774	1,319.82	69.4537	1,319.82	74.727	1,319.82	69.3396
1,365.97	74.5548	1,365.97	75.3365	1,365.97	73.1479	1,365.97	75.5881	1,365.97	71.3079	1,365.97	75.5165	1,365.97	69.7063	1,365.97	75.2436	1,365.97	69.0726	1,365.97	74.6745	1,365.97	69.1209
1,414.31	74.3891	1,414.31	75.4372	1,414.31	72.6442	1,414.31	75.7609	1,414.31	70.6267	1,414.31	75.5512	1,414.31	69.2843	1,414.31	75.0826	1,414.31	69.1365	1,414.31	74.4714	1,414.31	69.4718
1,464.11	74	1,464.11	75.3579	1,464.11	72.0887	1,464.11	75.973	1,464.11	70.1506	1,464.11	75.8486	1,464.11	69.1212	1,464.11	75.1684	1,464.11	69.322	1,464.11	74.236	1,464.11	69.9172
1,515.38	73.7291	1,515.38	75.1587	1,515.38	71.7757	1,515.38	75.9034	1,515.38	69.6937	1,515.38	75.8736	1,515.38	68.4777	1,515.38	75.1132	1,515.38	68.7102	1,515.38	73.868	1,515.38	69.4335
1,568.85	73.8541	1,568.85	75.1137	1,568.85	71.8733	1,568.85	75.7306	1,568.85	69.5285	1,568.85	75.7183	1,568.85	68.3236	1,568.85	74.9994	1,568.85	68.8878	1,568.85	73.5804	1,568.85	69.7553
1,624.51	74.3333	1,624.51	75.373	1,624.51	72.444	1,624.51	75.6735	1,624.51	70.1842	1,624.51	75.473	1,624.51	69.0823	1,624.51	74.8747	1,624.51	69.6843	1,624.51	73.7894	1,624.51	70.598
1,681.64	74.2053	1,681.64	75.5049	1,681.64	71.9089	1,681.64	75.904	1,681.64	69.1397	1,681.64	75.6839	1,681.64	67.8206	1,681.64	75.0739	1,681.64	68.6747	1,681.64	74.0349	1,681.64	69.8252
1,740.97	74.2088	1,740.97	75.8858	1,740.97	71.5667	1,740.97	76.439	1,740.97	68.7937	1,740.97	76.0758	1,740.97	67.5991	1,740.97	75.2813	1,740.97	68.2814	1,740.97	74.4108	1,740.97	69.3817
1,802.49	74.6113	1,802.49	76.3044	1,802.49	72.0663	1,802.49	76.925	1,802.49	68.9481	1,802.49	76.3793	1,802.49	66.5522	1,802.49	74.9351	1,802.49	66.955	1,802.49	73.3468	1,802.49	68.476
1,866.21	74.843	1,866.21	76.5161	1,866.21	72.078	1,866.21	77.2132	1,866.21	67.9429	1,866.21	76.8441	1,866.21	64.0383	1,866.21	75.3937	1,866.21	65.1953	1,866.21	73.1746	1,866.21	67.469
1,932.13	74.6634	1,932.13	76.2027	1,932.13	71.7426	1,932.13	76.7121	1,932.13	66.6593	1,932.13	76.2106	1,932.13	61.3642	1,932.13	74.653	1,932.13	65.0233	1,932.13	72.2169	1,932.13	68.0115
2,000.24	75.6123	2,000.24	77.0418	2,000.24	72.2566	2,000.24	77.0762	2,000.24	65.9258	2,000.24	76.0763	2,000.24	60.1766	2,000.24	74.2763	2,000.24	65.7139	2,000.24	71.8517	2,000.24	68.6215
2,070.56	75.6946	2,070.56	77.5421	2,070.56	71.9157	2,070.56	77.8241	2,070.56	64.7786	2,070.56	76.7359	2,070.56	58.8545	2,070.56	74.5256	2,070.56	66.4724	2,070.56	71.4911	2,070.56	69.4353
2,143.8	75.3948	2,143.8	77.1613	2,143.8	71.7577	2,143.8	77.5974	2,143.8	63.7283	2,143.8	76.6904	2,143.8	59.0413	2,143.8	74.4114	2,143.8	67.6009	2,143.8	71.0217	2,143.8	70.3797
2,219.24	75.9662	2,219.24	77.5279	2,219.24	72.0315	2,219.24	77.5958	2,219.24	62.3453	2,219.24	76.4672	2,219.24	60.5305	2,219.24	74.0073	2,219.24	68.7148	2,219.24	69.9007	2,219.24	71.3904
2,297.61	76.1701	2,297.61	78.0739	2,297.61	71.6514	2,297.61	77.9879	2,297.61	60.0632	2,297.61	76.0856	2,297.61	63.2245	2,297.61	72.4137	2,297.61	70.059	2,297.61	66.8629	2,297.61	72.2971
2,378.17	76.1414	2,378.17	77.6629	2,378.17	72.0496	2,378.17	77.3892	2,378.17	60.3851	2,378.17	75.2723	2,378.17	63.9675	2,378.17	71.0754	2,378.17	70.3476	2,378.17	65.2025	2,378.17	72.2805
2,462.4	76.3921	2,462.4	77.6727	2,462.4	72.2505	2,462.4	76.9695	2,462.4	60.6045	2,462.4	74.5712	2,462.4	63.6151	2,462.4	70.6076	2,462.4	70.1173	2,462.4	66.2777	2,462.4	71.9649
2,548.83	76.0891	2,548.83	77.3418	2,548.83	72.2711	2,548.83	76.6729	2,548.83	62.6902	2,548.83	74.2986	2,548.83	62.3018	2,548.83	70.2758	2,548.83	69.4148	2,548.83	64.7607	2,548.83	71.4755
2,638.92	75.9924	2,638.92	77.4045	2,638.92	71.7779	2,638.92	76.6277	2,638.92	62.1082	2,638.92	73.5545	2,638.92	64.4047	2,638.92	67.5568	2,638.92	69.5554	2,638.92	62.944	2,638.92	71.1444
2,731.93	76.148	2,731.93	77.4087	2,731.93	71.7728	2,731.93	76.1856	2,731.93	61.4054	2,731.93	72.4747	2,731.93	65.7669	2,731.93	67.1132	2,731.93	70.4299	2,731.93	66.1269	2,731.93	71.5738
2,828.61	76.5602	2,828.61	77.5872	2,828.61	72.3194	2,828.61	76.0074	2,828.61	61.531	2,828.61	71.8512	2,828.61	65.8325	2,828.61	67.4524	2,828.61	70.7755	2,828.61	67.8302	2,828.61	71.9589
2,928.22	76.3688	2,928.22	77.0217	2,928.22	72.6412	2,928.22	74.9876	2,928.22	63.1722	2,928.22	70.7772	2,928.22	64.2968	2,928.22	69.0744	2,928.22	70.5467	2,928.22	70.598	2,928.22	72.3303
3,031.49	75.9597	3,031.49	76.1526	3,031.49	73.1213	3,031.49	74.1619	3,031.49	66.4507	3,031.49	71.6578	3,031.49	61.9922	3,031.49	71.5117	3,031.49	69.2266	3,031.49	71.8358	3,031.49	71.9863
3,138.43	75.221	3,138.43	75.6628	3,138.43	72.6694	3,138.43	74.2331	3,138.43	67.9267	3,138.43	72.0756	3,138.43	65.0874	3,138.43	71.1529	3,138.43	68.6349	3,138.43	70.5108	3,138.43	70.9314
3,249.02	74.9244	3,249.02	75.2054	3,249.02	72.504	3,249.02	73.6333	3,249.02	68.2213	3,249.02	71.6622	3,249.02	66.3168	3,249.02	70.6372	3,249.02	69.0496	3,249.02	68.8273	3,249.02	70.8308
3,363.28	74.2793	3,363.28	74.5238	3,363.28	72.257	3,363.28	73.4068	3,363.28	68.8037	3,363.28	71.8568	3,363.28	67.0358	3,363.28	69.9083	3,363.28	68.9915	3,363.28	66.9054	3,363.28	70.6636
3,481.93	73.5475	3,481.93	74.0956	3,481.93	71.8029	3,481.93	73.4417	3,481.93	69.4247	3,481.93	71.6647	3,481.93	68.3099	3,481.93	68.9849	3,481.93	69.3542	3,481.93	67.0432	3,481.93	70.5015
3,604.98	73.1587	3,604.98	74.0011	3,604.98	71.2756	3,604.98	73.4394	3,604.98	69.5361	3,604.98	71.4715	3,604.98	69.4321	3,604.98	69.0567	3,604.98	70.411	3,604.98	68.5522	3,604.98	71.0288
3,732.42	72.613	3,732.42	73.7952	3,732.42	70.7608	3,732.42	73.3725	3,732.42	69.7766	3,732.42	71.154	3,732.42	70.2617	3,732.42	68.9281	3,732.42	71.1301	3,732.42	69.6447	3,732.42	71.4891
3,863.53	71.8733	3,863.53	73.2681	3,863.53	70.0214	3,863.53	72.9197	3,863.53	69.5097	3,863.53	70.4243	3,863.53	70.4703	3,863.53	69.4306	3,863.53	71.4802	3,863.53	71.8881	3,863.53	71.8427
3,999.76	71.2293	3,999.76	73.0014	3,999.76	69.4296	3,999.76	72.6013	3,999.76	69.7999	3,999.76	69.9358	3,999.76	70.9855	3,999.76	70.7665	3,999.76	71.4295	3,999.76	72.7775	3,999.76	71.2266
4,141.11	71.5721	4,141.11	73.1719	4,141.11	69.0767	4,141.11	72.028	4,141.11	69.7604	4,141.11	69.6678	4,141.11	71.8029	4,141.11	71.9647	4,141.11	72.3745	4,141.11	73.0566	4,141.11	71.5824
4,286.87	71.7651	4,286.87	73.0473	4,286.87	69.2572	4,286.87	71.969	4,286.87	69.3975	4,286.87	70.9363	4,286.87	71.9711	4,286.87	72.8183	4,286.87	73.1983	4,286.87	72.477	4,286.87	72.9008
4,438.48	72.6236	4,438.48	73.4713	4,438.48	70.3412	4,438.48	72.1205	4,438.48	69.8332	4,438.48	71.4389	4,438.48	71.992	4,438.48	73.0559	4,438.48	73.1232	4,438.48	72.2943	4,438.48	72.9198
4,594.48	73.4422	4,594.48	73.4501	4,594.48	71.6141	4,594.48	71.8119	4,594.48	70.2123	4,594.48	71.9953	4,594.48	72.0207	4,594.48	73.1716	4,594.48	73.4569	4,594.48	72.0618	4,594.48	73.3818
4,757.08	73.6098	4,757.08	73.1849	4,757.08	72.5338	4,757.08	72.0227	4,757.08	71.072	4,757.08	72.2707	4,757.08	71.9598	4,757.08	72.8059	4,757.08	73.3446	4,757.08	72.9348	4,757.08	73.4999
4,924.8	73.798	4,924.8	73.5155	4,924.8	73.0011	4,924.8	72.3308	4,924.8	71.6263	4,924.8	72.0486	4,924.8	71.4765	4,924.8	73.2243	4,924.8	72.3875	4,924.8	73.5077	4,924.8	72.8958
5,098.39	74.3614	5,098.39	73.9115	5,098.39	73.9394	5,098.39	72.8011	5,098.39	72.7073	5,098.39	72.5692	5,098.39	71.5528	5,098.39	73.2688	5,098.39	71.2916	5,098.39	73.1145	5,098.39	71.2923
5,277.83	75.0337	5,277.83	74.4973	5,277.83	74.6202	5,277.83	72.9322	5,277.83	73.6231	5,277.83	72.4114	5,277.83	72.4433	5,277.83	73.5693	5,277.83	71.2533	5,277.83	72.7476	5,277.83	70.1144
5,463.87	75.9273	5,463.87	74.6967	5,463.87	75.3243	5,463.87	72.1293	5,463.87	73.5695	5,463.87	72.6161	5,463.87	72.2825	5,463.87	73.7137	5,463.87	71.4642	5,463.87	71.747	5,463.87	70.0206
5,656.49	75.6984	5,656.49	73.3948	5,656.49	76.2105	5,656.49	71.8644	5,656.49	74.5955	5,656.49	73.2952	5,656.49	72.035	5,656.49	73.2567	5,656.49	70.3567	5,656.49	71.2384	5,656.49	69.2315
5,856.45	75.051	5,856.45	72.9972	5,856.45	75.8238	5,856.45	72.1634	5,856.45	74.7508	5,856.45	73.4476	5,856.45	72.6077	5,856.45	73.3509	5,856.45	70.3862	5,856.45	71.7279	5,856.45	68.0502
6,062.99	74.8161	6,062.99	72.9533	6,062.99	75.542	6,062.99	72.6726	6,062.99	74.4419	6,062.99	73.7922	6,062.99	72.4697	6,062.99	73.7997	6,062.99	70.5684	6,062.99	72.4576	6,062.99	69.1547
6,276.86	74.5715	6,276.86	73.2648	6,276.86	75.2607	6,276.86	73.2009	6,276.86	74.5073	6,276.86	74.1671	6,276.86	72.782	6,276.86	73.9539	6,276.86	70.7797	6,276.86	71.9586	6,276.86	68.991
6,498.05	74.3586	6,498.05	73.4762	6,498.05	74.8396	6,498.05	73.4689	6,498.05	74.1439	6,498.05	73.9551	6,498.05	72.6884	6,498.05	73.3566	6,498.05	71.1581	6,498.05	70.9071	6,498.05	69.901
6,727.29	74.5508	6,727.29	73.9455	6,727.29	74.6113	6,727.29	73.7903	6,727.29	73.8498	6,727.29	73.8967	6,727.29	72.7152	6,727.29	72.5169	6,727.29	71.6268	6,727.29	70.186	6,727.29	70.38
6,964.6	75.3174	6,964.6	75.0143	6,964.6	74.9735	6,964.6	74.6722	6,964.6	73.8272	6,964.6	74.0658	6,964.6	72.6319	6,964.6	72.2876	6,964.6	71.8698	6,964.6	70.1163	6,964.6	70.9361
7,209.96	76.1615	7,209.96	75.7296	7,209.96	75.5027	7,209.96	74.9769	7,209.96	73.926	7,209.96	74.0657	7,209.96	72.7282	7,209.96	72.3113	7,209.96	72.1312	7,209.96	70.363	7,209.96	70.9802
7,464.11	76.0315	7,464.11	75.6034	7,464.11	75.5885	7,464.11	75.0523	7,464.11	74.1446	7,464.11	74.0907	7,464.11	73.0378	7,464.11	72.0478	7,464.11	72.2172	7,464.11	69.9255	7,464.11	70.5941
7,727.78	76.0965	7,727.78	75.736	7,727.78	75.5767	7,727.78	74.9643	7,727.78	74.198	7,727.78	73.4763	7,727.78	73.2564	7,727.78	71.4248	7,727.78	72.3254	7,727.78	69.9578	7,727.78	70.5876
8,000.24	75.2922	8,000.24	74.6559	8,000.24	75.1597	8,000.24	73.7282	8,000.24	74.1435	8,000.24	72.3741	8,000.24	73.4098	8,000.24	71.0569	8,000.24	72.2804	8,000.24	69.8962	8,000.24	70.1458
8,282.23	73.7779	8,282.23	73.6012	8,282.23	74.0312	8,282.23	73.1562	8,282.23	73.7894	8,282.23	72.1912	8,282.23	73.467	8,282.23	71.3699	8,282.23	72.0375	8,282.23	69.578	8,282.23	69.5649
8,574.46	74.6848	8,574.46	75.1074	8,574.46	73.7416	8,574.46	74.1516	8,574.46	73.2088	8,574.46	72.5236	8,574.46	73.1471	8,574.46	71.1336	8,574.46	71.8194	8,574.46	69.0043	8,574.46	69.1697
8,876.22	76.1998	8,876.22	76.3605	8,876.22	74.503	8,876.22	74.6259	8,876.22	73.2254	8,876.22	72.5326	8,876.22	73.0398	8,876.22	71.1968	8,876.22	71.3778	8,876.22	69.439	8,876.22	69.0027
9,189.7	76.9627	9,189.7	76.9303	9,189.7	75.5116	9,189.7	75.0217	9,189.7	74.0618	9,189.7	72.802	9,189.7	72.974	9,189.7	71.4722	9,189.7	70.7109	9,189.7	68.8798	9,189.7	68.5959
9,513.43	77.3663	9,513.43	76.9856	9,513.43	76.0344	9,513.43	74.5952	9,513.43	74.4581	9,513.43	72.7131	9,513.43	73.0963	9,513.43	70.9393	9,513.43	70.5564	9,513.43	67.5123	9,513.43	68.2214
9,848.88	76.1577	9,848.88	75.2539	9,848.88	75.7989	9,848.88	73.629	9,848.88	74.7202	9,848.88	72.5415	9,848.88	72.8749	9,848.88	70.5307	9,848.88	69.9643	9,848.88	67.952	9,848.88	67.7439
10,196.8	75.2698	10,196.8	74.8809	10,196.8	75.4915	10,196.8	74.378	10,196.8	74.7565	10,196.8	73.1929	10,196.8	72.7569	10,196.8	71.2645	10,196.8	69.7644	10,196.8	67.5924	10,196.8	67.5792
10,556.4	75.2838	10,556.4	75.5537	10,556.4	75.1045	10,556.4	75.0529	10,556.4	74.3055	10,556.4	73.5061	10,556.4	72.4607	10,556.4	71.3656	10,556.4	69.862	10,556.4	66.8763	10,556.4	67.1722
10,928.5	75.8708	10,928.5	76.3915	10,928.5	75.1479	10,928.5	75.5561	10,928.5	73.9187	10,928.5	73.5533	10,928.5	71.7464	10,928.5	70.85	10,928.5	69.0174	10,928.5	65.8575	10,928.5	66.3166
11,313.7	76.3545	11,313.7	76.3986	11,313.7	75.5628	11,313.7	74.8967	11,313.7	73.8814	11,313.7	72.5117	11,313.7	71.3379	11,313.7	69.7184	11,313.7	68.4138	11,313.7	65.1713	11,313.7	64.9177
11,712.9	76.6918	11,712.9	76.2055	11,712.9	76.012	11,712.9	74.497	11,712.9	73.9452	11,712.9	72.394	11,712.9	70.6094	11,712.9	69.2018	11,712.9	67.3024	11,712.9	64.6719	11,712.9	63.9527
12,126	76.8792	12,126	76.2903	12,126	76.2311	12,126	75.0176	12,126	74.0705	12,126	72.7567	12,126	70.9296	12,126	69.1926	12,126	67.5998	12,126	65.3633	12,126	63.0723
12,553.7	76.3725	12,553.7	76.1403	12,553.7	75.8735	12,553.7	75.4174	12,553.7	73.9883	12,553.7	72.649	12,553.7	70.6044	12,553.7	69.2461	12,553.7	67.1216	12,553.7	65.8945	12,553.7	62.7904
12,996.1	76.2083	12,996.1	76.4156	12,996.1	75.4632	12,996.1	75.5011	12,996.1	73.6071	12,996.1	72.2484	12,996.1	70.4613	12,996.1	69.5766	12,996.1	67.1654	12,996.1	65.6847	12,996.1	61.6082
13,454.6	76.3172	13,454.6	76.4462	13,454.6	75.4364	13,454.6	75.2333	13,454.6	73.2923	13,454.6	71.8948	13,454.6	69.6769	13,454.6	68.9	13,454.6	66.0575	13,454.6	64.6337	13,454.6	59.8057
13,928.5	77.3934	13,928.5	77.248	13,928.5	75.8639	13,928.5	75.1066	13,928.5	73.1083	13,928.5	71.3208	13,928.5	68.9589	13,928.5	67.7422	13,928.5	64.1193	13,928.5	62.889	13,928.5	57.324
14,419.9	78.3841	14,419.9	77.5706	14,419.9	76.8441	14,419.9	75.025	14,419.9	73.5948	14,419.9	70.9429	14,419.9	68.4579	14,419.9	66.2279	14,419.9	63.0649	14,419.9	61.4542	14,419.9	57.5189
14,928.2	78.1469	14,928.2	76.9355	14,928.2	76.9047	14,928.2	74.608	14,928.2	73.9763	14,928.2	70.4284	14,928.2	68.7135	14,928.2	65.5802	14,928.2	64.4255	14,928.2	60.9157	14,928.2	57.8834
15,454.8	76.9896	15,454.8	76.3637	15,454.8	75.6025	15,454.8	74.1161	15,454.8	72.8654	15,454.8	69.42	15,454.8	68.1385	15,454.8	64.6758	15,454.8	64.5985	15,454.8	59.2435	15,454.8	56.6807
15,999.8	77.0143	15,999.8	76.2025	15,999.8	75.3098	15,999.8	73.0824	15,999.8	72.025	15,999.8	68.0049	15,999.8	66.8481	15,999.8	62.2661	15,999.8	61.7513	15,999.8	56.5167	15,999.8	53.7457
16,564.5	77.1848	16,564.5	75.6519	16,564.5	75.3853	16,564.5	71.5683	16,564.5	71.6345	16,564.5	66.2475	16,564.5	65.5604	16,564.5	59.5931	16,564.5	59.5664	16,564.5	52.8945	16,564.5	50.8938
17,148.2	76.4656	17,148.2	74.8657	17,148.2	74.5707	17,148.2	70.8093	17,148.2	70.6583	17,148.2	65.4475	17,148.2	64.5482	17,148.2	57.8915	17,148.2	58.9679	17,148.2	49.1891	17,148.2	49.3434
17,753.2	75.5582	17,753.2	73.9344	17,753.2	73.6657	17,753.2	69.7162	17,753.2	69.6375	17,753.2	63.7939	17,753.2	63.4126	17,753.2	55.8781	17,753.2	56.7593	17,753.2	46.385	17,753.2	46.6438
18,379.4	74.9543	18,379.4	73.2487	18,379.4	72.8824	18,379.4	68.5691	18,379.4	68.4956	18,379.4	62.6624	18,379.4	62.2491	18,379.4	53.8661	18,379.4	53.993	18,379.4	43.149	18,379.4	43.0036
19,027.6	75.0428	19,027.6	73.2441	19,027.6	72.5633	19,027.6	67.8066	19,027.6	67.4568	19,027.6	61.4797	19,027.6	60.7517	19,027.6	50.5176	19,027.6	50.2426	19,027.6	41.9494	19,027.6	42.9455
19,698.5	74.965	19,698.5	72.827	19,698.5	72.3508	19,698.5	66.6802	19,698.5	66.7604	19,698.5	60.3113	19,698.5	59.7717	19,698.5	48.8158	19,698.5	48.649	19,698.5	41.1876	19,698.5	44.7059
19,999.5	74.5541	19,999.5	72.1467	19,999.5	72.1333	19,999.5	65.98	19,999.5	66.9612	19,999.5	59.8447	19,999.5	60.2049	19,999.5	46.673	19,999.5	47.4681	19,999.5	42.2535	19,999.5	43.0293
