"SPL Vertical"
"On-Axis"		"10°"		"-10°"		"20°"		"-20°"		"30°"		"-30°"		"40°"		"-40°"		"50°"		"-50°"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
27.832	17.488	27.832	17.4597	27.832	17.5357	27.832	17.4521	27.832	17.6008	27.832	17.4666	27.832	17.6815	27.832	17.504	27.832	17.7761	27.832	17.5648	27.832	17.8827
29.2969	9.97201	29.2969	9.86739	29.2969	10.011	29.2969	9.7003	29.2969	9.98245	29.2969	9.47506	29.2969	9.88605	29.2969	9.1974	29.2969	9.72423	29.2969	8.87521	29.2969	9.50332
30.0293	19.9579	30.0293	19.8652	30.0293	20.0261	30.0293	19.7504	30.0293	20.0672	30.0293	19.616	30.0293	20.0791	30.0293	19.4646	30.0293	20.0598	30.0293	19.299	30.0293	20.0078
31.4941	23.7717	31.4941	23.7289	31.4941	23.7976	31.4941	23.6712	31.4941	23.8046	31.4941	23.6007	31.4941	23.7908	31.4941	23.5194	31.4941	23.7546	31.4941	23.4291	31.4941	23.6949
32.2266	28.2025	32.2266	28.1033	32.2266	28.2958	32.2266	28.0005	32.2266	28.381	32.2266	27.8963	32.2266	28.4555	32.2266	27.7931	32.2266	28.5172	32.2266	27.6929	32.2266	28.5638
33.6914	32.2354	33.6914	32.182	33.6914	32.2929	33.6914	32.1345	33.6914	32.3525	33.6914	32.0945	33.6914	32.4121	33.6914	32.0633	33.6914	32.4697	33.6914	32.0419	33.6914	32.5232
34.4238	32.1457	34.4238	32.099	34.4238	32.196	34.4238	32.0575	34.4238	32.248	34.4238	32.0223	34.4238	32.2998	34.4238	31.9945	34.4238	32.3493	34.4238	31.9747	34.4238	32.3945
35.8887	33.796	35.8887	33.6889	35.8887	33.9015	35.8887	33.5829	35.8887	34.0025	35.8887	33.4803	35.8887	34.0962	35.8887	33.3835	35.8887	34.1794	35.8887	33.2944	35.8887	34.2491
37.3535	35.9303	37.3535	35.8446	37.3535	36.0122	37.3535	35.7574	37.3535	36.0879	37.3535	35.6708	37.3535	36.1548	37.3535	35.5869	37.3535	36.2107	37.3535	35.5076	37.3535	36.2531
38.8184	38.7948	38.8184	38.7078	38.8184	38.8796	38.8184	38.621	38.8184	38.9598	38.8184	38.5367	38.8184	39.0327	38.8184	38.4569	38.8184	39.0959	38.8184	38.3835	38.8184	39.1468
39.5508	39.9487	39.5508	39.8438	39.5508	40.0501	39.5508	39.7384	39.5508	40.1453	39.5508	39.635	39.5508	40.2312	39.5508	39.536	39.5508	40.3049	39.5508	39.4439	39.5508	40.3635
41.0156	42.5757	41.0156	42.5457	41.0156	42.6009	41.0156	42.512	41.0156	42.6204	41.0156	42.4753	41.0156	42.6334	41.0156	42.4364	41.0156	42.6388	41.0156	42.3961	41.0156	42.6358
42.4805	44.8441	42.4805	44.7853	42.4805	44.9087	42.4805	44.7341	42.4805	44.9773	42.4805	44.6918	42.4805	45.0474	42.4805	44.6592	42.4805	45.1167	42.4805	44.6368	42.4805	45.1825
43.9453	45.8603	43.9453	45.7755	43.9453	45.9452	43.9453	45.6932	43.9453	46.0274	43.9453	45.6157	43.9453	46.1044	43.9453	45.545	43.9453	46.1736	43.9453	45.483	43.9453	46.2325
