"Directivity Index"
"Sound Power DI"		"Early Reflections DI"
"Frequency [Hz]"	"[dB] Directivity Index "	"Frequency [Hz]"	"[dB] Directivity Index "
20.5078	-3.31943	20.5078	-1.19509
21.2402	-2.09088	21.2402	-0.665141
21.9727	-1.79936	21.9727	-0.424278
22.7051	-1.32177	22.7051	-0.207192
23.4375	-1.26856	23.4375	-0.238955
24.1699	-0.802719	24.1699	-0.0932355
25.6348	-0.857243	25.6348	-0.0670986
26.3672	-0.688898	26.3672	-0.0543554
27.0996	-0.633814	27.0996	-0.0517652
27.832	-0.536483	27.832	-0.0096968
29.2969	-0.359969	29.2969	0.0458265
30.0293	-0.359665	30.0293	0.0328155
31.4941	-0.275924	31.4941	0.0428063
32.2266	-0.26883	32.2266	0.0396258
33.6914	-0.217247	33.6914	0.0544303
34.4238	-0.162766	34.4238	0.0674149
35.8887	-0.105725	35.8887	0.08213
37.3535	-0.0761528	37.3535	0.0863723
38.8184	-0.0293319	38.8184	0.0976286
39.5508	-0.0171345	39.5508	0.0991828
41.0156	0.0345457	41.0156	0.114143
42.4805	0.0436903	42.4805	0.111284
43.9453	0.0848093	43.9453	0.122548
45.4102	0.104533	45.4102	0.125498
47.6074	0.125489	47.6074	0.129068
49.0723	0.151329	49.0723	0.136061
50.5371	0.173532	50.5371	0.142232
52.7344	0.198149	52.7344	0.148194
54.1992	0.210343	54.1992	0.150739
56.3965	0.221184	56.3965	0.152339
58.5938	0.251697	58.5938	0.160476
60.0586	0.264472	60.0586	0.164475
62.2559	0.277436	62.2559	0.168413
64.4531	0.296021	64.4531	0.174523
66.6504	0.334743	66.6504	0.187303
69.5801	0.337545	69.5801	0.186954
71.7773	0.32047	71.7773	0.17996
73.9746	0.332819	73.9746	0.183292
76.9043	0.329084	76.9043	0.183002
79.834	0.342932	79.834	0.190983
82.7637	0.481068	82.7637	0.233594
85.6934	0.57662	85.6934	0.261262
88.623	0.245967	88.623	0.147913
91.5527	0.230441	91.5527	0.158271
94.4824	0.493684	94.4824	0.249555
98.1445	0.511519	98.1445	0.244659
101.807	0.466863	101.807	0.233513
105.469	0.464921	105.469	0.234867
109.131	0.48254	109.131	0.240383
112.793	0.495444	112.793	0.246096
116.455	0.525108	116.455	0.256856
120.85	0.513277	120.85	0.254045
125.244	0.503173	125.244	0.258217
129.639	0.594899	129.639	0.288585
134.033	0.598392	134.033	0.292439
138.428	0.594776	138.428	0.295159
143.555	0.627226	143.555	0.312765
148.682	0.676474	148.682	0.331269
153.809	0.753591	153.809	0.351467
159.668	0.711167	159.668	0.340532
164.795	0.72642	164.795	0.345915
170.654	0.701408	170.654	0.346156
176.514	0.760691	176.514	0.376798
183.105	0.843763	183.105	0.404579
189.697	0.869135	189.697	0.408433
196.289	0.841181	196.289	0.410643
202.881	0.923248	202.881	0.444797
210.205	0.963166	210.205	0.458495
217.529	0.973137	217.529	0.473754
225.586	1.09426	225.586	0.520213
232.91	1.23856	232.91	0.572868
241.699	1.27952	241.699	0.577491
249.756	1.38754	249.756	0.623415
258.545	1.40177	258.545	0.621487
268.066	1.4964	268.066	0.649325
277.588	1.50975	277.588	0.702394
287.109	1.74132	287.109	0.727066
297.363	1.80834	297.363	0.708018
307.617	1.67232	307.617	0.677277
318.604	1.82281	318.604	0.728688
329.59	1.70529	329.59	0.670089
341.309	1.68112	341.309	0.700905
353.76	1.90437	353.76	0.749175
366.211	1.96899	366.211	0.739218
378.662	1.87053	378.662	0.645862
392.578	1.56109	392.578	0.532534
405.762	1.45919	405.762	0.615794
420.41	1.49987	420.41	0.686317
435.059	2.58921	435.059	1.25698
450.439	2.12044	450.439	0.608241
466.553	1.86946	466.553	0.60437
482.666	1.96836	482.666	0.726462
500.244	2.01084	500.244	0.737931
517.822	2.22674	517.822	1.07969
536.133	2.97776	536.133	1.29292
554.443	2.72694	554.443	0.952999
574.219	2.81115	574.219	1.07175
594.727	3.17882	594.727	1.25325
615.234	3.16526	615.234	1.06484
637.207	3.00381	637.207	1.08298
659.912	2.68728	659.912	0.917641
683.35	2.3022	683.35	0.692492
706.787	2.39186	706.787	0.835135
731.689	1.63087	731.689	0.750756
758.057	-0.281835	758.057	0.775655
784.424	3.64982	784.424	1.71358
812.256	3.70235	812.256	1.73167
840.82	4.26235	840.82	2.04701
870.85	4.61548	870.85	2.15545
901.611	4.73016	901.611	2.06401
933.105	4.8986	933.105	2.13103
966.064	5.15673	966.064	2.17702
999.756	4.91787	999.756	2.03104
1,034.91	4.64318	1,034.91	1.74367
1,071.53	4.64228	1,071.53	1.72326
1,109.62	5.02869	1,109.62	2.00986
1,148.44	5.20867	1,148.44	2.1292
1,189.45	5.00946	1,189.45	2.02252
1,231.2	5.20539	1,231.2	2.25214
1,274.41	5.63932	1,274.41	2.50965
1,319.82	5.79261	1,319.82	2.42369
1,365.97	5.93371	1,365.97	2.44875
1,414.31	6.02445	1,414.31	2.48913
1,464.11	6.00326	1,464.11	2.46108
1,515.38	6.1536	1,515.38	2.47305
1,568.85	6.3329	1,568.85	2.48664
1,624.51	6.21573	1,624.51	2.34763
1,681.64	5.88401	1,681.64	2.16852
1,740.97	6.39428	1,740.97	2.43499
1,802.49	7.34863	1,802.49	3.0333
1,866.21	7.85117	1,866.21	3.36964
1,932.13	7.64535	1,932.13	3.35784
2,000.24	7.57855	2,000.24	3.48041
2,070.56	7.73728	2,070.56	3.64053
2,143.8	7.55203	2,143.8	3.67079
2,219.24	7.19849	2,219.24	3.6006
2,297.61	7.04764	2,297.61	3.58743
2,378.17	7.16419	2,378.17	3.54177
2,462.4	7.00726	2,462.4	3.50378
2,548.83	6.89034	2,548.83	3.34938
2,638.92	6.75668	2,638.92	3.27761
2,731.93	6.70196	2,731.93	3.21929
2,828.61	6.91465	2,828.61	3.25673
2,928.22	6.75165	2,928.22	3.11063
3,031.49	6.51805	3,031.49	3.04232
