"Horizontal Reflections"
"Front"		"Side"		"Rear"		"Total Horizontal Reflection"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	59.3405	20.5078	59.2242	20.5078	58.7047	20.5078	58.9821
21.2402	60.5853	21.2402	60.4886	21.2402	60.0562	21.2402	60.2857
21.9727	61.1577	21.9727	61.0623	21.9727	60.6437	21.9727	60.8661
22.7051	61.9435	22.7051	61.8469	22.7051	61.4184	22.7051	61.6459
23.4375	62.4857	23.4375	62.3754	23.4375	61.9133	23.4375	62.1605
24.1699	63.0315	24.1699	62.9131	24.1699	62.4339	24.1699	62.6914
25.6348	64.3059	25.6348	64.1894	25.6348	63.7337	25.6348	63.979
26.3672	65.035	26.3672	64.9122	26.3672	64.4453	26.3672	64.6976
27.0996	65.6189	27.0996	65.4959	27.0996	65.036	27.0996	65.2848
27.832	66.1265	27.832	66.0048	27.832	65.5532	27.832	65.7976
29.2969	67.2641	29.2969	67.1534	29.2969	66.7489	29.2969	66.9674
30.0293	67.6521	30.0293	67.5348	30.0293	67.1162	30.0293	67.3431
31.4941	68.7299	31.4941	68.6223	31.4941	68.2565	31.4941	68.4552
32.2266	69.1498	32.2266	69.0376	32.2266	68.6688	32.2266	68.8699
33.6914	69.9443	33.6914	69.8091	33.6914	69.3836	33.6914	69.6177
34.4238	70.4352	34.4238	70.3045	34.4238	69.9007	34.4238	70.1231
35.8887	71.3386	35.8887	71.2003	35.8887	70.7792	35.8887	71.0118
37.3535	72.0875	37.3535	71.9526	37.3535	71.5553	37.3535	71.7753
38.8184	72.9008	38.8184	72.7615	38.8184	72.3653	38.8184	72.5857
39.5508	73.3453	39.5508	73.1894	39.5508	72.7532	39.5508	72.997
41.0156	74.8035	41.0156	74.6767	41.0156	74.3069	41.0156	74.5115
42.4805	74.9462	42.4805	74.8169	42.4805	74.4595	42.4805	74.6585
43.9453	75.6545	43.9453	75.5121	43.9453	75.1273	43.9453	75.3427
45.4102	76.3389	45.4102	76.1891	45.4102	75.7929	45.4102	76.0154
47.6074	77.525	47.6074	77.3732	47.6074	76.992	47.6074	77.2075
49.0723	78.3144	49.0723	78.1634	49.0723	77.7949	49.0723	78.0039
50.5371	78.9563	50.5371	78.7984	50.5371	78.4205	50.5371	78.6357
52.7344	79.8047	52.7344	79.6394	52.7344	79.251	52.7344	79.4729
54.1992	80.4924	54.1992	80.3245	54.1992	79.9387	54.1992	80.1599
56.3965	81.3247	56.3965	81.161	56.3965	80.8062	56.3965	81.0111
58.5938	82.1107	58.5938	81.9443	58.5938	81.6009	58.5938	81.8007
60.0586	82.5072	60.0586	82.3355	60.0586	81.9913	60.0586	82.1926
62.2559	83.0877	62.2559	82.9017	62.2559	82.5341	62.2559	82.75
64.4531	83.6659	64.4531	83.4683	64.4531	83.0822	64.4531	83.3098
66.6504	84.1578	66.6504	83.9513	66.6504	83.5457	66.6504	83.7849
69.5801	84.6919	69.5801	84.492	69.5801	84.1328	69.5801	84.3475
71.7773	85.106	71.7773	84.8934	71.7773	84.5239	71.7773	84.7464
73.9746	85.52	73.9746	85.301	73.9746	84.9284	73.9746	85.1538
76.9043	85.9873	76.9043	85.7605	76.9043	85.3929	76.9043	85.6174
79.834	86.4439	79.834	86.2022	79.834	85.8209	79.834	86.0554
82.7637	86.7876	82.7637	86.5341	82.7637	86.1378	82.7637	86.3823
85.6934	87.0399	85.6934	86.7894	85.6934	86.4392	85.6934	86.6601
88.623	87.3409	88.623	87.0753	88.623	86.7223	88.623	86.9477
91.5527	87.5649	91.5527	87.2805	91.5527	86.912	91.5527	87.1492
94.4824	87.7554	94.4824	87.445	94.4824	87.041	94.4824	87.3016
98.1445	87.962	98.1445	87.639	98.1445	87.2135	98.1445	87.4877
101.807	88.0691	101.807	87.7185	101.807	87.2907	101.807	87.572
105.469	88.2459	105.469	87.8761	105.469	87.4124	105.469	87.7161
109.131	88.4378	109.131	88.0498	109.131	87.5923	109.131	87.8969
112.793	88.6101	112.793	88.1989	112.793	87.7356	112.793	88.0483
116.455	88.7408	116.455	88.2958	116.455	87.7933	116.455	88.1335
120.85	88.8999	120.85	88.4297	120.85	87.8354	120.85	88.2285
125.244	88.9562	125.244	88.4806	125.244	87.924	125.244	88.2989
129.639	88.9541	129.639	88.4621	129.639	87.9251	129.639	88.2936
134.033	88.9365	134.033	88.4198	134.033	87.8975	134.033	88.264
138.428	88.9098	138.428	88.362	138.428	87.8275	138.428	88.2074
143.555	88.8845	143.555	88.2975	143.555	87.7237	143.555	88.1329
148.682	88.9364	148.682	88.2955	148.682	87.669	148.682	88.1183
153.809	88.8306	153.809	88.1304	153.809	87.3692	153.809	87.9038
159.668	88.9406	159.668	88.2221	159.668	87.4637	159.668	88.0013
164.795	89.0219	164.795	88.2926	164.795	87.548	164.795	88.0808
170.654	88.9869	170.654	88.2306	170.654	87.5135	170.654	88.0382
176.514	88.8251	176.514	88.033	176.514	87.2871	176.514	87.8358
183.105	88.6797	183.105	87.832	183.105	87.0063	183.105	87.6117
189.697	88.697	189.697	87.785	189.697	86.8818	189.697	87.5454
196.289	88.7609	196.289	87.8059	196.289	87.0522	196.289	87.6455
202.881	88.4799	202.881	87.4825	202.881	86.7417	202.881	87.3387
210.205	88.2879	210.205	87.1508	210.205	86.3696	210.205	87.0244
217.529	88.3612	217.529	87.1272	217.529	86.1456	217.529	86.9369
225.586	88.6077	225.586	87.1534	225.586	86.1552	225.586	87.0165
232.91	88.9881	232.91	87.4998	232.91	85.5507	232.91	86.987
241.699	88.7277	241.699	87.34	241.699	85.3369	241.699	86.7759
249.756	88.9276	249.756	87.4724	249.756	85.233	249.756	86.8414
258.545	88.8045	258.545	87.4649	258.545	85.5394	258.545	86.9159
268.066	88.4352	268.066	86.87	268.066	85.0273	268.066	86.4215
277.588	88.6553	277.588	87.1171	277.588	85.0495	277.588	86.5753
287.109	88.4833	287.109	86.7842	287.109	84.8408	287.109	86.3396
297.363	89.0105	297.363	87.1896	297.363	84.0398	297.363	86.3754
307.617	89.1529	307.617	87.6662	307.617	84.7034	307.617	86.7958
318.604	89.2817	318.604	87.5561	318.604	84.067	318.604	86.6056
329.59	89.3885	329.59	87.8334	329.59	84.0167	329.59	86.7271
341.309	88.53	341.309	86.8756	341.309	84.5053	341.309	86.2617
353.76	88.9167	353.76	87.1606	353.76	83.0696	353.76	86.0529
366.211	88.6277	366.211	87.1323	366.211	83.1878	366.211	85.9687
378.662	88.8277	378.662	87.3247	378.662	83.0553	378.662	86.0759
392.578	87.8084	392.578	86.5467	392.578	82.2716	392.578	85.2095
405.762	87.3908	405.762	85.9754	405.762	82.4636	405.762	84.9088
420.41	87.6748	420.41	86.0661	420.41	80.7388	420.41	84.6042
435.059	87.0773	435.059	85.746	435.059	81.5369	435.059	84.4513
450.439	86.8119	450.439	85.5506	450.439	80.5567	450.439	84.0318
466.553	86.8454	466.553	85.2072	466.553	80.1758	466.553	83.8226
482.666	86.5539	482.666	84.9463	482.666	79.3941	482.666	83.4362
500.244	86.4887	500.244	84.8698	500.244	79.1904	500.244	83.338
517.822	85.7538	517.822	84.5322	517.822	79.313	517.822	82.9462
536.133	85.9007	536.133	83.7854	536.133	78.7344	536.133	82.5889
554.443	85.7746	554.443	83.6532	554.443	77.8377	554.443	82.3043
574.219	86.4109	574.219	84.1951	574.219	78.3427	574.219	82.8804
594.727	86.1275	594.727	83.5164	594.727	78.9269	594.727	82.6331
615.234	86.3314	615.234	83.5156	615.234	77.5577	615.234	82.456
637.207	87.3413	637.207	83.9807	637.207	79.3871	637.207	83.4384
659.912	86.8214	659.912	83.8135	659.912	77.3619	659.912	82.7673
683.35	87.343	683.35	83.8893	683.35	78.7094	683.35	83.2775
706.787	87.8019	706.787	84.0739	706.787	78.4724	706.787	83.5279
731.689	87.4487	731.689	83.978	731.689	77.4854	731.689	83.161
758.057	87.2473	758.057	83.4618	758.057	77.2834	758.057	82.8565
784.424	87.2144	784.424	83.7003	784.424	76.7157	784.424	82.8394
812.256	87.4616	812.256	83.6202	812.256	77.1531	812.256	83.0041
840.82	87.1807	840.82	83.3849	840.82	76.4205	840.82	82.6788
870.85	87.1009	870.85	83.279	870.85	76.1899	870.85	82.5719
901.611	87.3369	901.611	83.4453	901.611	75.0937	901.611	82.6429
933.105	87.4354	933.105	83.375	933.105	74.893	933.105	82.6585
966.064	87.312	966.064	83.1662	966.064	75.2499	966.064	82.5521
999.756	87.1347	999.756	82.7811	999.756	75.3632	999.756	82.3393
1,034.91	86.8263	1,034.91	82.4706	1,034.91	74.4725	1,034.91	81.9722
1,071.53	86.5399	1,071.53	82.1498	1,071.53	73.7751	1,071.53	81.638
1,109.62	86.0812	1,109.62	81.405	1,109.62	72.7162	1,109.62	81.0422
1,148.44	86.2957	1,148.44	81.3292	1,148.44	72.5528	1,148.44	81.1424
1,189.45	86.5007	1,189.45	81.2225	1,189.45	72.4924	1,189.45	81.24
1,231.2	86.9451	1,231.2	81.8496	1,231.2	72.1107	1,231.2	81.6831
1,274.41	86.642	1,274.41	81.8276	1,274.41	71.9599	1,274.41	81.4718
1,319.82	86.797	1,319.82	81.7216	1,319.82	71.7276	1,319.82	81.5275
1,365.97	86.7303	1,365.97	81.0795	1,365.97	72.6023	1,365.97	81.3612
1,414.31	86.6214	1,414.31	80.9484	1,414.31	71.9148	1,414.31	81.2083
1,464.11	86.7756	1,464.11	81.1736	1,464.11	71.2925	1,464.11	81.3369
