"Horizontal Reflections"
"Front"		"Side"		"Rear"		"Total Horizontal Reflection"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	46.7253	20.5078	46.8267	20.5078	48.8892	20.5078	48.0203
21.9727	54.6771	21.9727	54.9884	21.9727	55.3501	21.9727	55.1269
23.4375	49.2635	23.4375	50.0197	23.4375	52.7532	23.4375	51.5777
24.9023	47.4813	24.9023	48.8418	24.9023	51.5369	24.9023	50.308
26.3672	40.3809	26.3672	43.3589	26.3672	47.9161	26.3672	46.1072
27.832	39.1722	27.832	41.2545	27.832	46.8775	27.832	44.918
29.2969	41.1999	29.2969	45.872	29.2969	51.5116	29.2969	49.4473
30.7617	54.6775	30.7617	54.9912	30.7617	57.5461	30.7617	56.4808
32.2266	59.6947	32.2266	60.1248	32.2266	62.6565	32.2266	61.5839
33.6914	64.7111	33.6914	65.0453	33.6914	67.058	33.6914	66.1739
35.1562	68.1024	35.1562	68.3381	35.1562	69.9295	35.1562	69.2135
36.6211	71.021	36.6211	71.2513	36.6211	72.6841	36.6211	72.0294
38.0859	73.4989	38.0859	73.6391	38.0859	74.871	38.0859	74.3095
39.5508	75.9481	39.5508	76.0711	39.5508	77.2115	39.5508	76.6896
41.0156	77.9051	41.0156	78.0756	41.0156	79.2434	41.0156	78.7027
42.4805	80.0998	42.4805	80.2462	42.4805	81.3074	42.4805	80.8139
43.9453	82.3512	43.9453	82.5116	43.9453	83.5661	43.9453	83.073
45.4102	84.263	45.4102	84.4204	45.4102	85.4108	45.4102	84.9445
46.875	85.8468	46.875	86.0057	46.875	86.9365	46.875	86.4946
48.3398	87.1976	48.3398	87.3389	48.3398	88.1814	48.3398	87.7794
51.2695	89.1471	51.2695	89.2788	51.2695	89.9953	51.2695	89.6485
52.7344	89.8371	52.7344	89.9581	52.7344	90.6023	52.7344	90.2885
54.1992	90.3535	54.1992	90.467	54.1992	91.0442	54.1992	90.7608
55.6641	90.7607	55.6641	90.8617	55.6641	91.3689	55.6641	91.1185
58.5938	91.3258	58.5938	91.4084	58.5938	91.799	58.5938	91.6038
60.0586	91.471	60.0586	91.5426	60.0586	91.8751	60.0586	91.708
62.9883	91.7243	62.9883	91.7888	62.9883	92.0443	62.9883	91.9134
64.4531	91.805	64.4531	91.8636	64.4531	92.0793	64.4531	91.9678
67.3828	91.8746	67.3828	91.93	67.3828	92.1065	67.3828	92.0135
68.8477	91.8863	68.8477	91.948	68.8477	92.1218	68.8477	92.0289
71.7773	91.954	71.7773	92.0139	71.7773	92.1433	71.7773	92.0713
74.707	91.9656	74.707	92.0211	74.707	92.1032	74.707	92.054
77.6367	91.9842	77.6367	92.0503	77.6367	92.1281	77.6367	92.0789
79.1016	92.0049	79.1016	92.0689	79.1016	92.1295	79.1016	92.0887
82.0312	92.0524	82.0312	92.1053	82.0312	92.1123	82.0312	92.0988
84.9609	92.1151	84.9609	92.1551	84.9609	92.1191	84.9609	92.1284
87.8906	91.9502	87.8906	92.071	87.8906	92.2489	87.8906	92.1431
90.8203	92.0108	90.8203	92.1148	90.8203	92.2578	90.8203	92.1712
95.2148	92.1177	95.2148	92.1937	95.2148	92.1968	95.2148	92.1806
98.1445	92.2324	98.1445	92.28	98.1445	92.2205	98.1445	92.2394
101.074	92.2043	101.074	92.2561	101.074	92.2303	101.074	92.2324
105.469	92.1451	105.469	92.1895	105.469	92.1836	105.469	92.1778
108.398	92.268	108.398	92.312	108.398	92.2397	108.398	92.2654
112.793	92.3599	112.793	92.3874	112.793	92.2855	112.793	92.3285
117.188	92.3969	117.188	92.4256	117.188	92.375	117.188	92.3934
120.117	92.5382	120.117	92.5233	120.117	92.3369	120.117	92.4289
124.512	92.8025	124.512	92.7422	124.512	92.4644	124.512	92.61
128.906	92.7641	128.906	92.7148	128.906	92.4401	128.906	92.582
133.301	92.7927	133.301	92.7992	133.301	92.5882	133.301	92.6878
139.16	92.7911	139.16	92.8097	139.16	92.6534	139.16	92.7242
143.555	92.8744	143.555	92.8644	143.555	92.7541	143.555	92.8085
147.949	93.1007	147.949	93.0085	147.949	92.7767	147.949	92.9063
153.809	93.1191	153.809	92.9956	153.809	92.597	153.809	92.8152
159.668	93.1286	159.668	93.0372	159.668	92.6156	159.668	92.8386
165.527	93.052	165.527	92.9673	165.527	92.6441	165.527	92.8169
171.387	93.0118	171.387	92.955	171.387	92.6414	171.387	92.8039
177.246	92.9405	177.246	92.9207	177.246	92.8413	177.246	92.8829
