"Early Reflections"											
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce"		"Total Early Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	39.4301	20.5078	36.5718	20.5078	37.6787	20.5078	38.3546	20.5078	38.5289	20.5078	38.1751
21.9727	43.2535	21.9727	39.7106	21.9727	41.7067	21.9727	42.0313	21.9727	42.1728	21.9727	41.9177
23.4375	47.7234	23.4375	44.7031	23.4375	46.3866	23.4375	46.4424	23.4375	46.5897	23.4375	46.4513
24.9023	49.0748	24.9023	46.7251	24.9023	48.0067	24.9023	48.0403	24.9023	48.1033	24.9023	48.0425
26.3672	50.0925	26.3672	47.8093	26.3672	49.0537	26.3672	49.0255	26.3672	48.858	26.3672	49.0313
27.832	52.8581	27.832	50.9351	27.832	52.007	27.832	51.9774	27.832	51.8821	27.832	51.9802
29.2969	53.7943	29.2969	52.1458	29.2969	53.0288	29.2969	53.0394	29.2969	53.0733	29.2969	53.0424
30.7617	54.6942	30.7617	52.7988	30.7617	53.8443	30.7617	53.8154	30.7617	53.6903	30.7617	53.8168
32.2266	56.8949	32.2266	55.0154	32.2266	56.1028	32.2266	55.9282	32.2266	55.5965	32.2266	55.9691
33.6914	58.4681	33.6914	56.7633	33.6914	57.7563	33.6914	57.6324	33.6914	57.3532	33.6914	57.6504
35.1562	59.8499	35.1562	58.3204	35.1562	59.2034	35.1562	59.094	35.1562	58.8334	35.1562	59.1081
36.6211	61.6056	36.6211	59.9726	36.6211	60.9466	36.6211	60.7915	36.6211	60.4227	36.6211	60.8104
38.0859	62.1095	38.0859	60.7267	38.0859	61.5202	38.0859	61.4832	38.0859	61.3415	38.0859	61.4747
39.5508	63.6515	39.5508	62.2687	39.5508	63.0748	39.5508	62.99	39.5508	62.8009	39.5508	62.9975
41.0156	64.4773	41.0156	63.3217	41.0156	63.961	41.0156	63.9593	41.0156	63.936	41.0156	63.9521
42.4805	65.6514	42.4805	64.1694	42.4805	65.0905	42.4805	64.9111	42.4805	64.4967	42.4805	64.9292
43.9453	66.5739	43.9453	65.214	43.9453	66.0433	43.9453	65.8765	43.9453	65.5613	43.9453	65.9035
45.4102	67.5103	45.4102	66.2832	45.4102	67.0243	45.4102	66.8837	45.4102	66.6317	45.4102	66.9069
46.875	68.4407	46.875	67.1765	46.875	67.9408	46.875	67.8093	46.875	67.586	46.875	67.8306
