* Freq[Hz]      Mag   Phase[Deg]
5.00000   -240.000     0.000
5.07273   -240.000     0.000
5.14651   -240.000     0.000
5.22137   -240.000     0.000
5.29732   -240.000     0.000
5.37437   -240.000     0.000
5.45254   -240.000     0.000
5.53185   -240.000     0.000
5.61231   -240.000     0.000
5.69394   -240.000     0.000
5.77676   -240.000     0.000
5.86079   -240.000     0.000
5.94604   -240.000     0.000
6.03252   -240.000     0.000
6.12027   -240.000     0.000
6.20929   -240.000     0.000
6.29961   -240.000     0.000
6.39124   -240.000     0.000
6.48420   -240.000     0.000
6.57851   -240.000     0.000
6.67420   -240.000     0.000
6.77128   -240.000     0.000
6.86977   -240.000     0.000
6.96969   -240.000     0.000
7.07107   -240.000     0.000
7.17392   -240.000     0.000
7.27827   -240.000     0.000
7.38413   -240.000     0.000
7.49154   -240.000     0.000
7.60050   -240.000     0.000
7.71105   -240.000     0.000
7.82321   -240.000     0.000
7.93701   -240.000     0.000
8.05245   -240.000     0.000
8.16958   -240.000     0.000
8.28841   -240.000     0.000
8.40896   -240.000     0.000
8.53128   -240.000     0.000
8.65537   -240.000     0.000
8.78126   -232.181     0.000
8.90899   -221.826     0.000
9.03857   -211.470     0.000
9.17004   -201.113     0.000
9.30342   -190.756     0.000
9.43874   -180.399     0.000
9.57603   -170.040     0.000
9.71532   -159.682     0.000
9.85663   -149.323     0.000
10.0000   -138.963     0.000
10.1455   -139.033     0.000
10.2930   -111.050     0.000
10.4427    -14.463     0.000
10.5946     19.951     0.000
10.7487     16.483     0.000
10.9051     10.648     0.000
11.0637      9.944     0.000
11.2246     16.975     0.000
11.3879     21.441     0.000
11.5535     25.154     0.000
11.7216     28.272     0.000
11.8921     31.054     0.000
12.0650     33.493     0.000
12.2405     35.469     0.000
12.4186     36.920     0.000
12.5992     38.065     0.000
12.7825     38.876     0.000
12.9684     39.198     0.000
13.1570     39.129     0.000
13.3484     38.577     0.000
13.5426     37.395     0.000
13.7395     35.327     0.000
13.9394     31.780     0.000
14.1421     30.340     0.000
14.3478     32.252     0.000
14.5565     36.436     0.000
14.7683     39.432     0.000
14.9831     41.510     0.000
15.2010     42.802     0.000
15.4221     43.721     0.000
15.6464     44.378     0.000
15.8740     44.965     0.000
16.1049     45.650     0.000
16.3392     46.475     0.000
16.5768     47.383     0.000
16.8179     48.245     0.000
17.0626     48.889     0.000
17.3107     49.276     0.000
17.5625     49.341     0.000
17.8180     49.158     0.000
18.0771     48.828     0.000
18.3401     48.602     0.000
18.6068     48.791     0.000
18.8775     49.444     0.000
19.1521     50.338     0.000
19.4306     51.181     0.000
19.7133     51.836     0.000
20.0000     52.273     0.000
20.2909     52.593     0.000
20.5860     52.918     0.000
20.8855     53.343     0.000
21.1893     53.843     0.000
21.4975     54.346     0.000
21.8102     54.762     0.000
22.1274     55.108     0.000
22.4492     55.443     0.000
22.7758     55.833     0.000
23.1071     56.306     0.000
23.4432     56.799     0.000
23.7841     57.270     0.000
24.1301     57.734     0.000
24.4811     58.252     0.000
24.8372     58.876     0.000
25.1984     59.525     0.000
25.5649     60.080     0.000
25.9368     60.455     0.000
26.3141     60.686     0.000
26.6968     60.916     0.000
27.0851     61.323     0.000
27.4791     61.923     0.000
27.8788     62.584     0.000
28.2843     63.158     0.000
28.6957     63.624     0.000
29.1131     64.088     0.000
29.5365     64.625     0.000
29.9661     65.236     0.000
30.4020     65.846     0.000
30.8442     66.412     0.000
31.2929     66.928     0.000
31.7480     67.403     0.000
32.2098     67.853     0.000
32.6783     68.330     0.000
33.1536     68.892     0.000
33.6359     69.511     0.000
34.1251     70.067     0.000
34.6215     70.464     0.000
35.1250     70.749     0.000
35.6359     71.080     0.000
36.1543     71.552     0.000
36.6802     72.082     0.000
37.2137     72.552     0.000
37.7550     72.959     0.000
38.3041     73.362     0.000
38.8613     73.755     0.000
39.4265     74.079     0.000
40.0000     74.321     0.000
40.5818     74.519     0.000
41.1721     74.708     0.000
41.7710     74.911     0.000
42.3785     75.166     0.000
42.9949     75.430     0.000
43.6203     75.629     0.000
44.2548     75.743     0.000
44.8985     75.829     0.000
45.5515     75.947     0.000
46.2141     76.049     0.000
46.8863     76.081     0.000
47.5683     76.110     0.000
48.2602     76.185     0.000
48.9621     76.244     0.000
49.6743     76.242     0.000
50.3968     76.236     0.000
51.1299     76.280     0.000
51.8736     76.363     0.000
52.6281     76.448     0.000
53.3936     76.506     0.000
54.1702     76.547     0.000
54.9581     76.597     0.000
55.7575     76.659     0.000
56.5685     76.725     0.000
57.3914     76.793     0.000
58.2261     76.859     0.000
59.0730     76.936     0.000
59.9323     77.029     0.000
60.8040     77.122     0.000
61.6884     77.210     0.000
62.5857     77.307     0.000
63.4960     77.413     0.000
64.4196     77.523     0.000
65.3566     77.640     0.000
66.3073     77.752     0.000
67.2717     77.858     0.000
68.2502     77.965     0.000
69.2429     78.079     0.000
70.2501     78.184     0.000
71.2719     78.267     0.000
72.3086     78.352     0.000
73.3603     78.455     0.000
74.4274     78.560     0.000
75.5099     78.640     0.000
76.6083     78.705     0.000
77.7226     78.799     0.000
78.8531     78.922     0.000
80.0000     79.050     0.000
81.1636     79.177     0.000
82.3442     79.304     0.000
83.5419     79.412     0.000
84.7570     79.505     0.000
85.9899     79.609     0.000
87.2406     79.728     0.000
88.5096     79.857     0.000
89.7970     79.990     0.000
91.1031     80.122     0.000
92.4282     80.246     0.000
93.7726     80.341     0.000
95.1366     80.423     0.000
96.5204     80.491     0.000
97.9243     80.543     0.000
99.3486     80.587     0.000
100.794     80.641     0.000
102.260     80.701     0.000
103.747     80.754     0.000
105.256     80.814     0.000
106.787     80.881     0.000
108.340     80.936     0.000
109.916     80.982     0.000
111.515     81.024     0.000
113.137     81.052     0.000
114.783     81.066     0.000
116.452     81.064     0.000
118.146     81.047     0.000
119.865     81.025     0.000
121.608     80.999     0.000
123.377     80.973     0.000
125.171     80.955     0.000
126.992     80.940     0.000
128.839     80.922     0.000
130.713     80.894     0.000
132.615     80.853     0.000
134.543     80.801     0.000
136.500     80.740     0.000
138.486     80.675     0.000
140.500     80.602     0.000
142.544     80.519     0.000
144.617     80.431     0.000
146.721     80.347     0.000
148.855     80.275     0.000
151.020     80.204     0.000
153.217     80.123     0.000
155.445     80.036     0.000
157.706     79.945     0.000
160.000     79.851     0.000
162.327     79.750     0.000
164.688     79.649     0.000
