"Estimated In-Room Response"
"Estimated In-Room Response"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	55.4
21.9727	57.3016
23.4375	58.9622
24.9023	60.5888
26.3672	62.1695
27.832	63.5784
29.2969	65.0665
30.7617	66.4049
32.2266	67.7629
33.6914	68.9829
35.1563	70.3104
36.6211	71.4363
38.0859	72.5919
39.5508	73.8781
41.0156	74.1094
42.4805	75.69
43.9453	76.6113
45.4102	77.4411
46.875	78.1918
48.3398	78.8874
51.2695	80.2231
52.7344	80.8044
54.1992	81.2898
55.6641	81.7413
58.5938	82.6019
60.0586	82.9098
62.9883	83.5915
64.4531	83.9031
67.3828	84.3813
68.8477	84.5304
71.7773	84.8306
74.707	85.2248
77.6367	85.5111
79.1016	85.5571
82.0313	85.73
84.9609	86.0321
87.8906	86.087
90.8203	85.6993
95.2148	86.3942
98.1445	86.091
101.074	86.1009
105.469	86.1235
108.398	86.181
112.793	86.3296
117.188	86.3194
120.117	86.5162
124.512	86.4758
128.906	86.1614
133.301	85.995
139.16	85.8714
143.555	85.8159
147.949	85.6901
153.809	85.6806
159.668	85.706
165.527	85.6228
171.387	85.3981
177.246	85.2656
183.105	84.9634
188.965	84.7746
196.289	84.8541
203.613	84.6242
210.938	84.4551
218.262	84.3112
225.586	84.2402
232.91	84.1419
241.699	83.9756
250.488	83.8376
259.277	84.0104
268.066	83.5604
276.855	83.5091
287.109	83.5526
297.363	83.202
307.617	83.3308
319.336	83.1718
329.59	83.2364
341.309	83.1306
353.027	82.7542
366.211	82.8562
379.395	83.4294
392.578	83.0396
405.762	82.7134
420.41	83.3454
435.059	83.4289
451.172	83.3507
465.82	83.5289
483.398	83.0615
499.512	83.1533
517.09	83.2361
536.133	82.9086
555.176	83.2172
574.219	83.41
594.727	83.4892
615.234	83.5141
637.207	83.6613
659.18	83.5806
682.617	83.1633
707.52	83.3759
732.422	84.0085
757.324	83.726
785.156	83.7855
811.523	83.3553
840.82	83.4534
870.117	83.2911
900.879	83.398
933.105	83.5012
965.332	83.5024
1,000.49	83.5417
1,035.64	83.3378
1,072.27	83.0621
1,108.89	82.6832
1,148.44	82.6041
1,189.45	82.7521
1,230.47	82.8845
1,274.41	82.8636
1,319.82	82.543
1,366.7	82.2417
1,413.57	81.8037
1,463.38	81.6385
1,516.11	82.0915
1,568.85	82.2221
1,624.51	81.8376
1,681.64	81.6464
1,741.7	81.7248
1,803.22	82.0857
1,866.21	82.272
1,932.13	81.6502
1,999.51	81.3353
2,069.82	81.7235
2,143.07	81.6798
2,219.24	80.964
2,296.88	80.7242
2,378.91	81.4551
2,462.4	81.3552
2,548.83	81.0943
2,639.65	81.827
2,731.93	82.4372
2,828.61	82.5749
2,928.22	82.7706
3,030.76	82.5111
3,137.7	82.3609
3,249.02	82.1022
3,363.28	81.8702
3,481.93	81.6094
3,604.98	81.7181
3,732.42	81.4693
3,864.26	81.6567
4,000.49	81.7814
4,141.11	81.6992
4,287.6	81.6327
4,438.48	81.8494
4,595.21	81.735
4,756.35	81.9979
4,924.8	81.9178
5,097.66	81.8764
5,277.83	81.8926
5,463.87	81.6278
5,657.23	81.571
5,856.45	81.1827
6,062.99	80.9109
6,276.86	80.854
6,498.05	81.0264
6,726.56	80.8682
6,963.87	80.7047
7,209.96	80.2605
7,464.84	79.8223
7,727.05	79.4574
7,999.51	79.5354
8,282.23	79.7481
8,573.73	80.0293
8,876.95	79.9428
9,188.96	79.7586
9,514.16	79.6514
9,849.61	79.6918
10,196.8	79.8434
10,555.7	80.0391
10,927.7	80.2391
11,313	80.2939
11,712.9	80.0218
12,126	79.7222
12,553.7	79.7919
12,996.1	79.7501
13,454.6	79.4655
13,929.2	79.1819
14,419.9	79.0208
14,928.2	78.9904
15,455.6	78.8949
16,000.5	78.6002
16,564.5	78.2569
17,148.9	78.03
17,752.4	77.8277
18,379.4	77.2592
19,026.9	76.2536
19,697.8	75.6967
19,999.5	75.4663
