"Vertical Reflections"					
"Floor Reflection"		"Ceiling Reflection"		"Total Vertical Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	30.9767	20.5078	28.3405	20.5078	29.8556
21.9727	28.0369	21.9727	28.4836	21.9727	28.266
23.4375	20.8881	23.4375	23.3569	23.4375	22.2957
24.9023	35.1065	24.9023	34.9353	24.9023	35.0217
26.3672	36.3802	26.3672	35.7549	26.3672	36.0788
27.832	39.5191	27.832	39.1295	27.832	39.3287
29.2969	41.3177	29.2969	42.4247	29.2969	41.9064
30.7617	44.9038	30.7617	45.8691	30.7617	45.4132
32.2266	47.8225	32.2266	48.4387	32.2266	48.1415
33.6914	50.6984	33.6914	51.7336	33.6914	51.2468
35.1562	53.1983	35.1562	54.4986	35.1562	53.8969
36.6211	56.5429	36.6211	57.3805	36.6211	56.9819
38.0859	58.99	38.0859	59.776	38.0859	59.4008
39.5508	61.3214	39.5508	61.9963	39.5508	61.672
41.0156	63.6449	41.0156	64.207	41.0156	63.935
42.4805	65.6004	42.4805	66.0933	42.4805	65.8539
43.9453	67.6254	43.9453	68.0783	43.9453	67.8578
45.4102	69.3799	45.4102	69.7735	45.4102	69.5811
46.875	71.0306	46.875	71.3878	46.875	71.2129
48.3398	72.665	48.3398	72.9781	48.3398	72.8244
51.2695	75.5133	51.2695	75.7736	51.2695	75.6454
52.7344	76.7525	52.7344	76.992	52.7344	76.8739
54.1992	77.9122	54.1992	78.1422	54.1992	78.0287
55.6641	78.9175	55.6641	79.1334	55.6641	79.0268
58.5938	80.5695	58.5938	80.7488	58.5938	80.6601
60.0586	81.2543	60.0586	81.4114	60.0586	81.3336
62.9883	82.3345	62.9883	82.4644	62.9883	82.3999
64.4531	82.7391	64.4531	82.8616	64.4531	82.8008
67.3828	83.3872	67.3828	83.4978	67.3828	83.4428
68.8477	83.6457	68.8477	83.743	68.8477	83.6946
71.7773	84.0423	71.7773	84.1197	71.7773	84.0812
74.707	84.2737	74.707	84.3517	74.707	84.3129
77.6367	84.4808	77.6367	84.5497	77.6367	84.5154
79.1016	84.5655	79.1016	84.6262	79.1016	84.596
82.0312	84.6702	82.0312	84.7355	82.0312	84.703
84.9609	84.6524	84.9609	84.7454	84.9609	84.6991
87.8906	84.7949	87.8906	84.9127	87.8906	84.8542
90.8203	84.8757	90.8203	84.8957	90.8203	84.8857
95.2148	84.9384	95.2148	84.9655	95.2148	84.952
98.1445	84.9597	98.1445	84.9347	98.1445	84.9472
101.074	84.8578	101.074	84.8727	101.074	84.8653
105.469	85.0352	105.469	85.0496	105.469	85.0424
108.398	84.9886	108.398	84.9889	108.398	84.9888
112.793	85.14	112.793	85.1213	112.793	85.1306
117.188	85.1996	117.188	85.0997	117.188	85.1499
120.117	85.1028	120.117	85.0261	120.117	85.0646
124.512	85.0766	124.512	85.025	124.512	85.0509
128.906	85.0114	128.906	84.9803	128.906	84.9959
133.301	85.058	133.301	85.0102	133.301	85.0342
139.16	85.0959	139.16	85.0219	139.16	85.0591
143.555	85.1247	143.555	85.0283	143.555	85.0768
147.949	85.1853	147.949	85.0336	147.949	85.1101
153.809	85.1028	153.809	84.9488	153.809	85.0265
159.668	85.1725	159.668	85.0166	159.668	85.0952
165.527	85.2819	165.527	85.1409	165.527	85.212
171.387	85.2163	171.387	85.0822	171.387	85.1498
177.246	85.2648	177.246	85.0731	177.246	85.17
183.105	85.1938	183.105	84.9638	183.105	85.0803
188.965	85.2292	188.965	85.0302	188.965	85.1308
196.289	85.2809	196.289	85.0966	196.289	85.1898
203.613	85.2849	203.613	85.0273	203.613	85.158
210.938	85.3536	210.938	85.1159	210.938	85.2364
218.262	85.3407	218.262	85.1198	218.262	85.2317
225.586	85.3078	225.586	85.0633	225.586	85.1872
232.91	85.2762	232.91	85.0473	232.91	85.1633
241.699	85.1509	241.699	84.8667	241.699	85.0111
250.488	85.1505	250.488	84.7946	250.488	84.9762
259.277	85.4894	259.277	85.1157	259.277	85.3065
268.066	85.4724	268.066	84.963	268.066	85.2252
276.855	85.5452	276.855	85.0185	276.855	85.2899
287.109	85.5315	287.109	85.1517	287.109	85.3458
297.363	85.7324	297.363	85.3134	297.363	85.528
307.617	85.5214	307.617	85.13	307.617	85.3301
319.336	85.7141	319.336	85.064	319.336	85.4012
329.59	85.5149	329.59	84.8311	329.59	85.1864
341.309	85.6956	341.309	84.8981	341.309	85.3151
353.027	85.8567	353.027	84.8583	353.027	85.3861
366.211	85.5624	366.211	84.7552	366.211	85.1775
379.395	86.0676	379.395	85.3433	379.395	85.7205
392.578	86.1251	392.578	85.0185	392.578	85.6069
405.762	85.913	405.762	84.7664	405.762	85.3774
420.41	86.1186	420.41	85.0048	420.41	85.5973
435.059	85.7443	435.059	84.7095	435.059	85.2577
451.172	86.3454	451.172	84.727	451.172	85.6111
465.82	86.1602	465.82	84.8803	465.82	85.5672
483.398	86.3005	483.398	84.8374	483.398	85.6303
499.512	86.1232	499.512	84.6448	499.512	85.4466
517.09	86.3694	517.09	84.9588	517.09	85.7211
536.133	85.7657	536.133	84.1488	536.133	85.0321
555.176	85.9496	555.176	84.0424	555.176	85.0999
574.219	86.2462	574.219	84.0213	574.219	85.2747
594.727	85.7882	594.727	83.4966	594.727	84.7919
