"Horizontal Reflections"							
"Front"		"Side"		"Rear"		"Total Horizontal Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	30.6307	20.5078	29.3344	20.5078	28.6305	20.5078	29.2849
21.9727	27.614	21.9727	28.9586	21.9727	33.8949	21.9727	32.108
23.4375	19.7281	23.4375	23.1174	23.4375	32.1926	23.4375	29.7755
24.9023	34.7799	24.9023	35.0279	24.9023	38.9228	24.9023	37.4718
26.3672	36.0207	26.3672	35.7753	26.3672	39.8619	26.3672	38.4139
27.832	39.1545	27.832	39.1456	27.832	43.2348	27.832	41.7602
29.2969	41.2411	29.2969	42.07	29.2969	46.2114	29.2969	44.6421
30.7617	44.8664	30.7617	45.4951	30.7617	49.1495	30.7617	47.7231
32.2266	47.717	32.2266	48.138	32.2266	51.3915	32.2266	50.0986
33.6914	50.7472	33.6914	51.3724	33.6914	54.5441	33.6914	53.2523
35.1562	53.3275	35.1562	54.1	35.1562	57.1492	35.1562	55.877
36.6211	56.5944	36.6211	57.1267	36.6211	59.5749	36.6211	58.5167
38.0859	59.043	38.0859	59.5508	38.0859	61.7852	38.0859	60.8011
39.5508	61.3604	39.5508	61.8063	39.5508	63.8339	39.5508	62.9292
41.0156	63.668	41.0156	64.0575	41.0156	65.8487	41.0156	65.0361
42.4805	65.6139	42.4805	65.9717	42.4805	67.6254	42.4805	66.8679
43.9453	67.6401	43.9453	67.9705	43.9453	69.467	43.9453	68.7727
45.4102	69.3863	45.4102	69.688	45.4102	71.064	45.4102	70.4204
46.875	71.035	46.875	71.3151	46.875	72.5777	46.875	71.9818
48.3398	72.6644	48.3398	72.9218	48.3398	74.0667	48.3398	73.5212
51.2695	75.51	51.2695	75.7375	51.2695	76.7022	51.2695	76.2349
52.7344	76.748	52.7344	76.9632	52.7344	77.8572	52.7344	77.4213
54.1992	77.9096	54.1992	78.1174	54.1992	78.9445	54.1992	78.5378
55.6641	78.9163	55.6641	79.1123	55.6641	79.8743	55.6641	79.4971
58.5938	80.5663	58.5938	80.7374	58.5938	81.3681	58.5938	81.0514
60.0586	81.2484	60.0586	81.4083	60.0586	81.9781	60.0586	81.6898
62.9883	82.3288	62.9883	82.4685	62.9883	82.9349	62.9883	82.6956
64.4531	82.7328	64.4531	82.8708	64.4531	83.3115	64.4531	83.0839
67.3828	83.3804	67.3828	83.5128	67.3828	83.8944	67.3828	83.6941
68.8477	83.6378	68.8477	83.7635	68.8477	84.1086	68.8477	83.9259
71.7773	84.0314	71.7773	84.1509	71.7773	84.4402	71.7773	84.2838
74.707	84.2693	74.707	84.3766	74.707	84.6108	74.707	84.4817
77.6367	84.4747	77.6367	84.5807	77.6367	84.7745	77.6367	84.6641
79.1016	84.5591	79.1016	84.6582	79.1016	84.8215	79.1016	84.7264
82.0312	84.6695	82.0312	84.7634	82.0312	84.9048	82.0312	84.8208
84.9609	84.657	84.9609	84.7653	84.9609	84.9435	84.9609	84.8399
87.8906	84.8023	87.8906	84.9306	87.8906	85.0856	87.8906	84.9889
90.8203	84.8875	90.8203	84.9234	90.8203	84.8704	90.8203	84.8885
95.2148	84.9385	95.2148	85.0012	95.2148	84.9944	95.2148	84.9855
98.1445	84.9439	98.1445	85.0038	98.1445	84.9698	98.1445	84.9742
101.074	84.8375	101.074	84.9422	101.074	85.0209	101.074	84.9639
105.469	85.0403	105.469	85.0772	105.469	85.0086	105.469	85.0339
108.398	84.9821	108.398	85.042	108.398	85.0238	108.398	85.0208
112.793	85.1474	112.793	85.1515	112.793	84.978	112.793	85.0599
