"Estimated In-Room Response"
"Estimated In-Room Response"
"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"
20.5078	43.3707
21.9727	40.302
23.4375	41.3711
24.9023	44.9269
26.3672	48.7768
27.832	52.2292
29.2969	55.3101
30.7617	56.8427
32.2266	60.1344
33.6914	62.5082
35.1562	64.9132
36.6211	67.1165
38.0859	69.2518
39.5508	71.2408
41.0156	73.2095
42.4805	74.7696
43.9453	76.4298
45.4102	78.0037
46.875	79.4031
48.3398	80.5464
51.2695	82.3156
52.7344	82.9896
54.1992	83.5295
55.6641	83.9619
58.5938	84.5233
60.0586	84.7035
62.9883	85.0229
64.4531	85.1332
67.3828	85.3032
68.8477	85.3895
71.7773	85.5639
74.707	85.6993
77.6367	85.7673
79.1016	85.7872
82.0312	85.8214
84.9609	85.8473
87.8906	85.8738
90.8203	85.8421
95.2148	85.8094
98.1445	85.7586
101.074	85.6954
105.469	85.6351
108.398	85.6369
112.793	85.5661
117.188	85.5044
120.117	85.4434
124.512	85.3546
128.906	85.265
133.301	85.1657
139.16	85.0247
143.555	84.9296
147.949	84.8473
153.809	84.7893
159.668	84.7268
165.527	84.8583
171.387	84.8003
177.246	84.689
183.105	84.6131
188.965	84.5671
196.289	84.5778
203.613	84.4949
210.938	84.5928
218.262	84.522
225.586	84.52
232.91	84.4839
241.699	84.4396
250.488	84.3101
259.277	84.5578
268.066	84.4648
276.855	84.386
287.109	84.4593
297.363	84.4431
307.617	84.5516
319.336	84.417
329.59	84.2643
341.309	84.3155
353.027	84.2093
366.211	84.2263
379.395	84.5285
392.578	84.4771
405.762	84.3306
420.41	84.4662
435.059	84.1572
451.172	84.4954
465.82	84.3601
483.398	84.3076
499.512	84.0552
517.09	84.5458
536.133	83.7414
555.176	84.1183
574.219	84.8472
594.727	84.4595
615.234	84.3633
637.207	84.4443
659.18	83.8034
682.617	83.6052
707.52	83.7073
732.422	83.3912
757.324	83.3331
785.156	84.0955
811.523	82.7151
840.82	82.6913
870.117	83.1673
900.879	82.3773
933.105	83.1152
965.332	82.624
1,000.49	82.9934
1,035.64	82.3414
1,072.27	82.1557
1,108.89	81.0162
1,148.44	81.5849
1,189.45	81.6618
1,230.47	81.6837
1,274.41	82.0716
1,319.82	82.3865
1,366.7	83.3596
1,413.57	83.5399
1,463.38	83.8366
1,516.11	83.6879
1,568.85	82.7382
1,624.51	82.7222
1,681.64	83.3823
1,741.7	84.2681
1,803.22	84.4524
1,866.21	84.4287
1,932.13	84.0056
1,999.51	83.6293
2,069.82	83.4128
2,143.07	83.3099
2,219.24	82.8159
2,296.88	81.9023
2,378.91	81.2153
2,462.4	81.6888
2,548.83	82.442
2,639.65	82.046
2,731.93	80.8957
2,828.61	80.4637
2,928.22	80.9699
3,030.76	81.253
3,137.7	81.2989
3,249.02	81.1653
3,363.28	81.0995
3,481.93	81.672
3,604.98	81.8738
3,732.42	81.8531
3,864.26	81.9245
4,000.49	81.1707
4,141.11	81.3866
4,287.6	81.5977
4,438.48	81.5455
4,595.21	81.1853
4,756.35	81.0042
4,924.8	81.5708
5,097.66	81.3294
5,277.83	80.8732
5,463.87	81.3332
5,657.23	81.0746
5,856.45	80.9829
6,062.99	81.2522
6,276.86	81.1741
6,498.05	80.9042
6,726.56	81.0765
6,963.87	80.6851
7,209.96	80.9609
7,464.84	81.0378
7,727.05	81.0132
7,999.51	81.4277
8,282.23	80.7505
8,573.73	80.7902
8,876.95	80.6344
9,188.96	80.9354
9,514.16	80.5605
9,849.61	80.6258
10,196.8	80.6208
10,555.7	80.7141
10,927.7	80.7262
11,313	80.3783
11,712.9	80.2683
12,126	80.2088
12,553.7	80.3149
12,996.1	80.151
13,454.6	79.6703
13,929.2	79.7883
14,419.9	79.6286
14,928.2	79.6947
15,455.6	79.54
16,000.5	79.5001
16,564.5	79.454
17,148.9	79.4349
17,752.4	79.3678
18,379.4	79.3313
19,026.9	79.755
19,697.8	79.3304
19,999.5	78.6518
