"Early Reflections"											
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce (full horizontal rear)"		"Total Early Reflection"	
"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"
20.5078	45.1405	20.5078	43.2002	20.5078	44.8112	20.5078	43.704	20.5078	40.0288	20.5078	43.7057
21.9727	17.0558	21.9727	38.3888	21.9727	23.8545	21.9727	35.0246	21.9727	44.8972	21.9727	39.1653
23.4375	33.3547	23.4375	37.3388	23.4375	29.5694	23.4375	34.0905	23.4375	46.158	23.4375	40.1986
24.9023	42.7947	24.9023	42.1287	24.9023	41.7534	24.9023	41.7372	24.9023	48.3744	24.9023	44.2822
26.3672	45.9281	26.3672	46.7416	26.3672	45.3476	26.3672	46.2386	26.3672	52.1273	26.3672	48.1412
27.832	50.4638	27.832	50.6728	27.832	50.0813	27.832	50.4852	27.832	54.9276	27.832	51.7768
29.2969	53.4922	29.2969	54.0502	29.2969	53.2787	29.2969	53.8494	29.2969	57.8406	29.2969	54.8888
30.7617	55.3918	30.7617	55.7271	30.7617	55.1341	30.7617	55.4135	30.7617	59.1627	30.7617	56.471
32.2266	58.3722	32.2266	59.2092	32.2266	58.3198	32.2266	58.9538	32.2266	62.4152	32.2266	59.7589
33.6914	61.0807	33.6914	61.7658	33.6914	61.0409	33.6914	61.5279	33.6914	64.4962	33.6914	62.1972
35.1562	63.445	35.1562	64.2735	35.1562	63.4527	35.1562	64.0252	35.1562	66.8334	35.1562	64.609
36.6211	65.8913	36.6211	66.549	36.6211	65.8936	36.6211	66.3689	36.6211	68.8172	36.6211	66.8547
