"CEA2034"
"On Axis"		"Listening Window"		"Early Reflections"		"Sound Power"		"Sound Power DI"		"Early Reflections DI"		"DI offset"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	54.5456	20.5078	54.2994	20.5078	53.3082	20.5078	54.1069	20.5078	50.1719	20.5078	50.9705	20.5078	49.9794
21.9727	55.4294	21.9727	55.1763	21.9727	54.3156	21.9727	55.5427	21.9727	49.613	21.9727	50.8401	21.9727	49.9794
23.4375	56.3085	23.4375	56.0676	23.4375	55.5405	23.4375	57.1614	23.4375	48.8855	23.4375	50.5065	23.4375	49.9794
24.9023	57.0428	24.9023	56.8146	24.9023	56.5246	24.9023	58.4167	24.9023	48.3773	24.9023	50.2694	24.9023	49.9794
26.3672	58.5605	26.3672	58.3679	26.3672	58.2116	26.3672	59.9808	26.3672	48.3665	26.3672	50.1357	26.3672	49.9794
27.832	59.0555	27.832	58.8873	27.832	59.1732	27.832	61.3493	27.832	47.5174	27.832	49.6935	27.832	49.9794
29.2969	60.5871	29.2969	60.4476	29.2969	60.7511	29.2969	62.722	29.2969	47.705	29.2969	49.6759	29.2969	49.9794
30.7617	61.7843	30.7617	61.7003	30.7617	62.2756	30.7617	64.2581	30.7617	47.4216	30.7617	49.4041	30.7617	49.9794
32.2266	62.0692	32.2266	62.015	32.2266	62.9824	32.2266	65.2875	32.2266	46.7069	32.2266	49.012	32.2266	49.9794
33.6914	64.7887	33.6914	64.8022	33.6914	65.8121	33.6914	67.706	33.6914	47.0756	33.6914	48.9695	33.6914	49.9794
35.1563	67.033	35.1563	67.0388	35.1563	67.7351	35.1563	69.2119	35.1563	47.8063	35.1563	49.2831	35.1563	49.9794
36.6211	68.3721	36.6211	68.3881	36.6211	69.0564	36.6211	70.422	36.6211	47.9455	36.6211	49.3111	36.6211	49.9794
38.0859	69.3891	38.0859	69.4049	38.0859	70.0251	38.0859	71.2755	38.0859	48.1089	38.0859	49.3592	38.0859	49.9794
39.5508	70.2142	39.5508	70.2431	39.5508	70.9377	39.5508	72.1923	39.5508	48.0301	39.5508	49.2848	39.5508	49.9794
41.0156	73.5109	41.0156	73.5402	41.0156	74.0509	41.0156	74.9423	41.0156	48.5773	41.0156	49.4687	41.0156	49.9794
42.4805	74.5667	42.4805	74.5727	42.4805	74.8568	42.4805	75.5136	42.4805	49.0385	42.4805	49.6953	42.4805	49.9794
43.9453	74.7032	43.9453	74.7124	43.9453	75.0315	43.9453	75.756	43.9453	48.9358	43.9453	49.6603	43.9453	49.9794
45.4102	74.995	45.4102	75.0153	45.4102	75.4502	45.4102	76.2782	45.4102	48.7164	45.4102	49.5445	45.4102	49.9794
46.875	77.0176	46.875	77.0675	46.875	77.6804	46.875	78.6445	46.875	48.4024	46.875	49.3665	46.875	49.9794
48.3398	78.3233	48.3398	78.3605	48.3398	78.7954	48.3398	79.5078	48.3398	48.8322	48.3398	49.5445	48.3398	49.9794
51.2695	79.8183	51.2695	79.8499	51.2695	80.2031	51.2695	80.7805	51.2695	49.0488	51.2695	49.6261	51.2695	49.9794
52.7344	80.6756	52.7344	80.6918	52.7344	80.9023	52.7344	81.2588	52.7344	49.4124	52.7344	49.7689	52.7344	49.9794
54.1992	81.4126	54.1992	81.4242	54.1992	81.589	54.1992	81.8658	54.1992	49.5379	54.1992	49.8146	54.1992	49.9794
55.6641	82.1912	55.6641	82.2127	55.6641	82.4534	55.6641	82.8461	55.6641	49.346	55.6641	49.7387	55.6641	49.9794
58.5938	82.7083	58.5938	82.7381	58.5938	83.014	58.5938	83.4316	58.5938	49.2859	58.5938	49.7035	58.5938	49.9794
60.0586	83.613	60.0586	83.6362	60.0586	83.8563	60.0586	84.1853	60.0586	49.4303	60.0586	49.7593	60.0586	49.9794
62.9883	84.7379	62.9883	84.7551	62.9883	84.9125	62.9883	85.1496	62.9883	49.5849	62.9883	49.822	62.9883	49.9794
64.4531	84.9027	64.4531	84.9186	64.4531	85.0562	64.4531	85.2586	64.4531	49.6395	64.4531	49.8418	64.4531	49.9794
67.3828	85.186	67.3828	85.1997	67.3828	85.3069	67.3828	85.4459	67.3828	49.7332	67.3828	49.8722	67.3828	49.9794
68.8477	85.4595	68.8477	85.4727	68.8477	85.5705	68.8477	85.6849	68.8477	49.7672	68.8477	49.8817	68.8477	49.9794
71.7773	85.9737	71.7773	85.9869	71.7773	86.0767	71.7773	86.1746	71.7773	49.7917	71.7773	49.8896	71.7773	49.9794
74.707	86.6136	74.707	86.6287	74.707	86.7266	74.707	86.8358	74.707	49.7722	74.707	49.8815	74.707	49.9794
77.6367	87.1289	77.6367	87.1412	77.6367	87.2123	77.6367	87.2838	77.6367	49.8368	77.6367	49.9082	77.6367	49.9794
79.1016	87.1458	79.1016	87.1574	79.1016	87.2219	79.1016	87.2853	79.1016	49.8514	79.1016	49.9149	79.1016	49.9794
82.0313	87.3132	82.0313	87.3228	82.0313	87.3711	82.0313	87.4064	82.0313	49.8958	82.0313	49.9311	82.0313	49.9794
84.9609	87.6474	84.9609	87.6549	84.9609	87.684	84.9609	87.6904	84.9609	49.9439	84.9609	49.9503	84.9609	49.9794
87.8906	87.7352	87.8906	87.7407	87.8906	87.7543	87.8906	87.7403	87.8906	49.9798	87.8906	49.9657	87.8906	49.9794
90.8203	87.7791	90.8203	87.7846	90.8203	87.7967	90.8203	87.7814	90.8203	49.9827	90.8203	49.9673	90.8203	49.9794
95.2148	87.8755	95.2148	87.877	95.2148	87.8545	95.2148	87.7826	95.2148	50.0738	95.2148	50.0019	95.2148	49.9794
98.1445	87.8957	98.1445	87.8967	98.1445	87.8702	98.1445	87.794	98.1445	50.0821	98.1445	50.006	98.1445	49.9794
101.074	87.9096	101.074	87.9072	101.074	87.8588	101.074	87.7541	101.074	50.1324	101.074	50.0278	101.074	49.9794
105.469	87.913	105.469	87.907	105.469	87.8374	105.469	87.7083	105.469	50.1781	105.469	50.0491	105.469	49.9794
108.398	87.9943	108.398	87.9847	108.398	87.8859	108.398	87.7056	108.398	50.2586	108.398	50.0782	108.398	49.9794
112.793	88.0548	112.793	88.0435	112.793	87.9369	112.793	87.7544	112.793	50.2685	112.793	50.086	112.793	49.9794
117.188	88.1273	117.188	88.1104	117.188	87.9648	117.188	87.7294	117.188	50.3603	117.188	50.1249	117.188	49.9794
120.117	88.1562	120.117	88.1395	120.117	87.9935	120.117	87.7557	120.117	50.3632	120.117	50.1254	120.117	49.9794
124.512	88.1562	124.512	88.1369	124.512	87.9764	124.512	87.726	124.512	50.3903	124.512	50.1399	124.512	49.9794
128.906	88.0671	128.906	88.0462	128.906	87.8722	128.906	87.6033	128.906	50.4222	128.906	50.1533	128.906	49.9794
133.301	87.9567	133.301	87.9346	133.301	87.7587	133.301	87.4999	133.301	50.4142	133.301	50.1553	133.301	49.9794
139.16	87.8158	139.16	87.7889	139.16	87.5856	139.16	87.3044	139.16	50.4639	139.16	50.1827	139.16	49.9794
143.555	87.7232	143.555	87.6907	143.555	87.453	143.555	87.1326	143.555	50.5375	143.555	50.2171	143.555	49.9794
147.949	87.6505	147.949	87.6137	147.949	87.34	147.949	86.9605	147.949	50.6326	147.949	50.253	147.949	49.9794
153.809	87.5278	153.809	87.4875	153.809	87.1858	153.809	86.7619	153.809	50.705	153.809	50.2811	153.809	49.9794
159.668	87.528	159.668	87.4854	159.668	87.1646	159.668	86.7203	159.668	50.7445	159.668	50.3002	159.668	49.9794
165.527	87.6517	165.527	87.6087	165.527	87.2859	165.527	86.832	165.527	50.7561	165.527	50.3022	165.527	49.9794
171.387	87.5292	171.387	87.4818	171.387	87.1473	171.387	86.6981	171.387	50.7631	171.387	50.3139	171.387	49.9794
177.246	87.3494	177.246	87.2983	177.246	86.9407	177.246	86.4643	177.246	50.8135	177.246	50.3371	177.246	49.9794
183.105	87.1059	183.105	87.0469	183.105	86.6462	183.105	86.1435	183.105	50.8828	183.105	50.3801	183.105	49.9794
188.965	87.0543	188.965	86.9912	188.965	86.5353	188.965	85.9103	188.965	51.0603	188.965	50.4353	188.965	49.9794
196.289	86.9797	196.289	86.9158	196.289	86.4629	196.289	85.8341	196.289	51.0611	196.289	50.4323	196.289	49.9794
203.613	86.8792	203.613	86.8064	203.613	86.3066	203.613	85.6392	203.613	51.1467	203.613	50.4792	203.613	49.9794
210.938	86.7547	210.938	86.6811	210.938	86.1519	210.938	85.4103	210.938	51.2502	210.938	50.5086	210.938	49.9794
218.262	86.5512	218.262	86.4751	218.262	85.9325	218.262	85.1729	218.262	51.2816	218.262	50.522	218.262	49.9794
225.586	86.4842	225.586	86.4018	225.586	85.8157	225.586	85.0171	225.586	51.3642	225.586	50.5655	225.586	49.9794
232.91	86.7691	232.91	86.6892	232.91	86.0857	232.91	85.1503	232.91	51.5183	232.91	50.5829	232.91	49.9794
241.699	86.5303	241.699	86.4472	241.699	85.8443	241.699	84.9529	241.699	51.4737	241.699	50.5823	241.699	49.9794
250.488	86.4478	250.488	86.3493	250.488	85.6419	250.488	84.6241	250.488	51.7046	250.488	50.6868	250.488	49.9794
259.277	86.7064	259.277	86.6251	259.277	85.9625	259.277	84.8985	259.277	51.7061	259.277	50.642	259.277	49.9794
268.066	86.1534	268.066	86.0613	268.066	85.4121	268.066	84.5255	268.066	51.5152	268.066	50.6286	268.066	49.9794
276.855	86.3213	276.855	86.2328	276.855	85.4917	276.855	84.3088	276.855	51.9035	276.855	50.7205	276.855	49.9794
287.109	86.3242	287.109	86.2305	287.109	85.5203	287.109	84.3056	287.109	51.9042	287.109	50.6896	287.109	49.9794
297.363	86.1222	297.363	86.012	297.363	85.2611	297.363	84.1245	297.363	51.8669	297.363	50.7303	297.363	49.9794
307.617	86.2414	307.617	86.1602	307.617	85.4524	307.617	84.1906	307.617	51.949	307.617	50.6872	307.617	49.9794
319.336	85.7679	319.336	85.6782	319.336	85.0121	319.336	83.8969	319.336	51.7607	319.336	50.6454	319.336	49.9794
329.59	85.8072	329.59	85.7126	329.59	84.9768	329.59	83.6759	329.59	52.0161	329.59	50.7153	329.59	49.9794
341.309	85.4258	341.309	85.3241	341.309	84.6842	341.309	83.5865	341.309	51.717	341.309	50.6193	341.309	49.9794
353.027	85.3973	353.027	85.2634	353.027	84.3586	353.027	82.9754	353.027	52.2675	353.027	50.8842	353.027	49.9794
366.211	85.3244	366.211	85.2061	366.211	84.4227	366.211	82.9558	366.211	52.2297	366.211	50.7629	366.211	49.9794
379.395	85.4756	379.395	85.3586	379.395	84.6091	379.395	83.1103	379.395	52.2278	379.395	50.729	379.395	49.9794
392.578	85.4379	392.578	85.2128	392.578	84.0843	392.578	82.8629	392.578	52.3293	392.578	51.1079	392.578	49.9794
405.762	85.5881	405.762	85.4068	405.762	84.1962	405.762	82.7767	405.762	52.6095	405.762	51.19	405.762	49.9794
420.41	85.7252	420.41	85.5382	420.41	84.2575	420.41	82.4442	420.41	53.0734	420.41	51.2601	420.41	49.9794
435.059	86.3742	435.059	86.2145	435.059	84.8392	435.059	82.9486	435.059	53.2453	435.059	51.3547	435.059	49.9794
451.172	86.3793	451.172	86.2914	451.172	85.2678	451.172	83.0972	451.172	53.1736	451.172	51.0031	451.172	49.9794
465.82	85.5878	465.82	85.5106	465.82	84.7658	465.82	82.7627	465.82	52.7273	465.82	50.7242	465.82	49.9794
483.398	84.8916	483.398	84.8301	483.398	84.2626	483.398	82.4042	483.398	52.4053	483.398	50.5469	483.398	49.9794
499.512	84.5346	499.512	84.423	499.512	83.9213	499.512	82.1323	499.512	52.2701	499.512	50.4811	499.512	49.9794
517.09	83.5947	517.09	83.499	517.09	83.4072	517.09	81.8899	517.09	51.5885	517.09	50.0712	517.09	49.9794
536.133	82.6338	536.133	82.2641	536.133	81.9418	536.133	81.6034	536.133	50.6401	536.133	50.3017	536.133	49.9794
555.176	85.267	555.176	84.971	555.176	83.5673	555.176	81.7255	555.176	53.225	555.176	51.3831	555.176	49.9794
