"Estimated In-Room Response"	
"Estimated In-Room Response"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	63.6142
21.9727	64.6567
23.4375	65.8731
25.6348	67.354
27.0996	68.2666
29.2969	69.6271
31.4941	70.8439
33.6914	71.8029
35.8887	72.8736
38.8184	74.2172
41.0156	75.2294
43.9453	76.5136
47.6074	77.9526
50.5371	79.0176
54.1992	80.3131
58.5938	81.7178
62.2559	82.6472
66.6504	83.8246
71.7773	84.975
76.9043	86.0583
82.7637	87.0641
88.623	87.854
94.4824	88.3935
101.807	88.7772
109.131	88.9931
116.455	89.0629
125.244	88.922
134.033	88.718
143.555	88.5812
153.809	88.5699
164.795	88.9439
176.514	88.8314
189.697	88.8862
202.881	88.7438
217.529	88.3752
232.91	88.23
249.756	87.6663
268.066	87.1683
287.109	87.642
307.617	87.5983
329.59	87.1627
353.76	87.3618
378.662	87.6333
405.762	87.0646
435.059	86.9975
466.553	87.0436
500.244	86.3397
536.133	86.2107
574.219	86.8317
615.234	86.816
659.912	86.6444
706.787	86.4581
758.057	86.2586
812.256	85.6225
870.85	85.7231
933.105	85.8098
999.756	85.5413
1,071.53	85.3477
1,148.44	86.0824
1,231.2	87.0533
1,319.82	86.9619
1,414.31	86.2772
1,515.38	86.6384
1,624.51	86.1129
1,740.97	85.6049
1,866.21	84.9591
2,000.24	84.7274
2,143.8	85.0326
2,297.61	85.4423
2,462.4	85.4575
2,638.92	85.768
2,828.61	86.0953
3,031.49	85.6986
3,249.02	85.9129
3,481.93	85.5034
3,732.42	85.0334
3,999.76	84.8208
4,286.87	84.9606
4,594.48	85.0194
4,924.8	85.3823
5,277.83	85.2975
5,656.49	84.6384
6,062.99	84.5482
6,498.05	85.1067
6,964.6	85.4
7,464.11	84.5901
8,000.24	83.1743
8,574.46	84.4548
9,189.7	84.2475
9,848.88	82.7608
10,556.4	83.295
11,313.7	82.8999
12,126	81.5637
12,996.1	81.6039
13,928.5	80.9145
14,928.2	79.957
15,999.8	79.495
17,148.2	78.4737
18,379.4	77.8274
19,698.5	77.8881
19,999.5	78.7154
