"Directivity Index"
"Sound Power DI"		"Early Reflections DI"
"Frequency [Hz]"	"[dB] Directivity Index "	"Frequency [Hz]"	"[dB] Directivity Index "
20.5078	-0.174536	20.5078	-0.015761
21.9727	0.106537	21.9727	0.0438838
23.4375	0.737006	23.4375	0.379035
24.9023	0.515392	24.9023	0.194877
26.3672	0.704747	26.3672	0.243528
27.832	0.914936	27.832	0.351743
29.2969	0.194984	29.2969	0.101278
30.7617	0.27108	30.7617	0.147657
32.2266	-0.13812	32.2266	-0.00792905
33.6914	-0.22081	33.6914	-0.0154084
35.1562	-0.0992061	35.1562	0.039414
36.6211	-0.745052	36.6211	-0.172369
38.0859	-1.17288	38.0859	-0.380449
39.5508	-1.55842	39.5508	-0.535363
41.0156	-1.6458	41.0156	-0.581301
42.4805	-1.55973	42.4805	-0.553347
43.9453	-1.49206	43.9453	-0.499618
45.4102	-1.56869	45.4102	-0.536012
46.875	-1.5587	46.875	-0.531085
48.3398	-1.50923	48.3398	-0.493201
51.2695	-1.67829	51.2695	-0.602432
52.7344	-1.34661	52.7344	-0.47197
54.1992	-0.93333	54.1992	-0.287902
55.6641	-0.825866	55.6641	-0.23569
58.5938	-0.760943	58.5938	-0.22175
60.0586	-0.687127	60.0586	-0.197323
62.9883	-0.568741	62.9883	-0.164522
64.4531	-0.497958	64.4531	-0.139746
67.3828	-0.439577	67.3828	-0.126679
68.8477	-0.400826	68.8477	-0.116239
71.7773	-0.322464	71.7773	-0.0927676
74.707	-0.280217	74.707	-0.0827707
77.6367	-0.268368	77.6367	-0.0849381
79.1016	-0.266143	79.1016	-0.0877228
82.0312	-0.237893	82.0312	-0.0825364
84.9609	-0.25128	84.9609	-0.0911324
87.8906	-0.29965	87.8906	-0.116976
90.8203	-0.167304	90.8203	-0.0686219
95.2148	-0.117632	95.2148	-0.0533496
98.1445	-0.110273	98.1445	-0.0498548
101.074	-0.188466	101.074	-0.0814738
105.469	-0.134661	105.469	-0.066862
108.398	-0.12886	108.398	-0.0659782
112.793	-0.14142	112.793	-0.0734504
117.188	-0.102137	117.188	-0.0572064
120.117	-0.0723001	120.117	-0.0450132
124.512	-0.084616	124.512	-0.0561483
128.906	-0.0515706	128.906	-0.0401313
133.301	-0.105501	133.301	-0.0643548
139.16	-0.043365	139.16	-0.0391047
143.555	-0.01838	143.555	-0.0281444
147.949	0.00419284	147.949	-0.018473
153.809	0.00938441	153.809	-0.0168244
159.668	0.00662705	159.668	-0.0170651
165.527	0.0345541	165.527	-0.00418964
171.387	0.0477095	171.387	0.00177374
177.246	0.0513478	177.246	0.00597352
183.105	0.0558645	183.105	0.0142318
188.965	0.111191	188.965	0.0360108
196.289	0.152253	196.289	0.0530079
203.613	0.230979	203.613	0.086186
210.938	0.208364	210.938	0.0708714
218.262	0.167091	218.262	0.061012
225.586	0.201077	225.586	0.0772564
232.91	0.216682	232.91	0.0968417
241.699	0.17712	241.699	0.0841813
250.488	0.395919	250.488	0.182927
259.277	0.305962	259.277	0.151098
268.066	0.373453	268.066	0.195304
276.855	0.470966	276.855	0.23796
287.109	0.503991	287.109	0.201266
297.363	0.35125	297.363	0.176341
307.617	0.586838	307.617	0.338914
319.336	0.468521	319.336	0.249954
329.59	0.608633	329.59	0.276391
341.309	0.624379	341.309	0.342723
353.027	0.786717	353.027	0.440798
366.211	0.853369	366.211	0.452803
379.395	0.841609	379.395	0.412785
392.578	0.970299	392.578	0.509386
405.762	1.03815	405.762	0.554717
420.41	1.27345	420.41	0.708495
435.059	0.995967	435.059	0.478943
451.172	1.64452	451.172	0.821686
465.82	1.70131	465.82	0.862744
483.398	1.69039	483.398	0.785832
499.512	1.83094	499.512	0.865648
517.09	2.08119	517.09	0.989882
536.133	2.02687	536.133	0.959394
555.176	2.33973	555.176	1.03989
574.219	2.30909	574.219	1.01585
594.727	2.53195	594.727	1.1174
615.234	2.673	615.234	1.17237
637.207	2.79602	637.207	1.15637
659.18	2.84055	659.18	1.14153
682.617	2.97135	682.617	1.25207
707.52	3.07867	707.52	1.17906
732.422	3.20587	732.422	1.24926
757.324	3.48453	757.324	1.28643
785.156	3.37931	785.156	1.01707
811.523	2.92496	811.523	0.654236
840.82	2.43762	840.82	0.444774
870.117	2.2849	870.117	0.409821
900.879	2.4735	900.879	0.559
933.105	2.09962	933.105	0.4038
965.332	1.96665	965.332	0.248033
1,000.49	1.36459	1,000.49	0.0189691
1,035.64	2.41094	1,035.64	1.0238
1,072.27	2.93045	1,072.27	1.58528
1,108.89	3.86732	1,108.89	2.06779
1,148.44	4.47955	1,148.44	2.16323
1,189.45	4.34175	1,189.45	1.85417
1,230.47	4.05592	1,230.47	1.67944
1,274.41	3.90714	1,274.41	1.52898
1,319.82	3.68615	1,319.82	1.36526
1,366.7	4.14149	1,366.7	1.74945
1,413.57	4.50223	1,413.57	1.90174
1,463.38	4.82052	1,463.38	1.89374
1,516.11	4.87911	1,516.11	1.92501
1,568.85	4.9627	1,568.85	2.0797
1,624.51	5.1294	1,624.51	2.26583
1,681.64	4.49788	1,681.64	1.99988
1,741.7	4.17082	1,741.7	1.56964
1,803.22	5.03796	1,803.22	2.08359
1,866.21	5.17707	1,866.21	2.27346
1,932.13	4.94442	1,932.13	2.114
1,999.51	5.22034	1,999.51	2.23148
2,069.82	5.56504	2,069.82	2.41456
2,143.07	6.2578	2,143.07	2.69662
2,219.24	6.66951	2,219.24	2.92789
2,296.88	6.78523	2,296.88	2.98503
2,378.91	6.61274	2,378.91	2.78625
2,462.4	7.10228	2,462.4	2.96018
2,548.83	7.3916	2,548.83	3.18103
2,639.65	7.54919	2,639.65	3.38936
2,731.93	7.45695	2,731.93	3.24041
2,828.61	7.85631	2,828.61	3.37615
2,928.22	8.12563	2,928.22	3.62432
3,030.76	7.92724	3,030.76	3.61668
3,137.7	7.66234	3,137.7	3.50702
3,249.02	7.59337	3,249.02	3.56608
3,363.28	7.51206	3,363.28	3.60763
3,481.93	7.4657	3,481.93	3.59109
3,604.98	7.69715	3,604.98	3.65316
3,732.42	7.62509	3,732.42	3.68556
3,864.26	7.38737	3,864.26	3.56774
4,000.49	7.40573	4,000.49	3.62301
4,141.11	7.50393	4,141.11	3.51274
4,287.6	7.38692	4,287.6	3.39912
4,438.48	6.9749	4,438.48	3.32543
4,595.21	7.38611	4,595.21	3.20384
4,756.35	7.37413	4,756.35	3.27513
4,924.8	7.22143	4,924.8	3.16741
5,097.66	6.62621	5,097.66	3.01077
5,277.83	6.78041	5,277.83	3.10056
5,463.87	6.42621	5,463.87	2.94146
5,657.23	6.41039	5,657.23	2.70008
5,856.45	6.00126	5,856.45	2.40049
6,062.99	6.59342	6,062.99	2.60165
6,276.86	6.75938	6,276.86	2.62699
6,498.05	6.77737	6,498.05	2.64185
6,726.56	7.06073	6,726.56	2.77615
6,963.87	7.22431	6,963.87	2.85652
7,209.96	7.31504	7,209.96	2.87185
7,464.84	7.40766	7,464.84	2.87147
7,727.05	7.36186	7,727.05	2.92257
7,999.51	7.16358	7,999.51	2.97551
8,282.23	7.29688	8,282.23	3.29137
8,573.73	7.14426	8,573.73	3.1435
8,876.95	7.14236	8,876.95	3.09329
9,188.96	7.36705	9,188.96	3.14847
9,514.16	7.14829	9,514.16	2.79035
9,849.61	7.33057	9,849.61	2.8671
10,196.8	7.47322	10,196.8	2.97599
10,555.7	7.68866	10,555.7	3.1854
10,927.7	7.75225	10,927.7	3.24542
11,313	7.71393	11,313	3.22265
11,712.9	7.93697	11,712.9	3.2873
12,126	7.94918	12,126	3.30179
12,553.7	7.96048	12,553.7	3.35078
12,996.1	8.0967	12,996.1	3.45264
13,454.6	8.25617	13,454.6	3.53269
13,929.2	8.1872	13,929.2	3.49834
14,419.9	8.18642	14,419.9	3.44878
14,928.2	8.47999	14,928.2	3.63426
15,455.6	8.8604	15,455.6	3.94963
16,000.5	9.01655	16,000.5	4.05168
16,564.5	9.11448	16,564.5	4.0523
17,148.9	9.23003	17,148.9	4.08755
17,752.4	9.56808	17,752.4	4.35006
18,379.4	9.86448	18,379.4	4.59871
19,026.9	9.84868	19,026.9	4.57689
19,697.8	9.89919	19,697.8	4.61336
19,999.5	9.81379	19,999.5	4.60555
