"Early Reflections"
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce"		"Total Early Reflection"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
277.588	106.401	277.588	104.921	277.588	105.965	277.588	105.543	277.588	105.493	277.588	105.697
287.109	106.106	287.109	104.51	287.109	105.663	287.109	105.022	287.109	105.014	287.109	105.285
297.363	106.259	297.363	104.527	297.363	105.8	297.363	104.992	297.363	104.67	297.363	105.303
307.617	106.284	307.617	104.298	307.617	105.749	307.617	104.867	307.617	104.518	307.617	105.21
318.604	106.283	318.604	104.133	318.604	105.734	318.604	104.747	318.604	104.137	318.604	105.111
329.59	106.405	329.59	104.174	329.59	105.851	329.59	104.822	329.59	104.061	329.59	105.189
341.309	106.25	341.309	103.793	341.309	105.644	341.309	104.566	341.309	103.828	341.309	104.955
353.76	106.389	353.76	103.803	353.76	105.791	353.76	104.647	353.76	103.641	353.76	105.036
366.211	106.39	366.211	103.745	366.211	105.793	366.211	104.653	366.211	103.717	366.211	105.041
378.662	106.665	378.662	104.027	378.662	106.085	378.662	104.809	378.662	103.774	378.662	105.262
392.578	106.499	392.578	103.929	392.578	105.928	392.578	104.696	392.578	103.648	392.578	105.127
405.762	106.446	405.762	103.693	405.762	105.831	405.762	104.48	405.762	103.466	405.762	104.977
420.41	106.444	420.41	103.535	420.41	105.807	420.41	104.362	420.41	103.064	420.41	104.883
435.059	106.245	435.059	103.07	435.059	105.581	435.059	104.071	435.059	102.816	435.059	104.618
450.439	106.151	450.439	103.072	450.439	105.559	450.439	103.982	450.439	102.368	450.439	104.532
466.553	106.098	466.553	103.003	466.553	105.526	466.553	103.896	466.553	102.25	466.553	104.469
482.666	105.917	482.666	102.916	482.666	105.374	482.666	103.747	482.666	101.957	482.666	104.309
500.244	106.12	500.244	102.607	500.244	105.493	500.244	103.661	500.244	101.652	500.244	104.311
517.822	105.73	517.822	102.339	517.822	105.323	517.822	103.724	517.822	101.363	517.822	104.168
536.133	105.389	536.133	103.192	536.133	105.607	536.133	104.121	536.133	101.571	536.133	104.437
554.443	105.26	554.443	103.7	554.443	105.205	554.443	103.83	554.443	101.937	554.443	104.248
574.219	105.618	574.219	103.28	574.219	104.968	574.219	103.293	574.219	101.369	574.219	103.963
594.727	106.511	594.727	103.877	594.727	106.282	594.727	104.541	594.727	101.882	594.727	105.071
615.234	106.8	615.234	104.628	615.234	106.719	615.234	105.148	615.234	102.4	615.234	105.576
637.207	106.594	637.207	104.604	637.207	106.357	637.207	105.046	637.207	102.564	637.207	105.392
659.912	106.623	659.912	104.566	659.912	106.379	659.912	105.068	659.912	102.469	659.912	105.402
683.35	106.63	683.35	104.292	683.35	106.345	683.35	105.042	683.35	102.64	683.35	105.367
706.787	105.886	706.787	103.697	706.787	105.858	706.787	104.854	706.787	102.699	706.787	104.978
731.689	106.037	731.689	103.725	731.689	106.023	731.689	104.825	731.689	102.674	731.689	105.044
758.057	106.24	758.057	103.607	758.057	106.112	758.057	104.728	758.057	102.752	758.057	105.065
784.424	106.217	784.424	103.92	784.424	106.27	784.424	104.555	784.424	102.128	784.424	105.044
812.256	106.233	812.256	104.319	812.256	106.209	812.256	104.836	812.256	101.875	812.256	105.146
840.82	105.381	840.82	104.143	840.82	105.338	840.82	104.445	840.82	102.069	840.82	104.585
870.85	105.475	870.85	102.9	870.85	105.196	870.85	104.149	870.85	102.512	870.85	104.359
901.611	105.393	901.611	102.648	901.611	105.273	901.611	103.902	901.611	102.077	901.611	104.231
933.105	105.579	933.105	102.211	933.105	105.467	933.105	103.601	933.105	102.418	933.105	104.216
966.064	105.31	966.064	101.608	966.064	105.254	966.064	103.175	966.064	102.535	966.064	103.923
999.756	105.893	999.756	102.076	999.756	106.139	999.756	103.124	999.756	102.419	999.756	104.365
1,034.91	105.38	1,034.91	101.874	1,034.91	106.079	1,034.91	102.891	1,034.91	100.751	1,034.91	104.07
1,071.53	105.006	1,071.53	103.05	1,071.53	105.933	1,071.53	102.794	1,071.53	99.455	1,071.53	103.957
1,109.62	104.551	1,109.62	103.447	1,109.62	105.494	1,109.62	102.362	1,109.62	98.3632	1,109.62	103.579
1,148.44	104.508	1,148.44	103.473	1,148.44	105.407	1,148.44	102.51	1,148.44	99.0251	1,148.44	103.608
1,189.45	104.443	1,189.45	102.946	1,189.45	105.378	1,189.45	102.299	1,189.45	98.9257	1,189.45	103.464
1,231.2	104.445	1,231.2	103.023	1,231.2	105.627	1,231.2	102.271	1,231.2	99.079	1,231.2	103.576
1,274.41	104.294	1,274.41	103.247	1,274.41	105.359	1,274.41	101.947	1,274.41	98.3637	1,274.41	103.344
1,319.82	104.178	1,319.82	102.802	1,319.82	105.248	1,319.82	101.825	1,319.82	97.6841	1,319.82	103.173
1,365.97	103.87	1,365.97	102.115	1,365.97	104.946	1,365.97	101.686	1,365.97	97.1057	1,365.97	102.87
1,414.31	104.078	1,414.31	101.939	1,414.31	104.865	1,414.31	101.7	1,414.31	96.9996	1,414.31	102.85
1,464.11	104.155	1,464.11	101.406	1,464.11	104.933	1,464.11	101.551	1,464.11	96.9089	1,464.11	102.798
1,515.38	104.035	1,515.38	100.555	1,515.38	104.919	1,515.38	101.285	1,515.38	95.9761	1,515.38	102.605
1,568.85	103.88	1,568.85	100.083	1,568.85	104.76	1,568.85	101.119	1,568.85	95.4501	1,568.85	102.414
1,624.51	103.791	1,624.51	98.9073	1,624.51	104.486	1,624.51	100.702	1,624.51	95.124	1,624.51	102.073
1,681.64	103.678	1,681.64	95.7801	1,681.64	104.409	1,681.64	100.602	1,681.64	94.438	1,681.64	101.846
1,740.97	103.475	1,740.97	91.5682	1,740.97	104.593	1,740.97	100.53	1,740.97	94.3331	1,740.97	101.802
1,802.49	103.219	1,802.49	89.0062	1,802.49	104.773	1,802.49	100.692	1,802.49	94.6364	1,802.49	101.886
1,866.21	102.85	1,866.21	90.9412	1,866.21	104.27	1,866.21	100.224	1,866.21	94.2563	1,866.21	101.437
1,932.13	102.423	1,932.13	94.3471	1,932.13	103.703	1,932.13	99.4307	1,932.13	93.6786	1,932.13	100.895
2,000.24	102.159	2,000.24	95.9405	2,000.24	104.616	2,000.24	99.9957	2,000.24	93.6339	2,000.24	101.539
2,070.56	102.356	2,070.56	96.3967	2,070.56	105.252	2,070.56	100.597	2,070.56	94.3588	2,070.56	102.105
2,143.8	102.528	2,143.8	97.143	2,143.8	104.715	2,143.8	100.316	2,143.8	94.7886	2,143.8	101.795
2,219.24	102.793	2,219.24	97.7199	2,219.24	104.279	2,219.24	99.5974	2,219.24	94.0171	2,219.24	101.425
2,297.61	102.572	2,297.61	98.2562	2,297.61	105.542	2,297.61	100.312	2,297.61	93.7317	2,297.61	102.281
2,378.17	103.166	2,378.17	98.6942	2,378.17	105.878	2,378.17	100.759	2,378.17	94.2417	2,378.17	102.685
2,462.4	103.211	2,462.4	99.337	2,462.4	105.498	2,462.4	100.438	2,462.4	93.8394	2,462.4	102.428
2,548.83	103.43	2,548.83	99.7765	2,548.83	105.4	2,548.83	100.215	2,548.83	93.5735	2,548.83	102.375
2,638.92	103.219	2,638.92	100.753	2,638.92	105.774	2,638.92	100.597	2,638.92	93.596	2,638.92	102.706
2,731.93	103.135	2,731.93	101.041	2,731.93	105.569	2,731.93	100.371	2,731.93	93.3976	2,731.93	102.55
2,828.61	103.251	2,828.61	101.287	2,828.61	105.661	2,828.61	100.445	2,828.61	93.2761	2,828.61	102.651
2,928.22	103.549	2,928.22	101.5	2,928.22	105.431	2,928.22	99.8958	2,928.22	92.9151	2,928.22	102.461
3,031.49	103.638	3,031.49	101.139	3,031.49	105.035	3,031.49	99.4765	3,031.49	92.4211	3,031.49	102.138
3,138.43	103.629	3,138.43	100.374	3,138.43	105.556	3,138.43	99.8388	3,138.43	92.2231	3,138.43	102.429
3,249.02	104.049	3,249.02	99.3546	3,249.02	105.57	3,249.02	99.7635	3,249.02	91.7687	3,249.02	102.418
3,363.28	104.753	3,363.28	98.9081	3,363.28	105.156	3,363.28	99.5239	3,363.28	91.5931	3,363.28	102.249
3,481.93	104.568	3,481.93	98.877	3,481.93	105.118	3,481.93	99.2908	3,481.93	91.5025	3,481.93	102.141
3,604.98	104.313	3,604.98	99.4397	3,604.98	105.108	3,604.98	99.1613	3,604.98	91.2864	3,604.98	102.09
3,732.42	104.029	3,732.42	99.8701	3,732.42	104.699	3,732.42	98.7395	3,732.42	90.787	3,732.42	101.76
