"Contour Plot"		
""		
"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa)"	"Theta / deg"
23.6	71.9505	-180
24.3	71.9966	-180
25	72.0414	-180
25.8	72.0911	-180
26.5	72.1334	-180
27.2	72.1746	-180
28	72.2203	-180
29	72.2757	-180
30	72.3422	-180
30.7	72.3912	-180
31.5	72.4458	-180
32.5	72.5122	-180
33.5	72.5766	-180
34.5	72.6391	-180
35.5	72.7048	-180
36.5	72.7784	-180
37.5	72.85	-180
38.7	72.9334	-180
40	73.0209	-180
41.2	73.1014	-180
42.5	73.1987	-180
43.7	73.2859	-180
45	73.3777	-180
46.2	73.4602	-180
47.5	73.5529	-180
48.7	73.642	-180
50	73.7361	-180
51.5	73.8416	-180
53	73.9461	-180
54.5	74.0569	-180
56	74.1646	-180
58	74.3038	-180
60	74.447	-180
61.5	74.5539	-180
63	74.6584	-180
65	74.7967	-180
67	74.9386	-180
69	75.0762	-180
71	75.2134	-180
73	75.3531	-180
75	75.489	-180
77.5	75.6601	-180
80	75.8313	-180
82.5	75.9994	-180
85	76.1721	-180
87.5	76.3398	-180
90	76.5132	-180
92.5	76.6837	-180
95	76.8563	-180
97.5	77.0307	-180
100	77.203	-180
103	77.4179	-180
106	77.6297	-180
109	77.8497	-180
112	78.0678	-180
115	78.2938	-180
118	78.519	-180
122	78.8279	-180
125	79.0648	-180
128	79.3022	-180
132	79.6283	-180
136	79.9568	-180
140	80.291	-180
145	80.7181	-180
150	81.1505	-180
155	81.5867	-180
160	82.0254	-180
165	82.4652	-180
170	82.9047	-180
175	83.3441	-180
180	83.78	-180
185	84.2111	-180
190	84.6363	-180
195	85.0549	-180
200	85.466	-180
206	85.9487	-180
212	86.4184	-180
218	86.8745	-180
224	87.3161	-180
230	87.743	-180
236	88.1548	-180
243	88.6158	-180
250	89.0562	-180
258	89.5345	-180
265	89.93	-180
272	90.3053	-180
280	90.7104	-180
290	91.1804	-180
300	91.6127	-180
307	91.8927	-180
315	92.1919	-180
325	92.5345	-180
335	92.8449	-180
345	93.1241	-180
355	93.3732	-180
365	93.5954	-180
375	93.7922	-180
387	93.9957	-180
400	94.1801	-180
412	94.3205	-180
425	94.4434	-180
437	94.5327	-180
450	94.6062	-180
462	94.6546	-180
475	94.6884	-180
487	94.7039	-180
500	94.7052	-180
515	94.6889	-180
530	94.6539	-180
545	94.602	-180
560	94.5324	-180
580	94.4147	-180
600	94.268	-180
615	94.1412	-180
630	94.0005	-180
650	93.7955	-180
670	93.5742	-180
690	93.3418	-180
710	93.1018	-180
730	92.8555	-180
750	92.6019	-180
775	92.2678	-180
800	91.9052	-180
825	91.5053	-180
850	91.0677	-180
875	90.6075	-180
900	90.1584	-180
925	89.7685	-180
950	89.4869	-180
975	89.3396	-180
1,000	89.3113	-180
1,030	89.3634	-180
1,060	89.4035	-180
1,090	89.3382	-180
1,120	89.1139	-180
1,150	88.7226	-180
1,180	88.1983	-180
1,220	87.4268	-180
1,250	86.9311	-180
1,280	86.6106	-180
1,320	86.5057	-180
1,360	86.6898	-180
1,400	87.0265	-180
1,450	87.4983	-180
1,500	87.868	-180
1,550	87.9824	-180
1,600	87.762	-180
1,650	87.2479	-180
1,700	86.6178	-180
1,750	86.1246	-180
1,800	85.9479	-180
1,850	86.0471	-180
1,900	86.2219	-180
1,950	86.3676	-180
2,000	86.6524	-180
2,060	87.5168	-180
2,120	88.7252	-180
2,180	89.7407	-180
2,240	90.4562	-180
2,300	91.0093	-180
2,360	91.3481	-180
2,430	91.2715	-180
2,500	90.7787	-180
2,580	89.8494	-180
2,650	88.4699	-180
2,720	87.2674	-180
2,800	87.6489	-180
2,900	87.8526	-180
3,000	87.0441	-180
3,070	86.9236	-180
3,150	87.1954	-180
3,250	89.0234	-180
3,350	90.5173	-180
3,450	91.2455	-180
3,550	92.1513	-180
3,650	92.3702	-180
3,750	92.3582	-180
3,870	91.5942	-180
4,000	90.2159	-180
4,120	88.1725	-180
4,250	84.4024	-180
4,370	81.5324	-180
4,500	77.1646	-180
4,620	78.3301	-180
4,750	77.4382	-180
4,870	78.8521	-180
5,000	78.6937	-180
5,150	80.986	-180
5,300	79.5057	-180
5,450	80.1965	-180
5,600	78.8877	-180
5,800	75.904	-180
6,000	76.1979	-180
6,150	75.1503	-180
6,300	67.5381	-180
6,500	54.9804	-180
6,700	70.1113	-180
6,900	74.9902	-180
7,100	79.125	-180
7,300	79.9174	-180
7,500	82.4358	-180
7,750	83.9537	-180
8,000	84.1983	-180
8,250	83.0988	-180
8,500	82.8673	-180
8,750	82.4283	-180
9,000	81.3571	-180
9,250	81.2756	-180
9,500	80.359	-180
9,750	78.8995	-180
10,000	80.263	-180
10,300	81.181	-180
10,600	79.1075	-180
10,900	78.922	-180
11,200	79.6564	-180
11,500	79.8258	-180
11,800	78.9606	-180
12,200	78.3402	-180
12,500	77.5935	-180
12,800	75.6596	-180
13,200	70.7347	-180
13,600	43.8538	-180
14,000	67.3944	-180
14,500	73.4563	-180
15,000	71.0594	-180
15,500	62.6117	-180
16,000	52.7749	-180
16,500	67.0708	-180
17,000	68.7309	-180
17,500	66.6473	-180
18,000	64.6764	-180
18,500	63.7744	-180
19,000	58.9179	-180
19,500	57.1524	-180
23.6	70.6385	-170
24.3	70.6961	-170
25	70.7521	-170
25.8	70.8142	-170
26.5	70.867	-170
27.2	70.9184	-170
28	70.9755	-170
29	71.0447	-170
30	71.1269	-170
30.7	71.1873	-170
31.5	71.2547	-170
32.5	71.3365	-170
33.5	71.4159	-170
34.5	71.493	-170
35.5	71.5738	-170
36.5	71.6635	-170
37.5	71.7508	-170
38.7	71.8525	-170
40	71.9592	-170
41.2	72.0572	-170
42.5	72.1748	-170
43.7	72.2802	-170
45	72.3912	-170
46.2	72.4908	-170
47.5	72.6025	-170
48.7	72.7094	-170
50	72.8224	-170
51.5	72.949	-170
53	73.0744	-170
54.5	73.2066	-170
56	73.3353	-170
58	73.5015	-170
60	73.6721	-170
61.5	73.7994	-170
63	73.9237	-170
65	74.0882	-170
67	74.2567	-170
69	74.4201	-170
71	74.5828	-170
73	74.7483	-170
75	74.9093	-170
77.5	75.1118	-170
80	75.314	-170
82.5	75.5125	-170
85	75.7158	-170
87.5	75.9132	-170
90	76.1163	-170
92.5	76.3158	-170
95	76.517	-170
97.5	76.7196	-170
100	76.9193	-170
103	77.1664	-170
106	77.4094	-170
109	77.6595	-170
112	77.9066	-170
115	78.1603	-170
118	78.4119	-170
122	78.7537	-170
125	79.0133	-170
128	79.2723	-170
132	79.6242	-170
