19.042969,72.721842,-26.487555
19.775391,73.981234,-26.337170
20.507812,75.357392,-29.041796
21.240234,76.667176,-34.145878
21.972656,77.821760,-40.955736
22.705078,78.791265,-48.859462
23.437500,79.574727,-57.384305
24.169922,80.184393,-66.172144
24.902344,80.639068,-74.946607
25.634766,80.961879,-83.490640
26.367188,81.179827,-91.636860
27.099609,81.323642,-99.269191
27.832031,81.426811,-106.332441
28.564453,81.522991,-112.843463
29.296875,81.641691,-118.894159
30.029297,81.803354,-124.636854
30.761719,82.016008,-130.250451
31.494141,82.275397,-135.898253
32.226562,82.568620,-141.694913
32.958984,82.879413,-147.694153
33.691406,83.192797,-153.896486
34.423828,83.497798,-160.267983
35.156250,83.788168,-166.760565
35.888672,84.061675,-173.327901
36.621094,84.318671,-179.934696
37.353516,84.560525,173.440571
38.085938,84.788340,166.808142
38.818359,85.002223,160.172636
39.550781,85.201196,153.539507
40.283203,85.383668,146.920075
41.015625,85.548217,140.333663
41.748047,85.694424,133.806362
42.480469,85.823480,127.366877
43.212891,85.938374,121.040599
43.945312,86.043586,114.843490
45.410156,86.245252,102.829317
46.142578,86.349679,96.972857
46.875000,86.458444,91.176029
47.607422,86.569900,85.409255
48.339844,86.680429,79.653611
49.804688,86.881260,68.179742
50.537109,86.965267,62.501052
51.269531,87.037769,56.901551
52.734375,87.161837,46.040302
53.466797,87.224367,40.791635
54.199219,87.294577,35.640351
55.664062,87.467543,25.466149
56.396484,87.566753,20.355906
57.128906,87.667164,15.191222
58.593750,87.843201,4.711151
59.326172,87.907808,-0.543689
60.791016,87.985196,-10.842433
61.523438,88.006748,-15.797749
62.988281,88.056520,-25.238854
64.453125,88.168716,-34.247111
65.185547,88.257303,-38.732649
66.650391,88.482417,-47.952443
68.115234,88.720731,-57.664258
68.847656,88.826616,-62.682194
70.312500,88.992793,-72.882984
71.777344,89.099111,-83.094193
73.242188,89.163341,-93.181354
73.974609,89.185169,-98.175160
75.439453,89.212106,-108.089731
76.904297,89.214207,-117.917125
78.369141,89.189015,-127.615253
79.833984,89.142287,-137.123951
81.298828,89.085576,-146.427403
82.763672,89.027192,-155.562621
84.228516,88.967798,-164.571287
85.693359,88.905104,-173.458769
87.158203,88.840595,177.791711
89.355469,88.751074,164.905799
90.820312,88.697201,156.419070
92.285156,88.641716,147.998554
93.750000,88.581190,139.679355
95.947266,88.491512,127.454762
97.412109,88.441146,119.430455
98.876953,88.393763,111.439156
101.074219,88.301625,99.545935
102.539062,88.220220,91.814426
104.736328,88.097826,80.678284
106.201172,88.036185,73.499999
108.398438,87.972851,62.907545
110.595703,87.924413,52.519351
112.792969,87.901008,42.413417
114.257812,87.908518,35.764712
116.455078,87.941984,25.796044
118.652344,87.984879,15.874572
120.849609,88.046875,6.022218
123.046875,88.123613,-3.933705
125.244141,88.178366,-14.000465
127.441406,88.204652,-23.959541
129.638672,88.226697,-33.805534
131.835938,88.231722,-43.680200
134.765625,88.173205,-56.587834
136.962891,88.124060,-65.855893
139.160156,88.097784,-75.017496
142.089844,88.047742,-87.185439
144.287109,88.008894,-96.067328
147.216797,87.995746,-107.905305
149.414062,87.968377,-116.932148
152.343750,87.895608,-128.739191
155.273438,87.839655,-140.422515
157.470703,87.779940,-149.268311
160.400391,87.667485,-160.879716
163.330078,87.544769,-172.407059
166.259766,87.365957,176.257917
169.189453,87.194580,165.484060
172.119141,87.063689,154.704192
175.048828,86.899625,144.006238
178.710938,86.724422,130.999298
181.640625,86.571452,120.520596
185.302734,86.366486,107.970317
188.232422,86.244037,98.004166
191.894531,86.075327,85.681113
194.824219,85.965483,75.952233
198.486328,85.808546,63.840306
202.148438,85.676710,52.062882
205.810547,85.547945,40.286248
209.472656,85.436707,28.764777
213.134766,85.316196,17.239763
216.796875,85.212639,6.171558
220.458984,85.144482,-4.952393
224.853516,85.087259,-17.902546
228.515625,85.108192,-28.875988
232.910156,85.137124,-42.290443
236.572266,85.144189,-53.665182
240.966797,85.139955,-67.256033
245.361328,85.120432,-80.985544
249.755859,85.068695,-94.810245
254.150391,84.956363,-108.431282
258.544922,84.849027,-121.854703
262.939453,84.704670,-135.240519
