"Horizontal Reflections"							
"Front"		"Side"		"Rear"		"Total Horizontal Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	63.8186	20.5078	63.7111	20.5078	63.2178	20.5078	63.4801
21.9727	64.8431	21.9727	64.7514	21.9727	64.2892	21.9727	64.5326
23.4375	66.0822	23.4375	65.9734	23.4375	65.4565	23.4375	65.731
25.6348	67.5473	25.6348	67.4466	25.6348	66.9729	25.6348	67.224
27.0996	68.4646	27.0996	68.3583	27.0996	67.878	27.0996	68.1335
29.2969	69.8096	29.2969	69.7114	29.2969	69.2727	29.2969	69.5057
31.4941	71.0157	31.4941	70.918	31.4941	70.5175	31.4941	70.7313
33.6914	71.9921	33.6914	71.8776	33.6914	71.4481	33.6914	71.6799
35.8887	73.0745	35.8887	72.9464	35.8887	72.4986	35.8887	72.7424
38.8184	74.4232	38.8184	74.2848	38.8184	73.8401	38.8184	74.0845
41.0156	75.4498	41.0156	75.3006	41.0156	74.8217	41.0156	75.0856
43.9453	76.7154	43.9453	76.5623	43.9453	76.1601	43.9453	76.3863
47.6074	78.1708	47.6074	77.996	47.6074	77.5746	47.6074	77.815
50.5371	79.2558	50.5371	79.0564	50.5371	78.6082	50.5371	78.8673
54.1992	80.5575	54.1992	80.3412	54.1992	79.902	54.1992	80.1601
58.5938	81.9633	58.5938	81.7225	58.5938	81.3287	58.5938	81.5693
62.2559	82.9227	62.2559	82.6477	62.2559	82.205	62.2559	82.4775
66.6504	84.1188	66.6504	83.8102	66.6504	83.3627	66.6504	83.6449
71.7773	85.277	71.7773	84.9357	71.7773	84.5236	71.7773	84.795
76.9043	86.3803	76.9043	85.9969	76.9043	85.5942	76.9043	85.8701
82.7637	87.4241	82.7637	86.979	82.7637	86.551	82.7637	86.8532
88.623	88.2224	88.623	87.733	88.623	87.359	88.623	87.6437
94.4824	88.8161	94.4824	88.2439	94.4824	87.8317	94.4824	88.1544
101.807	89.2642	101.807	88.5895	101.807	88.1287	101.807	88.4997
109.131	89.533	109.131	88.7676	109.131	88.2831	109.131	88.6877
116.455	89.6531	116.455	88.7929	116.455	88.2973	116.455	88.7302
125.244	89.5851	125.244	88.5993	125.244	88.0571	125.244	88.5451
134.033	89.4448	134.033	88.3367	134.033	87.7843	134.033	88.3083
143.555	89.3915	143.555	88.1408	143.555	87.5398	143.555	88.1264
153.809	89.5307	153.809	88.0674	153.809	87.263	153.809	88.0179
164.795	89.956	164.795	88.404	164.795	87.5516	164.795	88.358
176.514	89.921	176.514	88.2156	176.514	87.4049	176.514	88.2314
189.697	90.1423	189.697	88.2524	189.697	87.0566	189.697	88.1602
