"Estimated In-Room Response"
"Estimated In-Room Response"
"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"
20.5078	70.0114
21.9727	71.5199
23.4375	72.2916
24.9023	73.2812
26.3672	74.312
27.832	75.3089
29.2969	75.8973
30.7617	76.5963
32.2266	77.2849
33.6914	77.913
35.1562	78.4754
36.6211	79.1448
38.0859	79.5812
39.5508	80.2755
41.0156	80.8392
42.4805	81.1629
43.9453	81.3438
45.4102	81.4452
46.875	81.8145
48.3398	82.1601
51.2695	82.6954
52.7344	82.9045
54.1992	83.1536
55.6641	83.2342
58.5938	83.499
60.0586	83.6122
62.9883	83.781
64.4531	83.8086
67.3828	83.8085
68.8477	83.7885
71.7773	83.9554
74.707	84.0605
77.6367	84.0901
79.1016	84.0439
82.0312	84.0338
84.9609	84.0068
87.8906	83.8456
90.8203	84.0532
95.2148	83.5795
98.1445	83.597
101.074	83.4046
105.469	83.6806
108.398	83.8951
112.793	83.9909
117.188	83.8687
120.117	83.7441
124.512	83.3284
128.906	83.5885
133.301	83.6789
139.16	83.6975
143.555	83.4906
147.949	83.0907
153.809	82.6151
159.668	82.9603
165.527	83.2507
171.387	83.3521
177.246	83.251
183.105	83.041
188.965	83.1059
196.289	83.6951
203.613	83.9793
210.938	84.1462
218.262	83.6255
225.586	83.719
232.91	84.327
241.699	84.2711
250.488	84.2642
259.277	84.7938
268.066	84.5282
276.855	84.1839
287.109	84.051
297.363	84.2661
307.617	84.919
319.336	84.5806
329.59	85.238
341.309	84.4951
353.027	84.1972
366.211	84.1443
379.395	84.7612
392.578	84.9276
405.762	84.6437
420.41	84.404
435.059	84.2071
451.172	84.5134
465.82	84.0506
483.398	83.2293
499.512	81.9151
517.09	82.2817
536.133	84.4049
555.176	84.8182
574.219	84.6101
594.727	84.198
615.234	84.5993
637.207	84.2717
659.18	84.1296
682.617	84.2718
707.52	83.3302
732.422	83.2591
757.324	83.069
785.156	82.6064
811.523	82.7324
840.82	82.8348
870.117	82.4765
900.879	82.2094
933.105	81.8942
965.332	81.6844
1,000.49	81.0793
1,035.64	81.4907
1,072.27	81.4065
1,108.89	81.5917
1,148.44	82.0574
1,189.45	82.6601
1,230.47	83.2777
1,274.41	83.8674
1,319.82	84.0799
1,366.7	84.1593
1,413.57	83.5562
1,463.38	83.5907
1,516.11	82.7608
1,568.85	81.7186
1,624.51	81.2753
1,681.64	81.437
1,741.7	81.7408
1,803.22	81.7187
1,866.21	81.5478
1,932.13	81.3302
1,999.51	81.6698
2,069.82	82.4621
2,143.07	83.0624
2,219.24	83.0688
2,296.88	82.4353
2,378.91	82.6121
2,462.4	83.7042
2,548.83	84.5334
2,639.65	84.1281
2,731.93	83.3421
2,828.61	82.9938
2,928.22	83.2003
3,030.76	83.3148
3,137.7	83.1229
3,249.02	82.5753
3,363.28	82.7086
3,481.93	83.2374
3,604.98	83.7202
3,732.42	84.1808
3,864.26	84.3675
4,000.49	84.1101
4,141.11	84.2364
4,287.6	84.5576
4,438.48	84.4615
4,595.21	84.1628
4,756.35	84.0993
4,924.8	84.0916
5,097.66	83.7536
5,277.83	83.2566
5,463.87	83.3605
5,657.23	83.0684
5,856.45	83.1064
6,062.99	83.1074
6,276.86	82.9582
6,498.05	82.6145
6,726.56	83.023
6,963.87	82.6458
7,209.96	82.8582
7,464.84	82.8043
7,727.05	82.7127
7,999.51	82.7913
8,282.23	82.5755
8,573.73	82.7144
8,876.95	82.6044
9,188.96	82.5826
9,514.16	82.2397
9,849.61	82.2362
10,196.8	82.3459
10,555.7	82.3498
10,927.7	82.42
11,313	82.7401
11,712.9	83.1424
12,126	83.2927
12,553.7	83.6747
12,996.1	84.0258
13,454.6	83.1925
13,929.2	82.7282
14,419.9	80.2497
14,928.2	76.8008
15,455.6	69.6352
16,000.5	70.82
16,564.5	73.2106
17,148.9	74.9717
17,752.4	76.342
18,379.4	77.2913
19,026.9	77.6519
19,697.8	76.3902
19,999.5	75.2377
