"Early Reflections"
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce (full horizontal rear)"		"Total Early Reflection"
"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"
68.8477	84.8117	68.8477	83.167	68.8477	84.2859	68.8477	83.8193	68.8477	83.0067	68.8477	83.8711
71.7773	84.9857	71.7773	83.3103	71.7773	84.4577	71.7773	83.9764	71.7773	83.188	71.7773	84.0373
74.707	85.0994	74.707	83.4481	74.707	84.5898	74.707	84.083	74.707	83.2611	74.707	84.1511
77.6367	85.1653	77.6367	83.5129	77.6367	84.6736	77.6367	84.1117	77.6367	83.1987	77.6367	84.1928
79.1016	85.1548	79.1016	83.4519	79.1016	84.6486	79.1016	84.0711	79.1016	83.101	79.1016	84.1508
82.0312	85.1335	82.0312	83.4562	82.0312	84.6398	82.0312	84.0631	82.0312	83.0791	82.0312	84.1392
84.9609	85.0356	84.9609	83.4907	84.9609	84.6043	84.9609	84.0296	84.9609	83.1038	84.9609	84.1101
87.8906	84.86	87.8906	83.1859	87.8906	84.3653	87.8906	83.7991	87.8906	83.1666	87.8906	83.9264
90.8203	85.3234	90.8203	83.4401	90.8203	84.8027	90.8203	84.0692	90.8203	82.9015	90.8203	84.196
95.2148	84.6705	95.2148	82.9094	95.2148	84.1654	95.2148	83.5392	95.2148	82.7822	95.2148	83.6741
98.1445	84.7462	98.1445	82.9706	98.1445	84.2641	98.1445	83.5674	98.1445	82.6567	98.1445	83.7112
101.074	84.5232	101.074	82.7484	101.074	84.0387	101.074	83.3635	101.074	82.5566	101.074	83.511
105.469	84.9867	105.469	82.9876	105.469	84.4816	105.469	83.6216	105.469	82.6165	105.469	83.8301
108.398	85.3036	108.398	83.2694	108.398	84.8416	108.398	83.8739	108.398	82.537	108.398	84.0813
112.793	85.3667	112.793	83.5151	112.793	84.9607	112.793	84.033	112.793	82.4509	112.793	84.1865
117.188	85.2694	117.188	83.2721	117.188	84.7608	117.188	83.9019	117.188	82.4691	117.188	84.0494
120.117	84.9986	120.117	83.1447	120.117	84.5399	120.117	83.8184	120.117	82.4879	120.117	83.892
124.512	84.4455	124.512	82.4768	124.512	84.0103	124.512	83.1226	124.512	82.7119	124.512	83.4201
128.906	84.9869	128.906	82.849	128.906	84.5091	128.906	83.4493	128.906	82.4497	128.906	83.7565
133.301	85.0891	133.301	82.9542	133.301	84.621	133.301	83.5865	133.301	82.4556	133.301	83.854
139.16	85.0718	139.16	82.9894	139.16	84.6076	139.16	83.6009	139.16	82.4953	139.16	83.8604
143.555	84.7083	143.555	82.6812	143.555	84.2777	143.555	83.3144	143.555	82.6721	143.555	83.6112
147.949	84.2347	147.949	82.0644	147.949	83.7517	147.949	82.6983	147.949	82.7394	147.949	83.1692
153.809	84.1944	153.809	81.2216	153.809	83.6522	153.809	81.7101	153.809	82.2541	153.809	82.7569
159.668	84.7932	159.668	81.9332	159.668	84.3673	159.668	82.4087	159.668	81.6135	159.668	83.2225
165.527	85.1132	165.527	82.3847	165.527	84.7536	165.527	82.8156	165.527	81.6066	165.527	83.5508
171.387	85.2915	171.387	82.6069	171.387	84.9395	171.387	82.959	171.387	81.3929	171.387	83.6838
177.246	85.2666	177.246	82.4775	177.246	84.865	177.246	82.9602	177.246	81.0194	177.246	83.5941
183.105	85.124	183.105	82.0742	183.105	84.6574	183.105	82.6532	183.105	80.9675	183.105	83.3767
188.965	85.3461	188.965	82.1411	188.965	84.8889	188.965	82.771	188.965	80.5602	188.965	83.4927
196.289	86.062	196.289	82.8002	196.289	85.6319	196.289	83.5755	196.289	80.1904	196.289	84.1243
203.613	86.203	203.613	83.371	203.613	85.9587	203.613	84.0162	203.613	80.2053	203.613	84.4273
210.938	86.4028	210.938	83.6726	210.938	86.2284	210.938	84.4654	210.938	79.5164	210.938	84.6491
218.262	85.5733	218.262	83.3971	218.262	85.312	218.262	84.1313	218.262	79.6248	218.262	84.048
225.586	85.696	225.586	82.9999	225.586	85.4899	225.586	83.8117	225.586	80.6207	225.586	84.0844
232.91	86.5472	232.91	83.5211	232.91	86.3999	232.91	84.3999	232.91	80.5069	232.91	84.7736
241.699	86.5181	241.699	83.5916	241.699	86.3382	241.699	84.6828	241.699	79.6663	241.699	84.7541
250.488	86.4244	250.488	83.5508	250.488	86.1744	250.488	84.5743	250.488	80.5705	250.488	84.7148
259.277	87.2319	259.277	83.9556	259.277	86.9076	259.277	84.8437	259.277	80.6728	259.277	85.2885
268.066	86.8332	268.066	84.0945	268.066	86.56	268.066	84.7114	268.066	79.7969	268.066	85.0058
276.855	86.2635	276.855	83.6624	276.855	86.124	276.855	84.4237	276.855	80.1931	276.855	84.6135
287.109	86.0399	287.109	83.5056	287.109	86.0623	287.109	84.2488	287.109	80.1699	287.109	84.4709
297.363	86.3027	297.363	83.6125	297.363	86.3604	297.363	84.3682	297.363	80.5429	297.363	84.7008
307.617	87.4373	307.617	83.7996	307.617	87.3471	307.617	85.1569	307.617	79.267	307.617	85.4391
319.336	87.081	319.336	83.2188	319.336	86.8798	319.336	84.8714	319.336	79.6544	319.336	85.0713
