"Vertical Reflections"					
"Floor Reflection"		"Ceiling Reflection"		"Total Vertical Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"
153.809	84.1944	153.809	81.2216	153.809	82.9576
159.668	84.7932	159.668	81.9332	159.668	83.5945
165.527	85.1132	165.527	82.3847	165.527	83.9598
171.387	85.2915	171.387	82.6069	171.387	84.1535
177.246	85.2666	177.246	82.4775	177.246	84.0922
183.105	85.124	183.105	82.0742	183.105	83.8615
188.965	85.3461	188.965	82.1411	188.965	84.0328
196.289	86.062	196.289	82.8002	196.289	84.7304
203.613	86.203	203.613	83.371	203.613	85.0139
210.938	86.4028	210.938	83.6726	210.938	85.2488
218.262	85.5733	218.262	83.3971	218.262	84.6201
225.586	85.696	225.586	82.9999	225.586	84.5539
232.91	86.5472	232.91	83.5211	232.91	85.2926
241.699	86.5181	241.699	83.5916	241.699	85.2969
250.488	86.4244	250.488	83.5508	250.488	85.221
259.277	87.2319	259.277	83.9556	259.277	85.8957
268.066	86.8332	268.066	84.0945	268.066	85.6763
276.855	86.2635	276.855	83.6624	276.855	85.1548
287.109	86.0399	287.109	83.5056	287.109	84.955
297.363	86.3027	297.363	83.6125	297.363	85.1627
307.617	87.4373	307.617	83.7996	307.617	85.9887
319.336	87.081	319.336	83.2188	319.336	85.5658
329.59	87.7323	329.59	83.6507	329.59	86.1543
341.309	86.5745	341.309	83.3047	341.309	85.2403
353.027	86.3538	353.027	83.0643	353.027	85.0133
366.211	85.8827	366.211	83.4327	366.211	84.8282
379.395	87.3152	379.395	83.4851	379.395	85.8094
392.578	87.2502	392.578	82.9136	392.578	85.6021
405.762	86.7579	405.762	82.8124	405.762	85.2186
420.41	86.9212	420.41	82.3269	420.41	85.2052
435.059	86.204	435.059	82.79	435.059	84.8242
451.172	86.8713	451.172	83.046	451.172	85.3669
465.82	87.1128	465.82	81.4831	465.82	85.1526
483.398	85.9135	483.398	81.1068	483.398	84.1437
499.512	84.0973	499.512	80.9812	499.512	82.8129
517.09	85.4756	517.09	80.9843	517.09	83.7863
536.133	87.3493	536.133	82.2458	536.133	85.5077
555.176	87.4317	555.176	82.9055	555.176	85.7334
574.219	87.2454	574.219	82.3188	574.219	85.4461
594.727	86.8462	594.727	83.0578	594.727	85.3526
615.234	87.5536	615.234	82.8244	615.234	85.8033
637.207	86.3635	637.207	82.695	637.207	84.9056
659.18	86.7099	659.18	82.5142	659.18	85.1001
682.617	87.2776	682.617	82.7845	682.617	85.5879
707.52	86.2581	707.52	82.6212	707.52	84.8097
732.422	86.3919	732.422	82.5636	732.422	84.8866
757.324	86.3696	757.324	81.9958	757.324	84.7115
785.156	86.422	785.156	82.296	785.156	84.8316
811.523	85.4315	811.523	83.4405	811.523	84.5491
840.82	86.5701	840.82	83.0085	840.82	85.1446
870.117	86.1149	870.117	82.255	870.117	84.6004
900.879	85.9447	900.879	84.0314	900.879	85.0926
933.105	85.7643	933.105	82.3704	933.105	84.3908
965.332	85.2028	965.332	81.6891	965.332	83.792
1,000.49	84.3326	1,000.49	81.01	1,000.49	82.9816
1,035.64	84.2745	1,035.64	82.0483	1,035.64	83.3025
1,072.27	84.2744	1,072.27	82.4007	1,072.27	83.4379
1,108.89	84.5401	1,108.89	81.8199	1,108.89	83.3896
1,148.44	84.6584	1,148.44	81.6817	1,148.44	83.4202
1,189.45	84.8747	1,189.45	80.4834	1,189.45	83.2119
1,230.47	85.1459	1,230.47	80.5934	1,230.47	83.4407
1,274.41	85.6904	1,274.41	79.9354	1,274.41	83.7037
1,319.82	85.2775	1,319.82	78.8931	1,319.82	83.1659
1,366.7	84.6328	1,366.7	80.6267	1,366.7	83.0762
1,413.57	83.6239	1,413.57	80.6376	1,413.57	82.3825
1,463.38	82.8826	1,463.38	81.4907	1,463.38	82.2422
1,516.11	81.6318	1,516.11	82.3202	1,516.11	81.9897
1,568.85	79.5693	1,568.85	81.5643	1,568.85	80.6803
1,624.51	78.8491	1,624.51	80.7331	1,624.51	79.8925
1,681.64	77.6344	1,681.64	80.6732	1,681.64	79.4144
1,741.7	76.9832	1,741.7	81.2836	1,741.7	79.6452
1,803.22	76.9515	1,803.22	81.6697	1,803.22	79.9221
1,866.21	78.1648	1,866.21	81.9369	1,866.21	80.4481
1,932.13	78.5058	1,932.13	82.0503	1,932.13	80.6301
1,999.51	80.8838	1,999.51	82.7278	1,999.51	81.903
2,069.82	82.5863	2,069.82	82.3065	2,069.82	82.4487
2,143.07	83.4859	2,143.07	82.1955	2,143.07	82.8885
2,219.24	83.8551	2,219.24	82.5561	2,219.24	83.254
2,296.88	84.1339	2,296.88	82.7248	2,296.88	83.4863
2,378.91	85.4362	2,378.91	83.2378	2,378.91	84.4746
2,462.4	85.9369	2,462.4	83.5896	2,462.4	84.9199
2,548.83	85.2531	2,548.83	84.616	2,548.83	84.9462
2,639.65	85.4032	2,639.65	84.3027	2,639.65	84.8877
2,731.93	85.75	2,731.93	83.8444	2,731.93	84.9009
2,828.61	85.1393	2,828.61	82.8162	2,828.61	84.1313
2,928.22	84.5567	2,928.22	83.9214	2,928.22	84.2507
3,030.76	84.2105	3,030.76	84.5128	3,030.76	84.3642
3,137.7	84.15	3,137.7	84.4396	3,137.7	84.2972
3,249.02	84.6844	3,249.02	84.065	3,249.02	84.3857
3,363.28	85.0894	3,363.28	85.0906	3,363.28	85.09
3,481.93	85.6772	3,481.93	85.7115	3,481.93	85.6944
3,604.98	86.7944	3,604.98	85.8647	3,604.98	86.3544
3,732.42	87.0217	3,732.42	85.479	3,732.42	86.3185
3,864.26	87.3676	3,864.26	85.7476	3,864.26	86.6327
4,000.49	87.3326	4,000.49	85.7968	4,000.49	86.6323
4,141.11	86.7818	4,141.11	85.8055	4,141.11	86.321
4,287.6	87.6313	4,287.6	85.8396	4,287.6	86.8272
4,438.48	87.4262	4,438.48	85.6777	4,438.48	86.6394
4,595.21	86.9753	4,595.21	85.3859	4,595.21	86.2529
4,756.35	86.1305	4,756.35	85.4421	4,756.35	85.7999
4,924.8	85.7906	4,924.8	84.2325	4,924.8	85.081
5,097.66	86.2438	5,097.66	83.8052	5,097.66	85.1935
5,277.83	85.4065	5,277.83	82.839	5,277.83	84.3098
5,463.87	85.6217	5,463.87	82.3333	5,463.87	84.2816
5,657.23	85.9038	5,657.23	82.2611	5,657.23	84.4537
5,856.45	86.8956	5,856.45	82.1575	5,856.45	85.143
6,062.99	86.7482	6,062.99	82.3325	6,062.99	85.079
6,276.86	86.3727	6,276.86	82.372	6,276.86	84.8176
6,498.05	85.5796	6,498.05	81.4327	6,498.05	83.9834
6,726.56	86.1773	6,726.56	80.8574	6,726.56	84.2856
6,963.87	86.181	6,963.87	80.313	6,963.87	84.1707
7,209.96	86.322	7,209.96	80.0951	7,209.96	84.2403
7,464.84	85.8096	7,464.84	80.2183	7,464.84	83.8577
7,727.05	85.9485	7,727.05	80.5307	7,727.05	84.0347
7,999.51	85.8537	7,999.51	80.4008	7,999.51	83.9321
8,282.23	86.0909	8,282.23	80.3933	8,282.23	84.1163
