"Directivity Index"
"Sound Power DI"		"Early Reflections DI"
"Frequency [Hz]"	"[dB] Directivity Index "	"Frequency [Hz]"	"[dB] Directivity Index "
20.5078	-6.91399	20.5078	-3.40273
21.9727	-10.7801	21.9727	-6.29428
23.4375	-13.2023	23.4375	-7.62363
24.9023	-22.3501	24.9023	-16.46
26.3672	-17.5324	26.3672	-11.6886
27.832	-13.0444	27.832	-7.51361
29.2969	-9.73027	29.2969	-4.81832
30.7617	-6.42949	30.7617	-2.38872
32.2266	-4.88595	32.2266	-1.52451
33.6914	-3.2532	33.6914	-0.692697
35.1563	-2.47348	35.1563	-0.345673
36.6211	-2.2854	36.6211	-0.34158
38.0859	-1.96786	38.0859	-0.290161
39.5508	-1.49844	39.5508	-0.165619
41.0156	-1.14904	41.0156	-0.0886282
42.4805	-0.897264	42.4805	-0.00251501
43.9453	-0.900026	43.9453	-0.0372706
45.4102	-0.873656	45.4102	-0.0631912
46.875	-0.863806	46.875	-0.0941255
48.3398	-0.895816	48.3398	-0.127064
51.2695	-0.872941	51.2695	-0.168475
52.7344	-0.856301	52.7344	-0.183292
54.1992	-0.861199	54.1992	-0.203928
55.6641	-0.850505	55.6641	-0.216409
58.5938	-0.791624	58.5938	-0.217141
60.0586	-0.77222	60.0586	-0.217026
62.9883	-0.766857	62.9883	-0.234267
64.4531	-0.768921	64.4531	-0.24373
67.3828	-0.748219	67.3828	-0.247082
68.8477	-0.747827	68.8477	-0.251382
71.7773	-0.720021	71.7773	-0.252461
74.707	-0.674098	74.707	-0.24351
77.6367	-0.680182	77.6367	-0.251113
79.1016	-0.669721	79.1016	-0.250519
82.0313	-0.60307	82.0313	-0.230753
84.9609	-0.465077	84.9609	-0.180545
87.8906	-0.35732	87.8906	-0.1394
90.8203	-0.596458	90.8203	-0.228303
95.2148	-0.410882	95.2148	-0.16659
98.1445	-0.405687	98.1445	-0.166748
101.074	-0.394153	101.074	-0.162234
105.469	-0.385797	105.469	-0.162481
108.398	-0.355905	108.398	-0.15168
112.793	-0.216647	112.793	-0.0949331
117.188	-0.192727	117.188	-0.0842098
120.117	-0.198461	120.117	-0.0804529
124.512	-0.111485	124.512	-0.0512493
128.906	0.0206328	128.906	-0.00573176
133.301	0.0487173	133.301	0.00264335
139.16	0.0131133	139.16	-0.00247678
143.555	-0.0324028	143.555	-0.0113436
147.949	-0.0726739	147.949	-0.0212885
153.809	0.129933	153.809	0.0635471
159.668	0.26348	159.668	0.105625
165.527	0.271654	165.527	0.1053
171.387	0.224668	171.387	0.0887732
177.246	0.215603	177.246	0.100051
183.105	0.29916	183.105	0.145096
188.965	0.357469	188.965	0.155768
196.289	0.4298	196.289	0.182709
203.613	0.530988	203.613	0.239202
210.938	0.58349	210.938	0.248525
218.262	0.547355	218.262	0.241652
225.586	0.643024	225.586	0.300445
232.91	0.790186	232.91	0.34885
241.699	0.812828	241.699	0.358587
250.488	0.811844	250.488	0.374198
259.277	0.844597	259.277	0.382145
268.066	0.801916	268.066	0.375175
276.855	0.828304	276.855	0.401957
287.109	1.10568	287.109	0.520535
297.363	1.14608	297.363	0.575785
307.617	0.9358	307.617	0.427855
319.336	0.79492	319.336	0.491873
329.59	1.1416	329.59	0.708842
341.309	1.35512	341.309	0.878463
353.027	2.27202	353.027	1.17965
366.211	2.452	366.211	1.08373
379.395	2.37192	379.395	1.06173
392.578	2.42597	392.578	1.02548
405.762	2.32484	405.762	1.04321
420.41	2.83475	420.41	1.16104
435.059	2.33829	435.059	0.976981
451.172	3.03089	451.172	1.15807
465.82	2.8075	465.82	1.04857
483.398	2.82393	483.398	1.06158
499.512	2.7027	499.512	1.10472
517.09	2.98486	517.09	1.31804
536.133	3.0432	536.133	1.32252
555.176	3.6077	555.176	1.33513
574.219	3.45045	574.219	1.21197
594.727	3.19492	594.727	1.03199
615.234	3.36403	615.234	1.06924
637.207	2.98657	637.207	0.768181
659.18	3.43385	659.18	1.02255
682.617	3.32721	682.617	1.03153
707.52	3.53442	707.52	1.11698
732.422	3.50322	732.422	1.11234
757.324	3.38464	757.324	1.0545
785.156	3.63416	785.156	1.26093
811.523	3.80906	811.523	1.44071
840.82	4.40784	840.82	1.82867
870.117	4.2686	870.117	1.78264
900.879	4.81593	900.879	2.11166
933.105	5.12774	933.105	2.25879
965.332	5.12898	965.332	2.16921
1,000.49	5.50324	1,000.49	2.50159
1,035.64	5.35308	1,035.64	2.42532
1,072.27	5.23502	1,072.27	2.42115
1,108.89	5.10454	1,108.89	2.27167
1,148.44	5.24174	1,148.44	2.29777
1,189.45	5.63204	1,189.45	2.5659
1,230.47	5.58056	1,230.47	2.3906
1,274.41	5.6029	1,274.41	2.48394
1,319.82	5.65814	1,319.82	2.43887
1,366.7	5.81631	1,366.7	2.57667
1,413.57	5.67327	1,413.57	2.44416
1,463.38	5.58357	1,463.38	2.24852
1,516.11	6.14628	1,516.11	2.4965
1,568.85	6.58325	1,568.85	2.73076
1,624.51	6.73855	1,624.51	2.92772
1,681.64	6.884	1,681.64	3.14904
1,741.7	7.21603	1,741.7	3.34314
1,803.22	7.38509	1,803.22	3.40981
1,866.21	7.16707	1,866.21	3.40124
1,932.13	7.22646	1,932.13	3.42263
1,999.51	7.25063	1,999.51	3.45195
2,069.82	7.23529	2,069.82	3.39894
2,143.07	7.32824	2,143.07	3.41817
2,219.24	6.73257	2,219.24	3.29887
2,296.88	6.26802	2,296.88	2.78052
2,378.91	6.13962	2,378.91	2.69143
2,462.4	5.66751	2,462.4	2.31557
2,548.83	5.45434	2,548.83	2.34056
2,639.65	5.46721	2,639.65	2.2903
2,731.93	5.53969	2,731.93	2.18509
2,828.61	5.20215	2,828.61	1.99983
2,928.22	5.08979	2,928.22	1.98048
3,030.76	4.95129	3,030.76	1.90148
3,137.7	5.00955	3,137.7	1.86864
3,249.02	5.07921	3,249.02	1.86185
3,363.28	5.23604	3,363.28	1.8514
3,481.93	5.20973	3,481.93	1.76203
3,604.98	5.39241	3,604.98	1.89103
3,732.42	5.6775	3,732.42	2.04532
3,864.26	5.8705	3,864.26	2.14859
4,000.49	6.09094	4,000.49	2.27672
4,141.11	6.09104	4,141.11	2.34835
4,287.6	6.1339	4,287.6	2.4592
4,438.48	5.92937	4,438.48	2.31122
4,595.21	5.90116	4,595.21	2.2966
4,756.35	5.79088	4,756.35	2.25507
4,924.8	5.8434	4,924.8	2.22395
5,097.66	5.50862	5,097.66	1.9008
5,277.83	5.69634	5,277.83	2.08865
5,463.87	5.89692	5,463.87	2.19681
5,657.23	5.85563	5,657.23	2.15254
5,856.45	6.27852	5,856.45	2.53859
6,062.99	6.51168	6,062.99	2.71405
6,276.86	6.39079	6,276.86	2.5961
6,498.05	6.43492	6,498.05	2.5851
6,726.56	6.61568	6,726.56	2.6932
6,963.87	6.56426	6,963.87	2.65478
7,209.96	6.68895	7,209.96	2.70157
7,464.84	6.84621	7,464.84	2.85547
7,727.05	7.09685	7,727.05	3.04153
7,999.51	7.3352	7,999.51	3.1938
8,282.23	7.68637	8,282.23	3.37049
8,573.73	7.94779	8,573.73	3.47281
8,876.95	8.01017	8,876.95	3.49717
9,188.96	8.13313	9,188.96	3.54755
9,514.16	8.30232	9,514.16	3.57797
9,849.61	8.62371	9,849.61	3.69654
10,196.8	8.9003	10,196.8	3.78135
10,555.7	9.18426	10,555.7	3.90541
10,927.7	9.31662	10,927.7	3.93513
11,313	9.3225	11,313	3.92212
11,712.9	9.42014	11,712.9	3.99051
12,126	9.5891	12,126	4.09323
12,553.7	9.65468	12,553.7	4.15278
12,996.1	9.79614	12,996.1	4.23944
13,454.6	10.0518	13,454.6	4.41192
13,929.2	10.2016	13,929.2	4.53739
14,419.9	10.2247	14,419.9	4.59633
14,928.2	10.2778	14,928.2	4.66336
15,455.6	10.2165	15,455.6	4.6106
16,000.5	10.0484	16,000.5	4.51271
16,564.5	9.77285	16,564.5	4.33098
17,148.9	9.63552	17,148.9	4.13193
17,752.4	9.68693	17,752.4	3.97172
18,379.4	9.74909	18,379.4	3.90896
19,026.9	9.85862	19,026.9	3.88277
19,697.8	10.1916	19,697.8	3.9581
19,999.5	10.2652	19,999.5	4.0045
