"Horizontal Reflections"
"Front"		"Side"		"Rear"		"Total Horizontal Reflection"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	45.7847	20.5078	48.7573	20.5078	55.1488	20.5078	53.0309
21.9727	44.0653	21.9727	49.5718	21.9727	57.5665	21.9727	55.2048
23.4375	38.8146	23.4375	43.668	23.4375	55.5412	23.4375	52.9445
24.9023	29.6154	24.9023	44.477	24.9023	56.5114	24.9023	53.8799
26.3672	36.5548	26.3672	45.7379	26.3672	57.8566	26.3672	55.2307
27.832	42.2363	27.832	47.2148	27.832	58.7524	27.832	56.1687
29.2969	47.3359	29.2969	50.1711	29.2969	60.2954	29.2969	57.8129
30.7617	52.0897	30.7617	52.7335	30.7617	61.5583	30.7617	59.2385
32.2266	55.3048	32.2266	55.4553	32.2266	62.9992	32.2266	60.8506
33.6914	58.3117	33.6914	57.8451	33.6914	64.0761	33.6914	62.1751
35.1563	60.166	35.1563	59.4455	35.1563	64.9605	35.1563	63.223
36.6211	61.9446	36.6211	61.3907	36.6211	66.4046	36.6211	64.7613
38.0859	63.9649	38.0859	63.5367	38.0859	67.9004	38.0859	66.401
39.5508	65.929	39.5508	65.5216	39.5508	69.1209	39.5508	67.8266
41.0156	67.9306	41.0156	67.5582	41.0156	70.5349	41.0156	69.4251
42.4805	68.8731	42.4805	68.4405	42.4805	71.0778	42.4805	70.0878
43.9453	69.8972	43.9453	69.5554	43.9453	72.0318	43.9453	71.0832
45.4102	70.9144	45.4102	70.6554	45.4102	72.9351	45.4102	72.0425
46.875	72.0542	46.875	71.8781	46.875	73.9902	46.875	73.1447
48.3398	73.1202	48.3398	73.0115	48.3398	75.0548	48.3398	74.2238
51.2695	74.7856	51.2695	74.7936	51.2695	76.5643	51.2695	75.8156
52.7344	75.6067	52.7344	75.6597	52.7344	77.3093	52.7344	76.5992
54.1992	76.4545	54.1992	76.5535	54.1992	78.123	54.1992	77.4362
55.6641	77.2278	55.6641	77.3617	55.6641	78.8425	55.6641	78.1843
58.5938	78.5582	58.5938	78.7256	58.5938	80.0184	58.5938	79.4284
60.0586	79.1393	60.0586	79.3176	60.0586	80.5462	60.0586	79.9799
62.9883	80.2433	62.9883	80.4646	62.9883	81.5928	62.9883	81.0599
64.4531	80.6827	64.4531	80.9253	64.4531	82.0125	64.4531	81.4927
67.3828	81.2505	67.3828	81.5126	67.3828	82.5104	67.3828	82.0238
68.8477	81.5149	68.8477	81.7879	68.8477	82.76	68.8477	82.2822
71.7773	82.5607	71.7773	82.8493	71.7773	83.7303	71.7773	83.2876
74.707	83.1359	74.707	83.4258	74.707	84.2044	74.707	83.8043
77.6367	83.297	77.6367	83.6029	77.6367	84.3561	77.6367	83.9641
79.1016	83.728	79.1016	84.0379	79.1016	84.761	79.1016	84.3811
