"Horizontal Reflections"							
"Front"		"Side"		"Rear"		"Total Horizontal Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	47.0378	20.5078	45.2444	20.5078	54.2719	20.5078	52.0483
23.4375	50.8795	23.4375	50.6319	23.4375	58.3811	23.4375	56.2272
26.3672	54.3079	26.3672	53.2451	26.3672	60.0787	26.3672	58.1191
29.2969	57.2424	29.2969	56.8661	29.2969	63.0951	29.2969	61.1873
32.2266	60.1089	32.2266	60.1119	32.2266	65.7116	32.2266	63.8926
35.1563	64.0436	35.1563	64.0782	35.1563	68.4523	35.1563	66.9014
38.0859	67.1126	38.0859	67.2549	38.0859	71.0879	38.0859	69.6645
41.0156	70.4237	41.0156	70.6313	41.0156	73.8124	41.0156	72.5655
43.9453	73.0796	43.9453	73.2783	43.9453	76.0141	43.9453	74.9052
46.875	75.5141	46.875	75.7747	46.875	78.1734	46.875	77.1665
49.8047	77.227	49.8047	77.52	49.8047	79.6472	49.8047	78.7286
52.7344	78.553	52.7344	78.8574	52.7344	80.7131	52.7344	79.8893
55.6641	79.487	55.6641	79.799	55.6641	81.4275	55.6641	80.6861
58.5938	80.1541	58.5938	80.4639	58.5938	81.893	58.5938	81.2276
61.5234	80.6903	61.5234	81.0001	61.5234	82.2626	61.5234	81.6621
64.4531	81.1567	64.4531	81.464	64.4531	82.5801	64.4531	82.0383
67.3828	81.6456	67.3828	81.9503	67.3828	82.9349	67.3828	82.4468
70.3125	82.174	70.3125	82.4706	70.3125	83.3375	70.3125	82.8994
73.2422	82.6765	73.2422	82.9743	73.2422	83.7398	73.2422	83.3439
76.1719	83.1595	76.1719	83.4418	76.1719	84.0843	76.1719	83.7434
79.1016	83.5084	79.1016	83.7894	79.1016	84.3646	79.1016	84.0529
82.0313	83.8899	82.0313	84.1642	82.0313	84.6439	82.0313	84.375
84.9609	84.2615	84.9609	84.4819	84.9609	84.7642	84.9609	84.5926
87.8906	84.6058	87.8906	84.7529	87.8906	84.8202	87.8906	84.7606
90.8203	84.3236	90.8203	84.6503	90.8203	85.1639	90.8203	84.8711
93.75	84.6108	93.75	84.911	93.75	85.2666	93.75	85.048
96.6797	85.0238	96.6797	85.1795	96.6797	85.1049	96.6797	85.1102
102.539	84.7879	102.539	85.0062	102.539	85.0522	102.539	84.9892
105.469	84.7627	105.469	84.9666	105.469	84.9687	105.469	84.9288
108.398	84.8539	108.398	85.0339	108.398	84.9683	108.398	84.9647
111.328	84.9272	111.328	85.0878	111.328	84.9605	111.328	84.9899
117.188	84.8573	117.188	84.9949	117.188	84.8013	117.188	84.8667
120.117	84.8532	120.117	84.974	120.117	84.7504	120.117	84.8335
125.977	84.8732	125.977	84.9443	125.977	84.6076	125.977	84.7555
128.906	84.6518	128.906	84.6971	128.906	84.23	128.906	84.4476
