"Estimated In-Room Response"	
"Estimated In-Room Response"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	63.8391
21.9727	67.0333
23.4375	69.514
24.9023	72.2864
26.3672	75.0545
27.832	77.5293
29.2969	79.6151
30.7617	81.4742
32.2266	82.8424
33.6914	83.8719
35.1562	84.8702
36.6211	85.5348
38.0859	86.0154
39.5508	86.2715
41.0156	86.4387
42.4805	86.6143
43.9453	86.7604
45.4102	86.934
46.875	87.0033
48.3398	87.0604
51.2695	87.1286
52.7344	87.173
54.1992	87.2357
55.6641	87.2053
58.5938	87.3076
60.0586	87.3545
62.9883	87.4285
64.4531	87.448
67.3828	87.4544
68.8477	87.5372
71.7773	87.6597
74.707	87.7126
77.6367	87.7647
79.1016	87.7622
82.0312	87.7748
84.9609	87.8021
87.8906	87.789
90.8203	87.7228
95.2148	87.6439
98.1445	87.5591
101.074	87.3582
105.469	87.1916
108.398	87.1702
112.793	87.1757
117.188	87.0367
120.117	86.9279
124.512	86.7767
128.906	86.6657
133.301	86.5933
139.16	86.4324
143.555	86.2863
147.949	86.1037
153.809	85.921
159.668	86.0996
165.527	85.9145
171.387	85.8583
177.246	85.6325
183.105	85.4781
188.965	85.5748
196.289	85.4706
203.613	85.5009
210.938	85.3013
218.262	85.0872
225.586	85.4034
232.91	85.4061
241.699	85.0458
250.488	85.5087
259.277	85.5104
268.066	84.9885
276.855	84.886
287.109	84.864
297.363	85.1654
307.617	85.3796
319.336	85.2363
329.59	85.1828
341.309	84.9345
353.027	84.9458
366.211	85.034
379.395	85.3458
392.578	84.8373
405.762	84.5998
420.41	84.646
435.059	84.7644
451.172	84.3577
465.82	84.3513
483.398	84.0856
499.512	85.2134
517.09	85.1289
536.133	84.872
555.176	84.5725
574.219	84.5088
594.727	84.1678
615.234	83.7289
637.207	84.2128
659.18	84.0164
682.617	83.8164
707.52	83.89
732.422	83.5427
757.324	83.4686
785.156	83.7741
811.523	83.8427
840.82	84.365
870.117	84.7136
900.879	84.8359
933.105	84.6132
965.332	84.2463
1,000.49	83.8267
1,035.64	83.5537
1,072.27	82.9632
1,108.89	82.6666
1,148.44	82.2484
1,189.45	82.1113
1,230.47	82.3985
1,274.41	82.1839
1,319.82	82.2048
1,366.7	82.6828
1,413.57	82.7
1,463.38	82.0706
1,516.11	81.2882
1,568.85	80.7748
1,624.51	81.0627
1,681.64	81.5786
1,741.7	81.6981
1,803.22	81.1629
1,866.21	80.1511
1,932.13	79.7209
1,999.51	80.1452
2,069.82	80.8276
2,143.07	81.0677
2,219.24	80.4974
2,296.88	80.741
2,378.91	81.9093
2,462.4	83.4134
2,548.83	83.4856
2,639.65	82.5883
2,731.93	82.2209
2,828.61	82.78
2,928.22	83.382
3,030.76	83.4376
3,137.7	83.2868
3,249.02	82.9104
3,363.28	82.8415
3,481.93	82.8247
3,604.98	83.3417
3,732.42	83.7925
3,864.26	83.0024
4,000.49	83.0443
4,141.11	83.3253
4,287.6	83.108
4,438.48	82.9706
4,595.21	82.3657
4,756.35	83.0307
4,924.8	82.8287
5,097.66	82.6733
5,277.83	82.7054
5,463.87	82.6037
5,657.23	82.4673
5,856.45	82.0323
6,062.99	82.2911
6,276.86	81.8741
6,498.05	82.2157
6,726.56	82.1585
6,963.87	82.2622
7,209.96	82.6305
7,464.84	82.3153
7,727.05	82.8091
7,999.51	82.3635
8,282.23	82.462
8,573.73	82.1842
8,876.95	82.0924
9,188.96	81.6916
9,514.16	81.7132
9,849.61	81.5416
10,196.8	81.6629
10,555.7	81.4971
10,927.7	81.3739
11,313	81.3388
11,712.9	81.2997
12,126	81.3962
12,553.7	81.2964
12,996.1	81.4154
13,454.6	81.462
13,929.2	81.6928
14,419.9	81.8423
14,928.2	81.9605
15,455.6	82.0447
16,000.5	82.0859
16,564.5	82.133
17,148.9	82.0957
17,752.4	81.8659
18,379.4	81.5096
19,026.9	81.0878
19,697.8	80.7262
19,999.5	80.7207
