"Estimated In-Room Response"	
"Estimated In-Room Response"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	52.321
21.9727	55.6714
23.4375	55.4559
24.9023	55.9757
26.3672	56.7213
27.832	57.6156
29.2969	58.6008
30.7617	59.4062
32.2266	60.0505
33.6914	60.8648
35.1562	61.81
36.6211	62.3351
38.0859	63.3667
39.5508	64.0063
41.0156	63.03
42.4805	64.1973
43.9453	64.9843
45.4102	65.668
46.875	66.3432
48.3398	66.9247
51.2695	68.0144
52.7344	68.4824
54.1992	68.962
55.6641	69.4988
58.5938	70.4057
60.0586	70.8728
62.9883	71.7108
64.4531	72.1334
67.3828	72.9802
68.8477	73.3916
71.7773	74.1663
74.707	74.9373
77.6367	75.6497
79.1016	76.0058
82.0312	76.7065
84.9609	77.3607
87.8906	77.8505
90.8203	78.5112
95.2148	79.3651
98.1445	79.9829
101.074	80.5307
105.469	81.1135
108.398	81.6011
112.793	82.2136
117.188	82.8399
120.117	83.2175
124.512	83.7475
128.906	84.1002
133.301	84.2976
139.16	84.5868
143.555	84.7618
147.949	85.043
153.809	85.1598
159.668	85.2155
165.527	85.17
171.387	85.2062
177.246	85.1908
183.105	85.1614
188.965	84.981
196.289	84.8793
203.613	84.81
210.938	84.6626
218.262	84.4568
225.586	84.2562
232.91	84.081
241.699	83.8693
250.488	83.83
259.277	83.7404
268.066	83.3688
276.855	83.3264
287.109	83.1205
297.363	82.9871
307.617	82.8696
319.336	82.7101
329.59	82.3552
341.309	82.3753
353.027	82.2662
366.211	82.1873
379.395	82.2736
392.578	82.1059
405.762	81.8857
420.41	82.0137
435.059	81.9218
451.172	82.0423
465.82	81.9795
483.398	82.0757
499.512	82.0764
517.09	82.0971
536.133	81.8573
555.176	82.0822
574.219	82.0911
594.727	81.914
615.234	82.2989
637.207	82.2277
659.18	82.1081
682.617	82.4396
707.52	82.3654
732.422	81.9546
757.324	82.1804
785.156	83.1381
811.523	83.3843
840.82	82.8995
870.117	82.9184
900.879	82.916
933.105	82.7091
965.332	82.6042
1,000.49	82.1535
1,035.64	81.954
1,072.27	81.5659
1,108.89	81.2097
1,148.44	80.8778
1,189.45	80.6331
1,230.47	80.9368
1,274.41	81.2777
1,319.82	81.4168
1,366.7	81.5673
1,413.57	81.2711
1,463.38	80.4058
1,516.11	79.8393
1,568.85	79.2044
1,624.51	78.9915
1,681.64	78.9602
1,741.7	78.9439
1,803.22	78.3654
1,866.21	77.7044
1,932.13	76.7468
1,999.51	76.9128
2,069.82	77.4475
2,143.07	77.4022
2,219.24	76.6311
2,296.88	76.7396
2,378.91	77.2085
2,462.4	78.9552
2,548.83	78.9691
2,639.65	78.3439
2,731.93	77.923
2,828.61	78.2697
2,928.22	78.9382
3,030.76	79.2577
3,137.7	79.1162
3,249.02	78.8087
3,363.28	78.9983
3,481.93	79.4234
3,604.98	80.0094
3,732.42	80.7076
3,864.26	80.2955
4,000.49	80.2872
4,141.11	80.6392
4,287.6	80.2482
4,438.48	80.292
4,595.21	80.1191
4,756.35	80.6559
4,924.8	80.5767
5,097.66	80.1599
5,277.83	80.5501
5,463.87	80.0337
5,657.23	79.7203
5,856.45	78.8896
6,062.99	79.5985
6,276.86	79.6361
6,498.05	79.9359
6,726.56	79.5771
6,963.87	79.4738
7,209.96	79.776
7,464.84	79.5284
7,727.05	79.6555
7,999.51	79.1674
8,282.23	79.1503
8,573.73	79.008
8,876.95	79.351
9,188.96	78.8483
9,514.16	78.8835
9,849.61	78.7237
10,196.8	78.7567
10,555.7	78.7546
10,927.7	78.6602
11,313	78.5446
11,712.9	78.0549
12,126	77.9588
12,553.7	77.8566
12,996.1	77.8504
13,454.6	77.7492
13,929.2	77.7445
14,419.9	77.7924
14,928.2	77.7371
15,455.6	77.8089
16,000.5	77.6391
16,564.5	77.2302
17,148.9	76.981
17,752.4	76.6885
18,379.4	76.3474
19,026.9	75.8966
19,697.8	75.0164
19,999.5	74.5572
