"Early Reflections"
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce (full horizontal rear)"		"Total Early Reflection"
"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"
20.5078	59.5649	20.5078	59.5084	20.5078	59.6422	20.5078	60.1709	20.5078	60.013	20.5078	59.7879
21.9727	63.8407	21.9727	63.8163	21.9727	63.917	21.9727	64.3282	21.9727	64.1406	21.9727	64.013
23.4375	66.5829	23.4375	66.4925	23.4375	66.6485	23.4375	67.0063	23.4375	66.7022	23.4375	66.69
24.9023	69.2255	24.9023	69.1468	24.9023	69.3001	24.9023	69.588	24.9023	69.2098	24.9023	69.2968
26.3672	71.5714	26.3672	71.4958	26.3672	71.6429	26.3672	71.8754	26.3672	71.4568	26.3672	71.611
27.832	73.4651	27.832	73.3862	27.832	73.5375	27.832	73.7225	27.832	73.2674	27.832	73.4784
29.2969	75.1506	29.2969	75.0493	29.2969	75.2113	29.2969	75.3592	29.2969	74.8946	29.2969	75.1358
30.7617	76.6121	30.7617	76.516	30.7617	76.6754	30.7617	76.7814	30.7617	76.3055	30.7617	76.5811
32.2266	77.8234	32.2266	77.7287	32.2266	77.8903	32.2266	77.9664	32.2266	77.4478	32.2266	77.775
33.6914	78.789	33.6914	78.6727	33.6914	78.8476	33.6914	78.8955	33.6914	78.3675	33.6914	78.7185
35.1562	79.6826	35.1562	79.5666	35.1562	79.744	35.1562	79.7614	35.1562	79.1951	35.1562	79.5949
36.6211	80.3838	36.6211	80.2739	36.6211	80.4472	36.6211	80.445	36.6211	79.8816	36.6211	80.2914
38.0859	80.9643	38.0859	80.8382	38.0859	81.0241	38.0859	81.0015	38.0859	80.4201	38.0859	80.8553
39.5508	81.5191	39.5508	81.4009	39.5508	81.5812	39.5508	81.5383	39.5508	80.9508	39.5508	81.4041
41.0156	81.9653	41.0156	81.8381	41.0156	82.0292	41.0156	81.9508	41.0156	81.2972	41.0156	81.8241
42.4805	82.6159	42.4805	82.5147	42.4805	82.6787	42.4805	82.6173	42.4805	82.0476	42.4805	82.5008
43.9453	82.8748	43.9453	82.7458	43.9453	82.9313	43.9453	82.8597	43.9453	82.2809	43.9453	82.7448
45.4102	83.1391	45.4102	82.998	45.4102	83.192	45.4102	83.1136	45.4102	82.5396	45.4102	83.0028
46.875	83.3674	46.875	83.2359	46.875	83.425	46.875	83.3415	46.875	82.7692	46.875	83.2341
48.3398	83.622	48.3398	83.4753	48.3398	83.6761	48.3398	83.5825	48.3398	83.005	48.3398	83.4788
51.2695	84.0065	51.2695	83.8381	51.2695	84.0556	51.2695	83.9418	51.2695	83.3556	51.2695	83.8467
52.7344	84.238	52.7344	84.0834	52.7344	84.2948	52.7344	84.1656	52.7344	83.5775	52.7344	84.0793
54.1992	84.3881	54.1992	84.2602	54.1992	84.4614	54.1992	84.3184	54.1992	83.7049	54.1992	84.2347
55.6641	84.5408	55.6641	84.4058	55.6641	84.6113	55.6641	84.4661	55.6641	83.8371	55.6641	84.3808
58.5938	84.7635	58.5938	84.5845	58.5938	84.819	58.5938	84.6685	58.5938	84.0365	58.5938	84.5833
60.0586	84.9245	60.0586	84.7589	60.0586	84.9862	60.0586	84.8229	60.0586	84.1717	60.0586	84.7424
62.9883	85.0972	62.9883	84.9217	62.9883	85.1535	62.9883	84.9916	62.9883	84.4102	62.9883	84.9227
64.4531	85.1802	64.4531	84.9937	64.4531	85.2366	64.4531	85.0656	64.4531	84.4802	64.4531	84.9994
67.3828	85.2398	67.3828	85.0541	67.3828	85.2972	67.3828	85.1297	67.3828	84.5715	67.3828	85.0659
68.8477	85.3171	68.8477	85.1118	68.8477	85.3699	68.8477	85.1958	68.8477	84.6348	68.8477	85.1336
71.7773	85.5698	71.7773	85.3525	71.7773	85.6264	71.7773	85.4168	71.7773	84.8018	71.7773	85.3631
74.707	85.688	74.707	85.4992	74.707	85.7633	74.707	85.535	74.707	84.8907	74.707	85.4858
77.6367	85.8211	77.6367	85.6283	77.6367	85.8954	77.6367	85.6463	77.6367	85.0071	77.6367	85.6106
79.1016	85.8584	79.1016	85.6726	79.1016	85.9372	79.1016	85.6813	79.1016	85.0524	79.1016	85.6512
82.0312	85.8388	82.0312	85.6621	82.0312	85.9257	82.0312	85.6712	82.0312	85.0653	82.0312	85.6428
84.9609	85.8828	84.9609	85.6957	84.9609	85.9768	84.9609	85.6865	84.9609	85.1017	84.9609	85.6791
87.8906	85.9862	87.8906	85.7783	87.8906	86.0764	87.8906	85.7623	87.8906	85.1225	87.8906	85.7576
90.8203	86.0896	90.8203	85.8601	90.8203	86.1891	90.8203	85.8256	90.8203	85.0843	90.8203	85.8265
95.2148	85.9717	95.2148	85.7225	95.2148	86.0599	95.2148	85.7636	95.2148	85.0785	95.2148	85.7325
98.1445	85.962	98.1445	85.7386	98.1445	86.0604	98.1445	85.747	98.1445	85.1348	98.1445	85.7402
101.074	85.8742	101.074	85.704	101.074	86.0144	101.074	85.6651	101.074	85.0157	101.074	85.6679
105.469	85.8799	105.469	85.7899	105.469	86.066	105.469	85.6695	105.469	84.9038	105.469	85.6797
108.398	86.0322	108.398	85.9006	108.398	86.2126	108.398	85.7701	108.398	84.9251	108.398	85.7902
112.793	86.1521	112.793	85.9809	112.793	86.3116	112.793	85.8462	112.793	85.0665	112.793	85.8922
117.188	86.1215	117.188	85.9266	117.188	86.2946	117.188	85.7754	117.188	84.9075	117.188	85.8308
120.117	86.1378	120.117	85.981	120.117	86.3293	120.117	85.8072	120.117	84.889	120.117	85.8565
124.512	86.1327	124.512	85.8848	124.512	86.2988	124.512	85.7799	124.512	84.8655	124.512	85.8198
128.906	86.0124	128.906	85.7014	128.906	86.1511	128.906	85.6414	128.906	84.828	128.906	85.6905
133.301	86.0204	133.301	85.6092	133.301	86.1318	133.301	85.5782	133.301	84.7867	133.301	85.6503
139.16	85.9396	139.16	85.46	139.16	86.0471	139.16	85.4214	139.16	84.6013	139.16	85.5232
143.555	85.8302	143.555	85.2962	143.555	85.9408	143.555	85.2712	143.555	84.4125	143.555	85.383
147.949	85.7242	147.949	85.1718	147.949	85.8555	147.949	85.1328	147.949	84.2203	147.949	85.2582
153.809	85.6955	153.809	85.1481	153.809	85.8474	153.809	85.0171	153.809	83.9893	153.809	85.1871
159.668	85.5853	159.668	84.9307	159.668	85.7261	159.668	84.9066	159.668	83.8933	159.668	85.0554
165.527	85.6553	165.527	85.1402	165.527	85.8813	165.527	84.9237	165.527	83.7566	165.527	85.132
171.387	85.6901	171.387	85.2545	171.387	85.9471	171.387	84.9222	171.387	83.4667	171.387	85.1377
177.246	85.7364	177.246	85.2628	177.246	85.9788	177.246	84.9239	177.246	82.9438	177.246	85.0906
183.105	85.5545	183.105	85.0432	183.105	85.7406	183.105	84.8333	183.105	82.8544	183.105	84.9164
188.965	85.2094	188.965	84.7859	188.965	85.4409	188.965	84.5399	188.965	82.706	188.965	84.6353
196.289	85.1478	196.289	84.8859	196.289	85.4336	196.289	84.5231	196.289	82.4647	196.289	84.607
203.613	84.7972	203.613	84.6477	203.613	85.1901	203.613	84.2712	203.613	82.2824	203.613	84.3466
210.938	85.0519	210.938	84.6891	210.938	85.3361	210.938	84.3952	210.938	81.9235	210.938	84.4308
218.262	84.7973	218.262	84.635	218.262	85.0401	218.262	84.1798	218.262	81.9992	218.262	84.2553
225.586	84.4582	225.586	84.2735	225.586	84.6998	225.586	83.8877	225.586	82.1913	225.586	83.9869
