"Estimated In-Room Response"	
"Estimated In-Room Response"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	52.5114
21.9727	55.0313
23.4375	56.5567
24.9023	58.2151
26.3672	58.9347
27.832	60.6956
29.2969	61.5903
30.7617	63.0269
32.2266	63.9428
33.6914	64.8352
35.1563	65.7938
36.6211	66.4901
38.0859	67.301
39.5508	67.9999
41.0156	68.7782
42.4805	69.4483
43.9453	70.0952
45.4102	70.7153
46.875	71.3123
48.3398	71.9262
51.2695	73.1236
52.7344	73.7268
54.1992	74.3003
55.6641	74.8149
58.5938	75.8967
60.0586	76.3981
62.9883	77.4505
64.4531	77.9384
67.3828	78.952
68.8477	79.4132
71.7773	80.3253
74.707	81.1932
77.6367	81.8954
79.1016	82.2463
82.0313	82.9396
84.9609	83.4681
87.8906	83.7791
90.8203	83.6348
95.2148	84.1895
98.1445	83.9249
101.074	83.6936
105.469	83.4282
108.398	83.2033
112.793	82.8662
117.188	82.4409
120.117	82.2513
124.512	81.6624
128.906	81.1809
133.301	80.7133
139.16	80.2379
143.555	79.9824
147.949	79.8607
153.809	79.9417
159.668	80.2529
165.527	80.436
171.387	80.479
177.246	80.581
183.105	80.4668
188.965	80.3888
196.289	80.4056
203.613	80.0443
210.938	79.7239
218.262	79.5824
225.586	79.579
232.91	79.8886
241.699	80.5539
250.488	81.4803
259.277	82.4689
268.066	82.862
276.855	83.2673
287.109	83.5754
297.363	83.5067
307.617	83.6422
319.336	83.44
329.59	83.4718
341.309	83.0641
353.027	82.6863
366.211	82.5779
379.395	82.3845
392.578	81.1887
405.762	80.1058
420.41	80.0759
435.059	79.9307
451.172	80.2529
465.82	80.5141
483.398	80.7811
499.512	81.3223
517.09	81.8339
536.133	81.331
555.176	81.5164
574.219	81.0238
594.727	80.5802
615.234	80.862
637.207	81.4288
659.18	81.4892
682.617	81.4622
707.52	81.2375
732.422	80.8997
757.324	80.6124
785.156	81.0821
811.523	81.0367
840.82	81.0213
870.117	80.8046
900.879	80.8362
933.105	80.8541
965.332	80.7497
1,000.49	80.6375
1,035.64	80.2173
1,072.27	80.1475
1,108.89	79.7837
1,148.44	79.7773
1,189.45	79.7194
1,230.47	79.5514
1,274.41	79.002
1,319.82	78.2126
1,366.7	77.5346
1,413.57	76.9964
1,463.38	77.0195
1,516.11	77.5615
1,568.85	77.8123
1,624.51	77.2337
1,681.64	76.6237
1,741.7	76.3266
1,803.22	76.6985
1,866.21	77.0034
1,932.13	76.6949
1,999.51	76.9183
2,069.82	77.9141
2,143.07	77.9443
2,219.24	77.3478
2,296.88	77.823
2,378.91	78.8875
2,462.4	78.482
2,548.83	78.135
2,639.65	78.5853
2,731.93	78.9311
2,828.61	78.8896
2,928.22	79.0188
3,030.76	78.8742
3,137.7	78.9312
3,249.02	78.7872
3,363.28	78.9104
3,481.93	78.9016
3,604.98	79.1005
3,732.42	79.1905
3,864.26	79.1577
4,000.49	79.2894
4,141.11	79.6424
4,287.6	79.754
4,438.48	80.2341
4,595.21	80.2711
4,756.35	80.5498
4,924.8	80.5946
5,097.66	80.6826
5,277.83	80.7776
5,463.87	80.5054
5,657.23	80.6337
5,856.45	80.825
6,062.99	81.1777
6,276.86	81.4058
6,498.05	81.6435
6,726.56	81.7789
6,963.87	81.3914
7,209.96	81.1504
7,464.84	80.8774
7,727.05	80.9184
7,999.51	81.1237
8,282.23	81.4159
8,573.73	81.6216
8,876.95	81.4584
9,188.96	81.3015
9,514.16	81.2337
9,849.61	81.2439
10,196.8	81.3986
10,555.7	81.6264
10,927.7	81.77
11,313	81.7628
11,712.9	81.4569
12,126	81.1284
12,553.7	81.0073
12,996.1	80.6492
13,454.6	79.9489
13,929.2	79.2718
14,419.9	78.626
14,928.2	77.9847
15,455.6	77.9657
16,000.5	77.5793
16,564.5	77.0429
17,148.9	77.1946
17,752.4	77.4511
18,379.4	76.3768
19,026.9	75.2575
19,697.8	74.8245
19,999.5	74.681
