"CEA2034"													
"On Axis"		"Listening Window"		"Early Reflections"		"Sound Power"		"Sound Power DI"		"Early Reflections DI"		"DI offset"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
169.922	88.7695	169.922	88.7435	169.922	88.5244	169.922	88.2018	169.922	50.5212	169.922	50.1985	169.922	49.9794
175.781	88.6153	175.781	88.582	175.781	88.332	175.781	87.9951	175.781	50.5663	175.781	50.2294	175.781	49.9794
181.641	88.5705	181.641	88.5268	181.641	88.1994	181.641	87.7559	181.641	50.7503	181.641	50.3069	181.641	49.9794
190.43	88.5118	190.43	88.4666	190.43	88.1209	190.43	87.6274	190.43	50.8186	190.43	50.3251	190.43	49.9794
196.289	88.4105	196.289	88.355	196.289	87.9768	196.289	87.4868	196.289	50.8476	196.289	50.3576	196.289	49.9794
202.148	88.6344	202.148	88.5635	202.148	88.081	202.148	87.4531	202.148	51.0898	202.148	50.4619	202.148	49.9794
210.938	88.5849	210.938	88.5191	210.938	88.0473	210.938	87.4034	210.938	51.0951	210.938	50.4511	210.938	49.9794
216.797	88.3104	216.797	88.2457	216.797	87.7917	216.797	87.1877	216.797	51.0374	216.797	50.4334	216.797	49.9794
225.586	88.3862	225.586	88.3075	225.586	87.7506	225.586	86.9894	225.586	51.2975	225.586	50.5363	225.586	49.9794
234.375	88.3043	234.375	88.2296	234.375	87.6778	234.375	86.8789	234.375	51.3301	234.375	50.5312	234.375	49.9794
240.234	88.1587	240.234	88.0729	240.234	87.4607	240.234	86.5608	240.234	51.4915	240.234	50.5915	240.234	49.9794
249.023	88.2689	249.023	88.1697	249.023	87.4286	249.023	86.2886	249.023	51.8605	249.023	50.7206	249.023	49.9794
257.813	88.2986	257.813	88.2356	257.813	87.6707	257.813	86.6838	257.813	51.5312	257.813	50.5443	257.813	49.9794
266.602	87.6086	266.602	87.5434	266.602	87.0259	266.602	86.102	266.602	51.4207	266.602	50.4968	266.602	49.9794
278.32	87.4429	278.32	87.3437	278.32	86.7053	278.32	85.7947	278.32	51.5284	278.32	50.6178	278.32	49.9794
287.109	87.5786	287.109	87.4705	287.109	86.7648	287.109	85.7497	287.109	51.7002	287.109	50.6851	287.109	49.9794
295.898	87.6412	295.898	87.5324	295.898	86.755	295.898	85.4674	295.898	52.0444	295.898	50.7568	295.898	49.9794
307.617	87.2516	307.617	87.1109	307.617	86.349	307.617	85.1114	307.617	51.979	307.617	50.7413	307.617	49.9794
319.336	88.6418	319.336	88.4222	319.336	87.1474	319.336	85.5679	319.336	52.8337	319.336	51.2542	319.336	49.9794
