"CEA2034"													
"On Axis"		"Listening Window"		"Early Reflections"		"Sound Power"		"Sound Power DI"		"Early Reflections DI"		"DI offset"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	61.717	20.5078	61.7453	20.5078	62.9122	20.5078	65.1892	20.5078	36.5354	20.5078	38.8125	20.5078	39.9794
21.9727	65.0323	21.9727	65.0793	21.9727	66.1075	21.9727	68.0609	21.9727	36.9978	21.9727	38.9512	21.9727	39.9794
23.4375	67.0868	23.4375	67.1486	23.4375	68.1833	23.4375	70.0589	23.4375	37.0692	23.4375	38.9447	23.4375	39.9794
24.9023	69.3233	24.9023	69.3883	24.9023	70.3497	24.9023	72.0787	24.9023	37.2891	24.9023	39.018	24.9023	39.9794
26.3672	71.2909	26.3672	71.3553	26.3672	72.2057	26.3672	73.7403	26.3672	37.5943	26.3672	39.129	26.3672	39.9794
27.832	73.2107	27.832	73.2655	27.832	73.9736	27.832	75.2953	27.832	37.9496	27.832	39.2713	27.832	39.9794
29.2969	74.545	29.2969	74.5964	29.2969	75.2183	29.2969	76.394	29.2969	38.1819	29.2969	39.3575	29.2969	39.9794
30.7617	75.7325	30.7617	75.781	30.7617	76.3419	30.7617	77.4072	30.7617	38.3531	30.7617	39.4184	30.7617	39.9794
32.2266	76.6595	32.2266	76.704	32.2266	77.1925	32.2266	78.1346	32.2266	38.5488	32.2266	39.4908	32.2266	39.9794
33.6914	77.4441	33.6914	77.4832	33.6914	77.8987	33.6914	78.7076	33.6914	38.7549	33.6914	39.5638	33.6914	39.9794
35.1562	77.8062	35.1562	77.8436	35.1562	78.2218	35.1562	78.9535	35.1562	38.8695	35.1562	39.6012	35.1562	39.9794
36.6211	78.2128	36.6211	78.2464	36.6211	78.5732	36.6211	79.214	36.6211	39.0118	36.6211	39.6526	36.6211	39.9794
38.0859	78.4612	38.0859	78.492	38.0859	78.7785	38.0859	79.347	38.0859	39.1244	38.0859	39.6929	38.0859	39.9794
39.5508	78.7783	39.5508	78.805	39.5508	79.041	39.5508	79.5156	39.5508	39.2688	39.5508	39.7434	39.5508	39.9794
41.0156	79.0052	41.0156	79.0285	41.0156	79.2251	41.0156	79.6224	41.0156	39.3855	41.0156	39.7828	41.0156	39.9794
42.4805	79.071	42.4805	79.0958	42.4805	79.293	42.4805	79.6759	42.4805	39.3993	42.4805	39.7822	42.4805	39.9794
43.9453	79.1177	43.9453	79.1412	43.9453	79.3165	43.9453	79.6558	43.9453	39.4648	43.9453	39.8041	43.9453	39.9794
45.4102	79.3846	45.4102	79.4034	45.4102	79.5351	45.4102	79.7989	45.4102	39.5839	45.4102	39.8477	45.4102	39.9794
46.875	79.4737	46.875	79.4917	46.875	79.6155	46.875	79.8644	46.875	39.6067	46.875	39.8556	46.875	39.9794
48.3398	79.4876	48.3398	79.5059	48.3398	79.6259	48.3398	79.8646	48.3398	39.6207	48.3398	39.8594	48.3398	39.9794
51.2695	79.6081	51.2695	79.6273	51.2695	79.7466	51.2695	79.9722	51.2695	39.6346	51.2695	39.8602	51.2695	39.9794
52.7344	79.7768	52.7344	79.7926	52.7344	79.878	52.7344	80.0364	52.7344	39.7356	52.7344	39.8941	52.7344	39.9794
54.1992	80.1336	54.1992	80.1432	54.1992	80.1764	54.1992	80.2489	54.1992	39.8738	54.1992	39.9463	54.1992	39.9794
55.6641	80.2751	55.6641	80.2798	55.6641	80.2816	55.6641	80.3107	55.6641	39.9485	55.6641	39.9776	55.6641	39.9794
58.5938	80.3452	58.5938	80.3541	58.5938	80.3754	58.5938	80.4238	58.5938	39.9097	58.5938	39.9581	58.5938	39.9794
60.0586	80.4503	60.0586	80.4595	60.0586	80.4813	60.0586	80.5261	60.0586	39.9128	60.0586	39.9576	60.0586	39.9794
62.9883	80.7326	62.9883	80.7428	62.9883	80.7644	62.9883	80.7991	62.9883	39.9231	62.9883	39.9578	62.9883	39.9794
64.4531	80.7796	64.4531	80.7892	64.4531	80.8093	64.4531	80.8469	64.4531	39.9218	64.4531	39.9594	64.4531	39.9794
67.3828	80.8505	67.3828	80.8611	67.3828	80.8879	67.3828	80.9296	67.3828	39.911	67.3828	39.9526	67.3828	39.9794
68.8477	80.96	68.8477	80.9699	68.8477	80.9959	68.8477	81.0433	68.8477	39.9059	68.8477	39.9533	68.8477	39.9794
71.7773	81.2388	71.7773	81.2457	71.7773	81.2529	71.7773	81.2766	71.7773	39.9485	71.7773	39.9722	71.7773	39.9794
74.707	81.4402	74.707	81.4453	74.707	81.4402	74.707	81.4439	74.707	39.9807	74.707	39.9845	74.707	39.9794
77.6367	81.6175	77.6367	81.6228	77.6367	81.6168	77.6367	81.6145	77.6367	39.9877	77.6367	39.9854	77.6367	39.9794
79.1016	81.7304	79.1016	81.7342	79.1016	81.7119	79.1016	81.6787	79.1016	40.0348	79.1016	40.0017	79.1016	39.9794
82.0312	81.7651	82.0312	81.7672	82.0312	81.7286	82.0312	81.6621	82.0312	40.0845	82.0312	40.018	82.0312	39.9794
84.9609	81.9001	84.9609	81.9023	84.9609	81.8594	84.9609	81.7846	84.9609	40.0971	84.9609	40.0222	84.9609	39.9794
87.8906	81.9738	87.8906	81.9717	87.8906	81.9225	87.8906	81.8625	87.8906	40.0886	87.8906	40.0286	87.8906	39.9794
90.8203	82.1821	90.8203	82.1757	90.8203	82.1054	90.8203	82.0274	90.8203	40.1277	90.8203	40.0496	90.8203	39.9794
95.2148	82.3097	95.2148	82.3026	95.2148	82.2252	95.2148	82.1322	95.2148	40.1498	95.2148	40.0569	95.2148	39.9794
98.1445	82.5599	98.1445	82.5456	98.1445	82.4153	98.1445	82.2401	98.1445	40.2849	98.1445	40.1096	98.1445	39.9794
101.074	82.5071	101.074	82.493	101.074	82.3631	101.074	82.191	101.074	40.2814	101.074	40.1093	101.074	39.9794
105.469	82.7914	105.469	82.7738	105.469	82.6094	105.469	82.3573	105.469	40.3959	105.469	40.1439	105.469	39.9794
108.398	83.0728	108.398	83.0484	108.398	82.8414	108.398	82.5245	108.398	40.5033	108.398	40.1864	108.398	39.9794
112.793	83.22	112.793	83.1906	112.793	82.9441	112.793	82.5683	112.793	40.6018	112.793	40.2259	112.793	39.9794
117.188	83.1594	117.188	83.1331	117.188	82.9003	117.188	82.5566	117.188	40.5559	117.188	40.2123	117.188	39.9794
120.117	83.328	120.117	83.2996	120.117	83.0381	120.117	82.6206	120.117	40.6584	120.117	40.2409	120.117	39.9794
124.512	83.1991	124.512	83.1786	124.512	82.9577	124.512	82.5783	124.512	40.5797	124.512	40.2003	124.512	39.9794
128.906	83.0539	128.906	83.0321	128.906	82.8272	128.906	82.5092	128.906	40.5023	128.906	40.1843	128.906	39.9794
133.301	83.1195	133.301	83.0914	133.301	82.863	133.301	82.5381	133.301	40.5327	133.301	40.2078	133.301	39.9794
139.16	83.3736	139.16	83.3337	139.16	83.0186	139.16	82.5661	139.16	40.7471	139.16	40.2945	139.16	39.9794
143.555	83.3979	143.555	83.3581	143.555	83.0312	143.555	82.5476	143.555	40.7899	143.555	40.3062	143.555	39.9794
147.949	83.2994	147.949	83.2627	147.949	82.9556	147.949	82.4985	147.949	40.7436	147.949	40.2866	147.949	39.9794
153.809	83.2523	153.809	83.2085	153.809	82.8759	153.809	82.4337	153.809	40.7542	153.809	40.312	153.809	39.9794
159.668	83.5242	159.668	83.4747	159.668	83.0992	159.668	82.5886	159.668	40.8656	159.668	40.3549	159.668	39.9794
165.527	83.635	165.527	83.5825	165.527	83.2019	165.527	82.6831	165.527	40.8788	165.527	40.3599	165.527	39.9794
171.387	83.6644	171.387	83.6105	171.387	83.2002	171.387	82.6104	171.387	40.9795	171.387	40.3896	171.387	39.9794
177.246	83.7693	177.246	83.7046	177.246	83.2342	177.246	82.5845	177.246	41.0995	177.246	40.4498	177.246	39.9794
183.105	83.6602	183.105	83.6093	183.105	83.1844	183.105	82.5217	183.105	41.067	183.105	40.4043	183.105	39.9794
188.965	83.6964	188.965	83.6381	188.965	83.1912	188.965	82.5388	188.965	41.0787	188.965	40.4263	188.965	39.9794
196.289	83.9992	196.289	83.9298	196.289	83.4239	196.289	82.707	196.289	41.2022	196.289	40.4853	196.289	39.9794
203.613	84.0882	203.613	84.0158	203.613	83.463	203.613	82.6087	203.613	41.3864	203.613	40.5322	203.613	39.9794
210.938	83.9607	210.938	83.8925	210.938	83.3619	210.938	82.5035	210.938	41.3684	210.938	40.51	210.938	39.9794
218.262	83.9394	218.262	83.8694	218.262	83.3433	218.262	82.5769	218.262	41.272	218.262	40.5056	218.262	39.9794
