"Early Reflections"
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce"		"Total Early Reflection"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	62.0295	20.5078	61.7911	20.5078	61.7513	20.5078	62.5303	20.5078	66.4134	20.5078	62.9122
21.9727	65.3213	21.9727	65.2736	21.9727	65.0891	21.9727	65.8685	21.9727	69.132	21.9727	66.1075
23.4375	67.4098	23.4375	67.4075	23.4375	67.1613	23.4375	68.013	23.4375	71.0706	23.4375	68.1833
24.9023	69.685	24.9023	69.607	24.9023	69.4015	24.9023	70.2324	24.9023	73.0111	24.9023	70.3497
26.3672	71.676	26.3672	71.5105	26.3672	71.3681	26.3672	72.1359	26.3672	74.5742	26.3672	72.2057
27.832	73.5704	27.832	73.3435	27.832	73.2764	27.832	73.9251	27.832	76.0335	27.832	73.9736
29.2969	74.9133	29.2969	74.6064	29.2969	74.6067	29.2969	75.192	29.2969	77.0535	29.2969	75.2183
30.7617	76.0958	30.7617	75.7757	30.7617	75.7905	30.7617	76.3299	30.7617	77.9997	30.7617	76.3419
32.2266	77.0548	32.2266	76.618	32.2266	76.7124	32.2266	77.1924	32.2266	78.6523	32.2266	77.1925
33.6914	77.8073	33.6914	77.3662	33.6914	77.4907	33.6914	77.9084	33.6914	79.1635	33.6914	77.8987
35.1562	78.1562	35.1562	77.7264	35.1562	77.8507	35.1562	78.2395	35.1562	79.3622	35.1562	78.2218
36.6211	78.5668	36.6211	78.089	36.6211	78.2526	36.6211	78.595	36.6211	79.5638	36.6211	78.5732
38.0859	78.8281	38.0859	78.2828	38.0859	78.4976	38.0859	78.8043	38.0859	79.6511	38.0859	78.7785
39.5508	79.1413	39.5508	78.5611	39.5508	78.8098	39.5508	79.0692	39.5508	79.7618	39.5508	79.041
41.0156	79.3529	41.0156	78.7682	41.0156	79.0326	41.0156	79.256	41.0156	79.8221	41.0156	79.2251
42.4805	79.4191	42.4805	78.8483	42.4805	79.1002	42.4805	79.3302	42.4805	79.8637	42.4805	79.293
43.9453	79.4816	43.9453	78.8528	43.9453	79.1453	43.9453	79.3572	43.9453	79.8134	43.9453	79.3165
45.4102	79.7296	45.4102	79.0992	45.4102	79.4065	45.4102	79.5714	45.4102	79.9081	45.4102	79.5351
46.875	79.8135	46.875	79.1916	46.875	79.4946	46.875	79.651	46.875	79.9615	46.875	79.6155
48.3398	79.8471	48.3398	79.1756	48.3398	79.5089	48.3398	79.6654	48.3398	79.9519	48.3398	79.6259
51.2695	79.9799	51.2695	79.2889	51.2695	79.6304	51.2695	79.7917	51.2695	80.0467	51.2695	79.7466
52.7344	80.1193	52.7344	79.4501	52.7344	79.7952	52.7344	79.9227	52.7344	80.074	52.7344	79.878
54.1992	80.4462	54.1992	79.7725	54.1992	80.1447	54.1992	80.2128	54.1992	80.2347	54.1992	80.1764
55.6641	80.5701	55.6641	79.8996	55.6641	80.2802	55.6641	80.3074	55.6641	80.2659	55.6641	80.2816
58.5938	80.6844	58.5938	79.9529	58.5938	80.3551	58.5938	80.4124	58.5938	80.3811	58.5938	80.3754
60.0586	80.8011	60.0586	80.0482	60.0586	80.4605	60.0586	80.5204	60.0586	80.479	60.0586	80.4813
62.9883	81.0916	62.9883	80.3296	62.9883	80.744	62.9883	80.8078	62.9883	80.7406	62.9883	80.7644
64.4531	81.1453	64.4531	80.3618	64.4531	80.7903	64.4531	80.8513	64.4531	80.7883	64.4531	80.8093
67.3828	81.2122	67.3828	80.4404	67.3828	80.8625	67.3828	80.9341	67.3828	80.881	67.3828	80.8879
68.8477	81.3252	68.8477	80.5477	68.8477	80.971	68.8477	81.0393	68.8477	80.9922	68.8477	80.9959
71.7773	81.6054	71.7773	80.8008	71.7773	81.2462	71.7773	81.2903	71.7773	81.2051	71.7773	81.2529
74.707	81.8004	74.707	80.9882	74.707	81.4454	74.707	81.475	74.707	81.3642	74.707	81.4402
77.6367	81.9818	77.6367	81.1601	77.6367	81.6231	77.6367	81.6533	77.6367	81.5315	77.6367	81.6168
79.1016	82.0869	79.1016	81.2557	79.1016	81.7342	79.1016	81.7473	79.1016	81.5806	79.1016	81.7119
82.0312	82.1174	82.0312	81.2679	82.0312	81.767	82.0312	81.7639	82.0312	81.5475	82.0312	81.7286
84.9609	82.2379	84.9609	81.4035	84.9609	81.9022	84.9609	81.8987	84.9609	81.6605	84.9609	81.8594
