* Freq[Hz]     dBSPL  Phase[Deg]
5.00000     28.484    89.698
5.07273     28.505    83.706
5.14651     28.587    75.856
5.22137     28.756    65.372
5.29732     29.017    54.067
5.37437     29.317    42.058
5.45254     29.617    30.505
5.53185     29.910    19.380
5.61231     30.194     8.644
5.69394     30.467    -1.748
5.77676     30.710   -11.866
5.86079     30.901   -21.803
5.94604     31.041   -31.631
6.03252     31.130   -41.405
6.12027     31.172   -51.167
6.20929     31.162   -60.960
6.29961     31.098   -70.820
6.39124     30.976   -80.781
6.48420     30.798   -90.875
6.57851     30.560  -101.107
6.67420     30.263  -111.489
6.77128     29.898  -122.050
6.86977     29.457  -132.816
6.96969     28.935  -143.771
7.07107     28.327  -154.947
7.17392     27.599  -166.418
7.27827     26.733  -178.301
7.38413     25.726   169.295
7.49154     24.542   155.987
7.60050     23.169   141.053
7.71105     21.646   123.411
7.82321     20.025   101.239
7.93701     18.551    69.533
8.05245     17.962    25.326
8.16958     18.706   -18.094
8.28841     20.292   -48.596
8.40896     21.981   -69.703
8.53128     23.540   -86.461
8.65537     24.856  -100.465
8.78126     25.899  -112.830
8.90899     26.729  -124.343
9.03857     27.307  -135.183
9.17004     27.655  -145.517
9.30342     27.816  -155.427
9.43874     27.754  -164.808
9.57603     27.494  -173.611
9.71532     27.049   178.392
9.85663     26.391   171.462
10.0000     25.574   165.799
10.1455     24.671   161.772
10.2930     23.808   159.528
10.4427     23.222   158.500
10.5946     23.154   157.806
10.7487     23.597   156.083
10.9051     24.429   152.143
11.0637     25.430   145.876
11.2246     26.415   137.514
11.3879     27.315   127.421
11.5535     28.084   116.175
11.7216     28.690   104.112
11.8921     29.131    91.654
12.0650     29.376    79.060
12.2405     29.417    66.600
12.4186     29.214    54.480
12.5992     28.740    42.989
12.7825     27.928    32.358
12.9684     26.733    23.181
13.1570     25.049    16.191
13.3484     22.892    13.089
13.5426     20.352    17.144
13.7395     18.131    31.823
13.9394     17.779    53.151
14.1421     18.646    68.458
14.3478     19.470    76.727
14.5565     19.830    83.427
14.7683     19.959    93.279
14.9831     20.796   107.229
15.2010     22.934   119.509
15.4221     25.717   124.603
15.6464     28.290   123.493
15.8740     30.336   118.214
16.1049     31.819   110.381
16.3392     32.789   101.100
16.5768     33.229    90.907
16.8179     33.142    80.342
17.0626     32.531    69.986
17.3107     31.304    60.467
17.5625     29.389    53.527
17.8180     26.782    51.532
18.0771     23.660    63.549
18.3401     22.129   105.408
18.6068     23.565   130.473
18.8775     25.529   133.922
19.1521     27.035   129.914
19.4306     28.124   123.610
19.7133     29.068   115.812
20.0000     30.077   106.592
20.2909     31.205    95.576
20.5860     32.343    82.659
20.8855     33.349    68.165
21.1893     34.123    52.696
21.4975     34.595    36.945
21.8102     34.723    21.617
22.1274     34.481     7.320
22.4492     33.860    -5.495
22.7758     32.876   -16.520
23.1071     31.574   -25.641
23.4432     29.993   -32.567
23.7841     28.108   -36.997
24.1301     26.069   -33.586
24.4811     25.235    10.887
24.8372     27.405    74.074
25.1984     30.592    78.953
25.5649     33.104    74.415
25.9368     34.797    67.742
26.3141     35.806    60.673
26.6968     36.340    54.352
27.0851     36.663    48.993
27.4791     37.002    44.402
27.8788     37.402    40.099
28.2843     37.729    35.717
28.6957     37.820    31.269
29.1131     37.617    27.098
29.5365     37.208    23.638
29.9661     36.798    21.086
30.4020     36.579    19.228
30.8442     36.583    17.508
31.2929     36.711    15.319
31.7480     36.882    12.288
32.2098     37.077     8.375
32.6783     37.267     3.804
33.1536     37.387    -1.000
33.6359     37.414    -5.584
34.1251     37.474    -9.684
34.6215     37.829   -13.461
35.1250     38.628   -17.399
35.6359     39.694   -21.928
36.1543     40.735   -27.054
36.6802     41.570   -32.352
37.2137     42.148   -37.137
37.7550     42.504   -40.731
38.3041     42.767   -42.750
38.8613     43.130   -43.390
39.4265     43.709   -43.408
40.0000     44.412   -43.566
40.5818     45.054   -44.224
41.1721     45.544   -45.388
41.7710     45.890   -46.844
42.3785     46.143   -48.257
42.9949     46.382   -49.355
43.6203     46.720   -50.265
44.2548     47.218   -51.331
44.8985     47.830   -52.629
45.5515     48.513   -54.084
46.2141     49.282   -55.814
46.8863     50.117   -57.928
47.5683     50.943   -60.245
48.2602     51.719   -62.615
48.9621     52.418   -65.105
49.6743     53.021   -67.653
50.3968     53.566   -70.109
51.1299     54.113   -72.572
51.8736     54.667   -75.232
52.6281     55.215   -78.109
53.3936     55.781   -81.216
54.1702     56.381   -84.661
54.9581     56.999   -88.421
55.7575     57.604   -92.337
56.5685     58.168   -96.288
57.3914     58.661  -100.161
58.2261     59.092  -103.787
59.0730     59.503  -107.076
59.9323     59.921  -110.105
60.8040     60.361  -112.993
61.6884     60.862  -115.939
62.5857     61.427  -119.231
63.4960     61.975  -122.915
64.4196     62.452  -126.811
65.3566     62.851  -130.874
66.3073     63.174  -135.012
67.2717     63.472  -139.044
68.2502     63.780  -143.017
69.2429     64.043  -146.925
70.2501     64.228  -150.591
71.2719     64.358  -153.959
72.3086     64.488  -157.041
73.3603     64.678  -159.910
74.4274     64.932  -162.699
75.5099     65.208  -165.566
76.6083     65.444  -168.563
77.7226     65.611  -171.525
78.8531     65.744  -174.281
80.0000     65.877  -176.831
81.1636     66.051  -179.177
82.3442     66.308   178.487
83.5419     66.637   175.913
84.7570     66.988   173.010
85.9899     67.325   169.755
87.2406     67.604   166.215
88.5096     67.812   162.550
89.7970     67.940   158.954
91.1031     67.998   155.602
92.4282     68.021   152.586
93.7726     68.049   149.892
95.1366     68.131   147.451
96.5204     68.290   145.023
97.9243     68.496   142.399
99.3486     68.704   139.522
100.794     68.859   136.463
102.260     68.917   133.456
103.747     68.915   130.715
105.256     68.939   128.198
106.787     69.057   125.723
108.340     69.247   123.095
109.916     69.440   120.176
111.515     69.551   116.966
113.137     69.545   113.685
114.783     69.454   110.696
116.452     69.350   108.087
118.146     69.275   105.792
