Freq[Hz]    GD[ms]  Phase[Deg]
95.1366      5.901   147.451
96.5204      5.795   145.023
97.9243      5.680   142.399
99.3486      5.559   139.522
100.794      5.437   136.463
102.260      5.314   133.456
103.747      5.195   130.715
105.256      5.078   128.198
106.787      4.960   125.723
108.340      4.842   123.095
109.916      4.724   120.176
111.515      4.608   116.966
113.137      4.497   113.685
114.783      4.393   110.696
116.452      4.296   108.087
118.146      4.204   105.792
119.865      4.113   103.746
121.608      4.018   101.711
123.377      3.914    99.564
125.171      3.800    97.491
126.992      3.682    95.208
128.839      3.566    92.588
130.713      3.457    89.852
132.615      3.362    87.005
134.543      3.278    84.147
136.500      3.203    81.657
138.486      3.131    79.590
140.500      3.055    77.702
142.544      2.973    75.811
144.617      2.883    73.922
146.721      2.789    71.969
148.855      2.696    69.960
151.020      2.607    67.949
153.217      2.525    65.915
155.445      2.449    63.700
157.706      2.376    61.479
160.000      2.306    59.486
162.327      2.235    57.611
164.688      2.162    55.916
167.084      2.089    54.326
169.514      2.017    52.573
171.980      1.947    50.748
174.481      1.882    48.829
177.019      1.823    46.858
179.594      1.769    45.205
182.206      1.718    43.820
184.856      1.668    42.559
187.545      1.619    41.426
190.273      1.568    40.333
193.041      1.517    39.095
195.849      1.467    37.483
198.697      1.418    35.711
201.587      1.374    34.069
204.520      1.336    32.395
207.494      1.305    30.796
210.512      1.278    29.415
213.574      1.252    28.193
216.681      1.225    27.056
219.833      1.195    25.830
223.030      1.160    24.718
226.274      1.122    23.628
229.565      1.084    22.275
232.905      1.047    20.869
236.292      1.014    19.437
239.729      0.984    17.847
243.216      0.958    16.213
246.754      0.935    14.850
250.343      0.913    13.678
253.984      0.892    12.540
257.678      0.872    11.667
261.426      0.852    10.876
265.229      0.833    10.041
269.087      0.815     9.303
273.001      0.798     8.521
276.972      0.783     7.592
281.000      0.770     6.533
285.088      0.760     5.466
289.234      0.753     4.291
293.441      0.748     3.081
297.709      0.744     1.894
302.040      0.742     0.599
306.433      0.739    -0.777
310.890      0.736    -2.114
315.412      0.733    -3.395
320.000      0.730    -4.496
324.655      0.724    -5.629
329.377      0.717    -6.748
334.168      0.705    -7.900
339.028      0.688    -9.199
343.959      0.666   -10.590
348.962      0.639   -11.953
354.038      0.610   -13.443
359.188      0.581   -15.032
364.412      0.552   -16.620
369.713      0.524   -18.219
375.090      0.496   -19.680
380.546      0.465   -20.765
386.081      0.430   -21.550
391.697      0.389   -21.994
397.394      0.344   -22.051
403.175      0.297   -22.268
409.039      0.252   -22.652
414.989      0.212   -23.374
421.025      0.179   -24.429
427.149      0.151   -25.412
433.362      0.130   -26.121
439.665      0.113   -26.163
446.060      0.100   -25.426
452.548      0.089   -24.379
459.131      0.081   -23.068
465.809      0.076   -22.056
472.584      0.076   -21.806
479.458      0.081   -22.184
486.432      0.092   -22.805
493.507      0.107   -23.238
500.686      0.127   -23.099
507.968      0.150   -22.485
515.357      0.172   -21.889
522.853      0.192   -21.857
530.458      0.209   -22.713
538.174      0.222   -24.355
546.002      0.233   -26.318
553.943      0.243   -28.284
562.001      0.255   -30.025
570.175      0.267   -31.501
578.469      0.279   -32.764
586.883      0.288   -33.859
595.419      0.294   -34.781
604.080      0.294   -35.582
612.866      0.291   -36.308
621.780      0.285   -36.948
630.824      0.278   -37.542
640.000      0.273   -38.104
649.309      0.270   -38.656
658.753      0.269   -39.226
668.335      0.270   -39.822
678.056      0.271   -40.461
687.919      0.273   -41.156
697.925      0.275   -41.914
708.077      0.279   -42.756
718.376      0.284   -43.698
728.825      0.290   -44.754
739.426      0.296   -45.930
750.181      0.303   -47.230
761.093      0.310   -48.640
772.163      0.317   -50.144
783.394      0.323   -51.730
794.789      0.330   -53.373
806.349      0.336   -55.040
818.078      0.341   -56.710
829.977      0.346   -58.353
842.050      0.351   -59.938
854.298      0.355   -61.487
866.724      0.358   -63.008
879.330      0.361   -64.484
892.120      0.363   -65.940
905.097      0.365   -67.389
918.262      0.365   -68.837
931.618      0.364   -70.341
945.169      0.361   -71.945
958.917      0.357   -73.693
972.864      0.351   -75.601
987.015      0.343   -77.689
1001.37      0.333   -79.940
1015.94      0.322   -82.329
1030.71      0.309   -84.834
1045.71      0.295   -87.392
1060.92      0.280   -89.931
1076.35      0.264   -92.375
1092.00      0.250   -94.620
1107.89      0.236   -96.569
1124.00      0.224   -98.098
1140.35      0.213   -99.126
1156.94      0.204   -99.584
1173.77      0.197   -99.479
1190.84      0.192   -98.933
1208.16      0.188   -98.123
1225.73      0.186   -97.329
1243.56      0.186   -96.824
1261.65      0.187   -96.795
1280.00      0.192   -97.351
1298.62      0.199   -98.497
1317.51      0.209  -100.162
1336.67      0.221  -102.235
1356.11      0.235  -104.602
1375.84      0.251  -107.152
1395.85      0.267  -109.775
1416.15      0.282  -112.410
1436.75      0.297  -115.014
1457.65      0.310  -117.586
1478.85      0.321  -120.156
1500.36      0.330  -122.788
1522.19      0.336  -125.533
1544.33      0.341  -128.433
1566.79      0.344  -131.520
1589.58      0.345  -134.779
1612.70      0.345  -138.183
1636.16      0.344  -141.684
1659.95      0.342  -145.210
1684.10      0.339  -148.687
1708.60      0.336  -152.032
1733.45      0.332  -155.188
1758.66      0.328  -158.123
1784.24      0.324  -160.838
1810.19      0.320  -163.377
1836.52      0.315  -165.812
1863.24      0.310  -168.240
1890.34      0.304  -170.757
1917.83      0.298  -173.448
1945.73      0.293  -176.352
1974.03      0.288  -179.467
2002.74      0.283   177.261
2031.87      0.279   173.921
2061.43      0.276   170.605
2091.41      0.272   167.407
2121.83      0.269   164.378
2152.69      0.264   161.529
2184.01      0.259   158.816
2215.77      0.254   156.131
2248.00      0.247   153.364
2280.70      0.240   150.423
2313.87      0.232   147.263
2347.53      0.223   143.951
2381.68      0.214   140.580
2416.32      0.205   137.275
2451.46      0.196   134.157
2487.12      0.187   131.277
2523.30      0.178   128.647
2560.00      0.168   126.235
2597.24      0.159   124.013
2635.01      0.151   122.020
2673.34      0.143   120.289
2712.23      0.135   118.884
2751.68      0.128   117.809
2791.70      0.123   116.987
2832.31      0.118   116.308
2873.50      0.113   115.635
2915.30      0.110   114.885
2957.70      0.107   114.023
3000.72      0.105   113.007
3044.37      0.103   111.819
3088.65      0.102   110.423
3133.58      0.101   108.777
3179.16      0.100   106.856
3225.40      0.099   104.638
3272.31      0.098   102.145
3319.91      0.097    99.448
3368.20      0.096    96.665
3417.19      0.095    93.957
3466.89      0.094    91.461
3517.32      0.092    89.278
3568.48      0.091    87.442
3620.39      0.089    85.922
3673.05      0.087    84.660
3726.47      0.086    83.576
3780.67      0.084    82.622
3835.67      0.083    81.776
3891.46      0.082    81.006
3948.06      0.081    80.254
4005.49      0.081    79.456
4063.75      0.081    78.518
4122.86      0.082    77.350
4182.82      0.083    75.916
4243.66      0.084    74.212
4305.39      0.086    72.270
4368.01      0.087    70.125
4431.55      0.089    67.776
4496.01      0.090    65.209
4561.40      0.091    62.420
4627.75      0.092    59.412
4695.06      0.092    56.253
4763.35      0.093    53.049
4832.64      0.093    49.906
4902.93      0.093    46.939
4974.24      0.092    44.212
5046.60      0.091    41.758
5120.00      0.090    39.545
5194.47      0.088    37.490
5270.03      0.086    35.519
5346.68      0.085    33.572
5424.45      0.083    31.629
5503.35      0.081    29.713
5583.40      0.079    27.864
5664.61      0.077    26.074
5747.01      0.076    24.259
5830.60      0.074    22.331
5915.41      0.073    20.175
6001.45      0.071    17.730
