"Estimated In-Room Response"
"Estimated In-Room Response"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	49.7454
21.9727	51.6501
23.4375	52.5324
24.9023	54.0599
26.3672	56.1663
27.832	57.4747
29.2969	59.0676
30.7617	60.3211
32.2266	61.7449
33.6914	62.962
35.1563	64.4423
36.6211	65.7253
38.0859	67.0779
39.5508	68.3839
41.0156	69.7303
42.4805	70.4028
43.9453	71.6189
45.4102	72.6701
46.875	73.8556
48.3398	74.7635
51.2695	76.732
52.7344	77.6217
54.1992	78.515
55.6641	79.3396
58.5938	80.7591
60.0586	81.4159
62.9883	82.6647
64.4531	83.2076
67.3828	84.1068
68.8477	84.4592
71.7773	85.1911
74.707	85.8451
77.6367	86.2778
79.1016	86.4308
82.0313	86.7983
84.9609	87.0465
87.8906	87.1876
90.8203	87.3693
95.2148	87.4981
98.1445	87.4784
101.074	87.5045
105.469	87.5211
108.398	87.4813
112.793	87.5625
117.188	87.5625
120.117	87.4649
124.512	87.5477
128.906	87.3946
133.301	87.2651
139.16	87.0989
143.555	86.9863
147.949	86.8675
153.809	86.7179
159.668	86.6141
165.527	86.5902
171.387	86.4689
177.246	86.3453
183.105	86.0587
188.965	85.9033
196.289	85.831
203.613	85.67
210.938	85.5336
218.262	85.3382
225.586	85.2473
232.91	85.2207
241.699	85.1264
250.488	84.7842
259.277	85.1748
268.066	84.7003
276.855	84.5942
287.109	84.7924
297.363	84.6462
307.617	84.7707
319.336	84.4529
329.59	84.2943
341.309	84.3987
353.027	83.7919
366.211	83.9198
379.395	84.1203
392.578	83.9754
405.762	83.3535
420.41	83.9214
435.059	84.166
451.172	83.7342
465.82	83.6162
483.398	83.5522
499.512	84.9029
517.09	85.13
536.133	84.5293
555.176	84.8887
574.219	84.8641
594.727	84.5627
615.234	84.5997
637.207	84.4865
659.18	84.0611
682.617	83.949
707.52	84.5964
732.422	84.6214
757.324	84.6193
785.156	84.5452
811.523	83.8104
840.82	83.5387
870.117	83.9505
900.879	86.0106
933.105	85.1037
965.332	85.2994
1,000.49	85.3559
1,035.64	84.9169
1,072.27	84.617
1,108.89	84.0879
1,148.44	83.3683
1,189.45	82.8932
1,230.47	82.6469
1,274.41	82.3046
1,319.82	82.0455
1,366.7	81.9053
1,413.57	81.1842
1,463.38	80.9752
1,516.11	80.7187
1,568.85	80.399
1,624.51	80.5075
1,681.64	80.7613
1,741.7	81.4102
1,803.22	81.4498
1,866.21	81.224
1,932.13	81.6671
1,999.51	82.0375
2,069.82	81.9512
2,143.07	81.9926
2,219.24	82.6785
2,296.88	82.9667
2,378.91	83.246
2,462.4	83.4734
2,548.83	82.7188
2,639.65	82.6585
2,731.93	82.4454
2,828.61	82.0919
2,928.22	82.7291
3,030.76	82.7598
3,137.7	82.9338
3,249.02	83.3032
3,363.28	83.3694
3,481.93	83.488
3,604.98	83.9468
3,732.42	83.8628
3,864.26	84.2795
4,000.49	84.0645
4,141.11	84.3678
4,287.6	84.2184
4,438.48	84.3209
4,595.21	84.0905
4,756.35	83.9653
4,924.8	83.6553
5,097.66	83.9421
5,277.83	84.0104
5,463.87	83.921
5,657.23	84.0648
5,856.45	84.2037
6,062.99	84.2378
6,276.86	84.1358
6,498.05	83.9667
6,726.56	83.7256
6,963.87	83.4701
7,209.96	83.2626
7,464.84	83.0593
7,727.05	82.8195
7,999.51	82.7715
8,282.23	82.7336
8,573.73	82.8264
8,876.95	82.8145
9,188.96	82.8366
9,514.16	82.8852
9,849.61	82.8645
10,196.8	82.8088
10,555.7	82.6789
10,927.7	82.7119
11,313	82.8146
11,712.9	82.8696
12,126	83.001
12,553.7	83.0666
12,996.1	82.8503
13,454.6	82.5065
13,929.2	82.0547
14,419.9	81.7924
14,928.2	81.6855
15,455.6	81.4749
16,000.5	81.1637
16,564.5	80.6101
17,148.9	79.9314
17,752.4	79.5003
18,379.4	79.1099
19,026.9	78.7567
19,697.8	78.2464
19,999.5	77.9573
