"Directivity Index"			
"Sound Power DI"		"Early Reflections DI"	
"Frequency [Hz]"	"[dB] Directivity Index "	"Frequency [Hz]"	"[dB] Directivity Index "
20.5078	-0.0605501	20.5078	0.00882218
21.9727	0.124095	21.9727	0.0695968
23.4375	0.099314	23.4375	0.0633812
24.9023	0.115292	24.9023	0.0720746
26.3672	0.0920407	26.3672	0.0617523
27.832	0.0818481	27.832	0.0548238
29.2969	0.123533	29.2969	0.0720418
30.7617	0.164576	30.7617	0.0830422
32.2266	0.169267	32.2266	0.0839089
33.6914	0.171952	33.6914	0.0825532
35.1563	0.149043	35.1563	0.0733688
36.6211	0.168161	36.6211	0.0793426
38.0859	0.160125	38.0859	0.0759103
39.5508	0.155125	39.5508	0.073632
41.0156	0.16198	41.0156	0.0774977
42.4805	0.183255	42.4805	0.0829172
43.9453	0.166542	43.9453	0.0767547
45.4102	0.198914	45.4102	0.0892361
46.875	0.204129	46.875	0.0910358
48.3398	0.243231	48.3398	0.104785
51.2695	0.215973	51.2695	0.0938026
52.7344	0.222048	52.7344	0.0964161
54.1992	0.24078	54.1992	0.102877
55.6641	0.208535	55.6641	0.0912069
58.5938	0.206364	58.5938	0.0920678
60.0586	0.227216	60.0586	0.100634
62.9883	0.262066	62.9883	0.113115
64.4531	0.241816	64.4531	0.106924
67.3828	0.273014	67.3828	0.119518
68.8477	0.271427	68.8477	0.119009
71.7773	0.299036	71.7773	0.129237
74.707	0.241273	74.707	0.109321
77.6367	0.240241	77.6367	0.113919
79.1016	0.288653	79.1016	0.132578
82.0313	0.397915	82.0313	0.173375
84.9609	0.456177	84.9609	0.188091
87.8906	0.346604	87.8906	0.142739
90.8203	-0.126997	90.8203	-0.0190553
95.2148	0.499331	95.2148	0.218381
98.1445	0.330305	98.1445	0.154504
101.074	0.35127	101.074	0.169217
105.469	0.334323	105.469	0.170693
108.398	0.382546	108.398	0.18827
112.793	0.423843	112.793	0.209018
117.188	0.425833	117.188	0.213472
120.117	0.42595	120.117	0.225343
124.512	0.396441	124.512	0.220545
128.906	0.516484	128.906	0.26186
133.301	0.586785	133.301	0.289145
139.16	0.151873	139.16	0.153197
143.555	0.263074	143.555	0.217665
147.949	0.348126	147.949	0.259067
153.809	0.423719	153.809	0.288796
159.668	0.554265	159.668	0.326864
165.527	0.424449	165.527	0.286747
171.387	0.372071	171.387	0.267901
177.246	0.3869	177.246	0.280856
183.105	0.435416	183.105	0.306166
188.965	0.562544	188.965	0.351127
196.289	0.612993	196.289	0.357253
203.613	0.692412	203.613	0.392511
210.938	0.797376	210.938	0.421779
218.262	0.880337	218.262	0.426276
225.586	0.921824	225.586	0.448299
232.91	1.09211	232.91	0.491226
241.699	1.22264	241.699	0.525531
250.488	1.41266	250.488	0.597111
259.277	1.434	259.277	0.595938
268.066	1.45845	268.066	0.628274
276.855	1.64119	276.855	0.691038
287.109	1.78503	287.109	0.749395
297.363	1.92351	297.363	0.815986
307.617	1.64469	307.617	0.66232
319.336	1.73551	319.336	0.72053
329.59	1.90686	329.59	0.770669
341.309	1.73843	341.309	0.761197
353.027	2.15969	353.027	0.921885
366.211	2.31848	366.211	0.900551
379.395	2.00892	379.395	0.74987
392.578	1.63983	392.578	0.6688
405.762	1.82579	405.762	0.865381
420.41	2.25376	420.41	0.872079
435.059	1.95697	435.059	0.791216
451.172	2.49475	451.172	0.940269
465.82	2.51996	465.82	0.892749
483.398	2.40522	483.398	0.831778
499.512	2.5102	499.512	0.87233
517.09	2.53064	517.09	0.862215
536.133	2.67872	536.133	1.11013
555.176	3.15888	555.176	1.05549
574.219	2.85034	574.219	0.918657
594.727	2.77175	594.727	0.942162
615.234	3.11168	615.234	1.13995
637.207	3.04832	637.207	0.996969
659.18	3.35233	659.18	1.21251
682.617	3.37258	682.617	1.27929
707.52	3.44166	707.52	1.32442
732.422	3.70279	732.422	1.52724
757.324	3.65732	757.324	1.5325
785.156	3.90964	785.156	1.56068
811.523	4.06414	811.523	1.70136
840.82	4.23253	840.82	1.77038
870.117	4.24602	870.117	1.75959
900.879	4.61155	900.879	1.99525
933.105	4.5506	933.105	1.92762
965.332	4.72266	965.332	2.02368
1,000.49	4.93456	1,000.49	2.14368
1,035.64	4.60649	1,035.64	1.93155
1,072.27	4.52208	1,072.27	1.9235
1,108.89	4.44728	1,108.89	1.81672
1,148.44	4.68718	1,148.44	1.87846
1,189.45	5.14397	1,189.45	2.11917
1,230.47	5.32373	1,230.47	2.19769
1,274.41	5.56573	1,274.41	2.36523
1,319.82	5.5744	1,319.82	2.4017
1,366.7	5.69955	1,366.7	2.54696
1,413.57	5.62321	1,413.57	2.47417
1,463.38	5.45398	1,463.38	2.41364
1,516.11	5.64191	1,516.11	2.49536
1,568.85	5.98684	1,568.85	2.58246
1,624.51	6.11309	1,624.51	2.73169
1,681.64	6.1398	1,681.64	2.77618
1,741.7	6.17233	1,741.7	2.83886
1,803.22	6.6498	1,803.22	3.1116
1,866.21	7.0721	1,866.21	3.40128
1,932.13	7.03915	1,932.13	3.49499
1,999.51	6.74162	1,999.51	3.38354
2,069.82	6.88772	2,069.82	3.32668
2,143.07	6.7444	2,143.07	3.35309
2,219.24	6.66295	2,219.24	3.54455
2,296.88	6.56432	2,296.88	3.18823
2,378.91	6.77095	2,378.91	3.18694
2,462.4	6.4308	2,462.4	3.01148
2,548.83	6.05684	2,548.83	2.91839
2,639.65	5.97232	2,639.65	2.7317
2,731.93	5.8069	2,731.93	2.54463
2,828.61	5.46235	2,828.61	2.23843
2,928.22	5.09002	2,928.22	1.99873
3,030.76	4.65361	3,030.76	1.64079
3,137.7	4.43751	3,137.7	1.44193
3,249.02	3.821	3,249.02	1.04863
3,363.28	3.57848	3,363.28	0.918682
3,481.93	3.26836	3,481.93	0.773886
3,604.98	3.03577	3,604.98	0.713536
3,732.42	2.87585	3,732.42	0.446703
3,864.26	3.00965	3,864.26	0.465116
4,000.49	3.40565	4,000.49	0.655405
4,141.11	3.65816	4,141.11	0.748154
4,287.6	3.43477	4,287.6	0.657733
4,438.48	3.75428	4,438.48	0.808915
4,595.21	3.76246	4,595.21	0.764616
4,756.35	3.76184	4,756.35	0.719201
4,924.8	3.94815	4,924.8	0.819502
5,097.66	4.17559	5,097.66	1.04558
5,277.83	4.33431	5,277.83	1.06747
5,463.87	4.53601	5,463.87	1.24139
5,657.23	4.96446	5,657.23	1.58927
5,856.45	5.46547	5,856.45	1.93496
6,062.99	5.69721	6,062.99	2.09535
6,276.86	5.94762	6,276.86	2.34575
6,498.05	6.49518	6,498.05	2.64853
6,726.56	6.8927	6,726.56	2.83816
6,963.87	6.94976	6,963.87	2.87328
7,209.96	7.03841	7,209.96	2.9024
7,464.84	7.05551	7,464.84	2.94277
7,727.05	7.19305	7,727.05	3.02029
