"Horizontal Reflections"							
"Front"		"Side"		"Rear"		"Total Horizontal Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	52.4856	20.5078	52.4608	20.5078	52.408	20.5078	52.4379
21.9727	55.1128	21.9727	55.0258	21.9727	54.7517	21.9727	54.9009
23.4375	56.6247	23.4375	56.5445	23.4375	56.32	23.4375	56.4436
24.9023	58.294	24.9023	58.2089	24.9023	57.9869	24.9023	58.1103
26.3672	58.9993	26.3672	58.9281	26.3672	58.7336	26.3672	58.8408
27.832	60.7533	27.832	60.6939	27.832	60.5275	27.832	60.6187
29.2969	61.6733	29.2969	61.5933	29.2969	61.3844	29.2969	61.5003
30.7617	63.1327	30.7617	63.0396	30.7617	62.7997	30.7617	62.9334
32.2266	64.0512	32.2266	63.959	32.2266	63.7118	32.2266	63.8489
33.6914	64.9442	33.6914	64.853	33.6914	64.6084	33.6914	64.744
35.1563	65.8891	35.1563	65.8097	35.1563	65.5972	35.1563	65.7148
36.6211	66.5963	36.6211	66.5089	36.6211	66.2764	36.6211	66.4053
38.0859	67.4023	38.0859	67.3196	38.0859	67.1008	38.0859	67.2221
39.5508	68.0981	39.5508	68.0174	39.5508	67.8116	39.5508	67.9262
41.0156	68.881	41.0156	68.795	41.0156	68.5873	41.0156	68.7039
42.4805	69.5628	42.4805	69.4727	42.4805	69.2378	42.4805	69.3685
43.9453	70.1998	43.9453	70.1152	43.9453	69.9099	43.9453	70.0251
45.4102	70.8391	45.4102	70.7384	45.4102	70.4959	45.4102	70.6325
46.875	71.4392	46.875	71.3369	46.875	71.0901	46.875	71.2291
48.3398	72.0757	48.3398	71.9562	48.3398	71.6605	48.3398	71.827
51.2695	73.2568	51.2695	73.1503	51.2695	72.8915	51.2695	73.0372
52.7344	73.8637	52.7344	73.7535	52.7344	73.4922	52.7344	73.6399
54.1992	74.448	54.1992	74.3301	54.1992	74.046	54.1992	74.2065
55.6641	74.9438	55.6641	74.8396	55.6641	74.5987	55.6641	74.7352
58.5938	76.025	58.5938	75.9176	58.5938	75.6909	58.5938	75.8211
60.0586	76.5389	60.0586	76.4209	60.0586	76.1727	60.0586	76.3156
62.9883	77.6116	62.9883	77.4786	62.9883	77.1851	62.9883	77.3533
64.4531	78.0882	64.4531	77.9615	64.4531	77.7006	64.4531	77.8515
67.3828	79.1205	67.3828	78.9791	67.3828	78.6815	67.3828	78.8535
68.8477	79.5808	68.8477	79.4404	68.8477	79.1478	68.8477	79.3171
71.7773	80.5091	71.7773	80.3566	71.7773	80.0337	71.7773	80.2204
74.707	81.3436	74.707	81.2134	74.707	80.964	74.707	81.11
77.6367	82.047	77.6367	81.9049	77.6367	81.6876	77.6367	81.8203
79.1016	82.4267	79.1016	82.2627	79.1016	81.9905	79.1016	82.1546
82.0313	83.184	82.0313	82.9714	82.0313	82.5565	82.0313	82.8016
84.9609	83.7436	84.9609	83.5173	84.9609	82.9889	84.9609	83.2943
87.8906	83.989	87.8906	83.8232	87.8906	83.4063	87.8906	83.6425
90.8203	83.5703	90.8203	83.5924	90.8203	83.8267	90.8203	83.7134
95.2148	84.4956	95.2148	84.2227	95.2148	83.711	95.2148	84.018
98.1445	84.1324	98.1445	83.9445	98.1445	83.6274	98.1445	83.8186
101.074	83.916	101.074	83.7071	101.074	83.3868	101.074	83.584
105.469	83.6437	105.469	83.4273	105.469	83.1468	105.469	83.3259
108.398	83.447	108.398	83.2142	108.398	82.8728	108.398	83.0855
112.793	83.136	112.793	82.8784	112.793	82.4886	112.793	82.7308
117.188	82.7132	117.188	82.4482	117.188	82.0645	117.188	82.3052
120.117	82.5282	120.117	82.2439	120.117	81.8686	120.117	82.1092
124.512	81.9251	124.512	81.6506	124.512	81.3318	124.512	81.5421
128.906	81.5122	128.906	81.1966	128.906	80.6937	128.906	81.0055
133.301	81.0856	133.301	80.7454	133.301	80.0666	133.301	80.4743
139.16	80.3655	139.16	80.1797	139.16	80.0758	139.16	80.1624
143.555	80.1841	143.555	79.9037	143.555	79.7393	143.555	79.8747
147.949	80.1158	147.949	79.7777	147.949	79.4959	147.949	79.7014
153.809	80.2415	153.809	79.8614	153.809	79.4611	153.809	79.735
159.668	80.6237	159.668	80.1883	159.668	79.5616	159.668	79.9637
165.527	80.7336	165.527	80.3306	165.527	79.8718	165.527	80.1804
171.387	80.746	171.387	80.3518	171.387	79.9681	171.387	80.2367
177.246	80.8585	177.246	80.4215	177.246	80.0644	177.246	80.329
183.105	80.7749	183.105	80.2838	183.105	79.9042	183.105	80.1921
188.965	80.7695	188.965	80.2026	188.965	79.6785	188.965	80.0574
196.289	80.8096	196.289	80.2182	196.289	79.6003	196.289	80.0335
203.613	80.496	203.613	79.8333	203.613	79.1608	203.613	79.6395
210.938	80.2311	210.938	79.5115	210.938	78.6981	210.938	79.2654
218.262	80.1263	218.262	79.3933	218.262	78.4214	218.262	79.0778
225.586	80.1485	225.586	79.3502	225.586	78.4502	225.586	79.0836
232.91	80.5467	232.91	79.6926	232.91	78.574	232.91	79.3419
241.699	81.2809	241.699	80.4131	241.699	79.1577	241.699	80.006
250.488	82.3155	250.488	81.3928	250.488	79.9842	250.488	80.9344
259.277	83.3143	259.277	82.4275	259.277	81.0208	259.277	81.9604
268.066	83.7314	268.066	82.8113	268.066	81.4531	268.066	82.3737
276.855	84.2361	276.855	83.2737	276.855	81.7282	276.855	82.7686
287.109	84.622	287.109	83.5605	287.109	81.8981	287.109	83.0347
297.363	84.634	297.363	83.4549	297.363	81.5151	297.363	82.8528
307.617	84.6026	307.617	83.7043	307.617	82.0476	307.617	83.1358
319.336	84.4601	319.336	83.4632	319.336	81.7538	319.336	82.9004
329.59	84.5778	329.59	83.5309	329.59	81.4856	329.59	82.8494
341.309	84.0993	341.309	83.0277	341.309	81.4494	341.309	82.5391
353.027	83.9529	353.027	82.6811	353.027	80.5006	353.027	82.0151
366.211	83.8924	366.211	82.7201	366.211	79.7312	366.211	81.7383
379.395	83.5243	379.395	82.6071	379.395	79.9588	379.395	81.6639
392.578	82.1481	392.578	81.2553	392.578	79.2169	392.578	80.5325
405.762	81.215	405.762	79.938	405.762	77.9744	405.762	79.3556
420.41	81.3532	420.41	80.1707	420.41	76.8252	420.41	79.0769
435.059	81.0653	435.059	79.9921	435.059	77.2982	435.059	79.08
451.172	81.6501	451.172	80.426	451.172	77.0664	451.172	79.3415
465.82	81.8935	465.82	80.7466	465.82	77.0901	465.82	79.5456
483.398	82.105	483.398	81.0922	483.398	77.7448	483.398	79.9428
499.512	82.6946	499.512	81.6809	499.512	78.2386	499.512	80.5019
517.09	83.2066	517.09	82.2082	517.09	78.6202	517.09	80.979
536.133	82.8748	536.133	81.4749	536.133	78.4642	536.133	80.56
555.176	83.1947	555.176	82.0992	555.176	77.211	555.176	80.5456
574.219	82.5363	574.219	81.6052	574.219	77.1233	574.219	80.0979
594.727	82.0612	594.727	81.036	594.727	76.8313	594.727	79.636
615.234	82.5581	615.234	81.2372	615.234	76.6343	615.234	79.8359
637.207	83.0372	637.207	82.0433	637.207	77.7418	637.207	80.606
659.18	83.282	659.18	81.8449	659.18	77.6552	659.18	80.5933
682.617	83.2954	682.617	81.7423	682.617	77.7779	682.617	80.594
707.52	83.1031	707.52	81.3315	707.52	77.3446	707.52	80.2575
732.422	82.9321	732.422	80.6281	732.422	76.2038	732.422	79.6527
757.324	82.6389	757.324	80.3709	757.324	75.8261	757.324	79.3522
785.156	83.1881	785.156	80.7952	785.156	76.0285	785.156	79.7783
811.523	83.2673	811.523	80.7607	811.523	76.0182	811.523	79.7979
840.82	83.3453	840.82	80.7487	840.82	75.9371	840.82	79.8101
870.117	83.127	870.117	80.5467	870.117	75.9538	870.117	79.6492
900.879	83.383	900.879	80.4821	900.879	75.37	900.879	79.6183
933.105	83.3638	933.105	80.6833	933.105	75.9502	933.105	79.7987
965.332	83.3653	965.332	80.5571	965.332	75.1126	965.332	79.5861
1,000.49	83.3705	1,000.49	80.3537	1,000.49	75.3982	1,000.49	79.5751
1,035.64	82.7346	1,035.64	79.8748	1,035.64	74.0355	1,035.64	78.8565
1,072.27	82.6254	1,072.27	79.8107	1,072.27	74.1056	1,072.27	78.7948
1,108.89	82.1839	1,108.89	79.6006	1,108.89	73.1095	1,108.89	78.3434
1,148.44	82.2856	1,148.44	79.785	1,148.44	73.3386	1,148.44	78.4962
1,189.45	82.4895	1,189.45	79.7126	1,189.45	73.1784	1,189.45	78.541
1,230.47	82.397	1,230.47	79.5866	1,230.47	73.217	1,230.47	78.4568
1,274.41	81.983	1,274.41	78.9405	1,274.41	72.3837	1,274.41	77.8957
1,319.82	81.1731	1,319.82	78.0412	1,319.82	71.9685	1,319.82	77.1158
1,366.7	80.5775	1,366.7	77.1086	1,366.7	71.4125	1,366.7	76.4138
1,413.57	79.9875	1,413.57	76.4879	1,413.57	69.9702	1,413.57	75.6824
1,463.38	79.9601	1,463.38	76.6561	1,463.38	70.3174	1,463.38	75.7757
1,516.11	80.6065	1,516.11	77.1739	1,516.11	70.4252	1,516.11	76.3012
1,568.85	80.9951	1,568.85	77.5357	1,568.85	71.0468	1,568.85	76.7133
1,624.51	80.4588	1,624.51	76.8829	1,624.51	70.4414	1,624.51	76.1283
1,681.64	79.9505	1,681.64	76.2381	1,681.64	69.7199	1,681.64	75.5454
