"Early Reflections"											
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce"		"Total Early Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	55.141	20.5078	51.5722	20.5078	53.771	20.5078	53.5674	20.5078	53.198	20.5078	53.6166
21.9727	57.1136	21.9727	54.1772	21.9727	55.9475	21.9727	55.7442	21.9727	55.3625	21.9727	55.7918
23.4375	59.5582	23.4375	56.8091	23.4375	58.5047	23.4375	58.3222	23.4375	57.9531	23.4375	58.349
24.9023	61.0388	24.9023	58.7693	24.9023	60.1281	24.9023	59.9573	24.9023	59.6475	24.9023	59.9913
26.3672	62.834	26.3672	60.7608	26.3672	62.0167	26.3672	61.8309	26.3672	61.4895	26.3672	61.8648
27.832	64.6439	27.832	62.8409	27.832	63.9341	27.832	63.7545	27.832	63.4309	27.832	63.7866
29.2969	66.2743	29.2969	64.6439	29.2969	65.6411	29.2969	65.4618	29.2969	65.1386	29.2969	65.4921
30.7617	67.9054	30.7617	66.509	30.7617	67.3676	30.7617	67.1921	30.7617	66.8854	30.7617	67.2225
32.2266	69.4258	32.2266	68.1744	32.2266	68.9552	32.2266	68.7644	32.2266	68.4273	32.2266	68.7981
33.6914	70.9311	33.6914	69.7934	33.6914	70.5119	33.6914	70.3192	33.6914	69.9743	33.6914	70.3526
35.1563	72.4556	35.1563	71.4275	35.1563	72.0834	35.1563	71.8963	35.1563	71.5698	35.1563	71.929
36.6211	73.841	36.6211	72.9025	36.6211	73.5076	36.6211	73.3239	36.6211	72.9994	36.6211	73.3552
38.0859	75.1569	38.0859	74.3096	38.0859	74.8651	38.0859	74.6796	38.0859	74.3531	38.0859	74.7115
39.5508	76.2049	39.5508	75.419	39.5508	75.9414	39.5508	75.756	39.5508	75.4352	39.5508	75.7883
41.0156	77.1369	41.0156	76.3683	41.0156	76.8846	41.0156	76.6975	41.0156	76.3856	41.0156	76.7309
42.4805	78.1612	42.4805	77.4432	42.4805	77.9415	42.4805	77.7322	42.4805	77.3679	42.4805	77.7692
43.9453	79.0933	43.9453	78.4634	43.9453	78.9076	43.9453	78.7073	43.9453	78.3542	43.9453	78.7424
45.4102	79.7553	45.4102	79.1683	45.4102	79.5892	45.4102	79.3875	45.4102	79.0479	45.4102	79.4248
46.875	80.4165	46.875	79.8657	46.875	80.2687	46.875	80.0636	46.875	79.7204	46.875	80.102
48.3398	80.9207	48.3398	80.4053	48.3398	80.7949	48.3398	80.5724	48.3398	80.1893	48.3398	80.6143
51.2695	81.7809	51.2695	81.3139	51.2695	81.6766	51.2695	81.4576	51.2695	81.0852	51.2695	81.4991
52.7344	82.1219	52.7344	81.6817	52.7344	82.0304	52.7344	81.8122	52.7344	81.448	52.7344	81.8541
54.1992	82.4256	54.1992	82.0247	54.1992	82.352	54.1992	82.1294	54.1992	81.7616	54.1992	82.1734
55.6641	82.6434	55.6641	82.2732	55.6641	82.5789	55.6641	82.3658	55.6641	82.0256	55.6641	82.4091
58.5938	83.1132	58.5938	82.7505	58.5938	83.0601	58.5938	82.8281	58.5938	82.4636	58.5938	82.8768
60.0586	83.3148	60.0586	82.9661	60.0586	83.272	60.0586	83.0314	60.0586	82.651	60.0586	83.082
62.9883	83.6583	62.9883	83.3549	62.9883	83.6362	62.9883	83.3953	62.9883	83.0148	62.9883	83.4463
64.4531	83.7848	64.4531	83.4883	64.4531	83.7646	64.4531	83.5272	64.4531	83.163	64.4531	83.5784
67.3828	84.0299	67.3828	83.749	67.3828	84.0208	67.3828	83.7764	67.3828	83.4169	67.3828	83.8309
68.8477	84.1293	68.8477	83.8606	68.8477	84.1311	68.8477	83.8741	68.8477	83.4996	68.8477	83.9324
71.7773	84.3757	71.7773	84.1417	71.7773	84.3979	71.7773	84.1244	71.7773	83.7167	71.7773	84.1869
74.707	84.6086	74.707	84.4237	74.707	84.6486	74.707	84.3757	74.707	83.976	74.707	84.4402
77.6367	84.729	77.6367	84.5949	77.6367	84.7898	77.6367	84.5081	77.6367	84.1231	77.6367	84.5796
79.1016	84.8031	79.1016	84.6552	79.1016	84.8639	79.1016	84.576	79.1016	84.1858	79.1016	84.6486
82.0313	85.0454	82.0313	84.9034	82.0313	85.126	82.0313	84.7978	82.0313	84.3335	82.0313	84.8798
84.9609	85.2628	84.9609	85.1425	84.9609	85.3498	84.9609	85.0162	84.9609	84.4769	84.9609	85.0944
87.8906	85.1822	87.8906	85.0719	87.8906	85.2391	87.8906	84.9881	87.8906	84.6063	87.8906	85.0477
90.8203	84.8208	90.8203	84.6646	90.8203	84.8323	90.8203	84.693	90.8203	84.6526	90.8203	84.7379
95.2148	85.76	95.2148	85.7605	95.2148	85.9495	95.2148	85.4791	95.2148	84.7966	95.2148	85.6052
98.1445	85.4261	98.1445	85.3375	98.1445	85.5332	98.1445	85.2054	98.1445	84.7579	98.1445	85.2888
101.074	85.402	101.074	85.3418	101.074	85.5355	101.074	85.1574	101.074	84.6826	101.074	85.2614
105.469	85.6087	105.469	85.574	105.469	85.7498	105.469	85.3735	105.469	84.9307	105.469	85.481
108.398	85.6421	108.398	85.5898	108.398	85.7814	108.398	85.4057	108.398	84.989	108.398	85.5139
112.793	85.9216	112.793	85.8126	112.793	86.0566	112.793	85.6141	112.793	85.0987	112.793	85.7418
117.188	85.9937	117.188	85.9107	117.188	86.1507	117.188	85.6674	117.188	85.1354	117.188	85.8128
120.117	86.2513	120.117	86.2546	120.117	86.4434	120.117	85.9521	120.117	85.4012	120.117	86.1017
124.512	86.1069	124.512	86.0784	124.512	86.2945	124.512	85.844	124.512	85.3124	124.512	85.9713
128.906	85.9034	128.906	85.8568	128.906	86.0926	128.906	85.5896	128.906	84.9188	128.906	85.7285
133.301	85.922	133.301	85.8636	133.301	86.0778	133.301	85.5976	133.301	84.9875	133.301	85.7369
139.16	85.82	139.16	85.7639	139.16	85.9793	139.16	85.5215	139.16	85.1306	139.16	85.6702
143.555	85.9016	143.555	85.754	143.555	86.0699	143.555	85.5173	143.555	85.0323	143.555	85.6938
147.949	85.9225	147.949	85.7529	147.949	86.0939	147.949	85.5024	147.949	84.937	147.949	85.6884
153.809	86.0559	153.809	85.8503	153.809	86.2302	153.809	85.5719	153.809	84.9467	153.809	85.7831
159.668	86.2347	159.668	86.0164	159.668	86.41	159.668	85.7422	159.668	84.8976	159.668	85.9364
165.527	85.975	165.527	85.8454	165.527	86.1725	165.527	85.6301	165.527	84.931	165.527	85.7756
