"CEA2034"													
"On Axis"		"Listening Window"		"Early Reflections"		"Sound Power"		"Sound Power DI"		"Early Reflections DI"		"DI offset"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
105.469	86.4353	105.469	86.4576	105.469	86.516	105.469	86.545	105.469	39.8919	105.469	39.921	105.469	39.9794
108.398	86.5495	108.398	86.5693	108.398	86.611	108.398	86.617	108.398	39.9317	108.398	39.9377	108.398	39.9794
112.793	86.6055	112.793	86.6264	112.793	86.6711	112.793	86.672	112.793	39.9337	112.793	39.9347	112.793	39.9794
117.188	86.5914	117.188	86.6036	117.188	86.5997	117.188	86.5433	117.188	40.0397	117.188	39.9833	117.188	39.9794
120.117	86.5668	120.117	86.5777	120.117	86.5682	120.117	86.51	120.117	40.0471	120.117	39.9888	120.117	39.9794
124.512	86.5889	124.512	86.5991	124.512	86.5933	124.512	86.5501	124.512	40.0284	124.512	39.9852	124.512	39.9794
128.906	86.4617	128.906	86.4688	128.906	86.4449	128.906	86.3787	128.906	40.0695	128.906	40.0033	128.906	39.9794
133.301	86.34	133.301	86.3446	133.301	86.3092	133.301	86.2353	133.301	40.0887	133.301	40.0147	133.301	39.9794
139.16	86.1942	139.16	86.193	139.16	86.1255	139.16	86.0186	139.16	40.1538	139.16	40.0469	139.16	39.9794
143.555	86.1391	143.555	86.1311	143.555	86.0245	143.555	85.872	143.555	40.2385	143.555	40.086	143.555	39.9794
147.949	86.0619	147.949	86.0484	147.949	85.9039	147.949	85.7022	147.949	40.3256	147.949	40.1239	147.949	39.9794
153.809	86.0133	153.809	85.9939	153.809	85.8008	153.809	85.5202	153.809	40.4532	153.809	40.1725	153.809	39.9794
159.668	86.0064	159.668	85.9861	159.668	85.7824	159.668	85.4818	159.668	40.4837	159.668	40.1831	159.668	39.9794
165.527	85.9794	165.527	85.9594	165.527	85.7673	165.527	85.4929	165.527	40.4459	165.527	40.1716	165.527	39.9794
171.387	85.929	171.387	85.9019	171.387	85.683	171.387	85.3751	171.387	40.5062	171.387	40.1983	171.387	39.9794
177.246	85.7398	177.246	85.712	177.246	85.4897	177.246	85.1713	177.246	40.5201	177.246	40.2017	177.246	39.9794
183.105	85.4549	183.105	85.4122	183.105	85.1201	183.105	84.7686	183.105	40.623	183.105	40.2715	183.105	39.9794
188.965	85.5003	188.965	85.4496	188.965	85.0737	188.965	84.563	188.965	40.866	188.965	40.3553	188.965	39.9794
196.289	85.4424	196.289	85.3928	196.289	85.0344	196.289	84.5276	196.289	40.8446	196.289	40.3378	196.289	39.9794
203.613	85.3012	203.613	85.242	203.613	84.836	203.613	84.2845	203.613	40.9369	203.613	40.3854	203.613	39.9794
210.938	85.2662	210.938	85.1994	210.938	84.7369	210.938	84.0826	210.938	41.0962	210.938	40.4418	210.938	39.9794
218.262	85.1863	218.262	85.1206	218.262	84.6524	218.262	83.9618	218.262	41.1382	218.262	40.4476	218.262	39.9794
225.586	85.0688	225.586	84.996	225.586	84.5131	225.586	83.85	225.586	41.1254	225.586	40.4623	225.586	39.9794
232.91	85.158	232.91	85.0786	232.91	84.5247	232.91	83.7076	232.91	41.3504	232.91	40.5333	232.91	39.9794
241.699	85.0446	241.699	84.9704	241.699	84.4591	241.699	83.6656	241.699	41.2842	241.699	40.4907	241.699	39.9794
250.488	84.9337	250.488	84.8376	250.488	84.1894	250.488	83.2343	250.488	41.5827	250.488	40.6276	250.488	39.9794
259.277	85.3258	259.277	85.2519	259.277	84.672	259.277	83.6465	259.277	41.5847	259.277	40.5593	259.277	39.9794
268.066	84.476	268.066	84.3904	268.066	83.8887	268.066	83.1585	268.066	41.2112	268.066	40.4811	268.066	39.9794
276.855	84.6864	276.855	84.5933	276.855	83.9288	276.855	82.8717	276.855	41.7009	276.855	40.6439	276.855	39.9794
287.109	84.5683	287.109	84.471	287.109	83.8877	287.109	82.8424	287.109	41.6081	287.109	40.5628	287.109	39.9794
297.363	84.2877	297.363	84.1595	297.363	83.4919	297.363	82.5282	297.363	41.6106	297.363	40.647	297.363	39.9794
307.617	84.7264	307.617	84.6161	307.617	83.9532	307.617	82.7649	307.617	41.8307	307.617	40.6424	307.617	39.9794
319.336	84.144	319.336	84.0091	319.336	83.3905	319.336	82.4296	319.336	41.5589	319.336	40.598	319.336	39.9794
329.59	84.3839	329.59	84.2312	329.59	83.4965	329.59	82.426	329.59	41.7846	329.59	40.7141	329.59	39.9794
341.309	84.3717	341.309	84.1821	341.309	83.4691	341.309	82.6465	341.309	41.5149	341.309	40.6924	341.309	39.9794
353.027	84.9976	353.027	84.7397	353.027	83.4927	353.027	82.3209	353.027	42.3982	353.027	41.2264	353.027	39.9794
366.211	85.6843	366.211	85.4493	366.211	84.126	366.211	82.6576	366.211	42.7711	366.211	41.3027	366.211	39.9794
379.395	86.3215	379.395	86.1346	379.395	84.8238	379.395	83.136	379.395	42.978	379.395	41.2902	379.395	39.9794
392.578	85.65	392.578	85.4824	392.578	84.3902	392.578	82.8918	392.578	42.5699	392.578	41.0715	392.578	39.9794
405.762	85.2206	405.762	84.9812	405.762	83.6623	405.762	82.2582	405.762	42.7024	405.762	41.2983	405.762	39.9794
420.41	85.7262	420.41	85.4905	420.41	83.9915	420.41	82.0726	420.41	43.3974	420.41	41.4785	420.41	39.9794
435.059	85.5956	435.059	85.3461	435.059	83.803	435.059	81.9476	435.059	43.3779	435.059	41.5225	435.059	39.9794
451.172	86.3004	451.172	86.1105	451.172	84.4385	451.172	82.1207	451.172	43.9692	451.172	41.6514	451.172	39.9794
465.82	85.3303	465.82	85.2708	465.82	84.2092	465.82	82.1376	465.82	43.1126	465.82	41.041	465.82	39.9794
483.398	84.6791	483.398	84.5527	483.398	83.7932	483.398	82.0598	483.398	42.4723	483.398	40.7389	483.398	39.9794
499.512	85.7456	499.512	85.518	499.512	84.1696	499.512	82.1205	499.512	43.3769	499.512	41.3278	499.512	39.9794
517.09	85.6486	517.09	85.4789	517.09	84.3458	517.09	82.2034	517.09	43.2549	517.09	41.1126	517.09	39.9794
536.133	86.4699	536.133	86.2233	536.133	84.7249	536.133	82.4711	536.133	43.7316	536.133	41.4778	536.133	39.9794
555.176	87.1206	555.176	86.9726	555.176	85.762	555.176	83.2304	555.176	43.7216	555.176	41.19	555.176	39.9794
574.219	86.9779	574.219	86.7519	574.219	85.8712	574.219	83.7226	574.219	43.0087	574.219	40.8601	574.219	39.9794
594.727	87.6386	594.727	87.2794	594.727	85.7855	594.727	83.5385	594.727	43.7203	594.727	41.4733	594.727	39.9794
615.234	88.1018	615.234	87.7696	615.234	85.9687	615.234	83.4061	615.234	44.3429	615.234	41.7803	615.234	39.9794
637.207	87.5635	637.207	87.2304	637.207	85.5135	637.207	83.1893	637.207	44.0205	637.207	41.6963	637.207	39.9794
659.18	87.8187	659.18	87.5263	659.18	85.472	659.18	82.8481	659.18	44.6576	659.18	42.0337	659.18	39.9794
682.617	87.7018	682.617	87.437	682.617	85.5199	682.617	82.9259	682.617	44.4905	682.617	41.8965	682.617	39.9794
707.52	87.4768	707.52	87.2322	707.52	85.5342	707.52	82.9838	707.52	44.2278	707.52	41.6774	707.52	39.9794
732.422	87.3521	732.422	87.1281	732.422	85.3819	732.422	82.7564	732.422	44.3512	732.422	41.7257	732.422	39.9794
757.324	87.5469	757.324	87.1811	757.324	85.3728	757.324	82.6922	757.324	44.4683	757.324	41.7877	757.324	39.9794
785.156	87.8666	785.156	87.5699	785.156	85.5963	785.156	82.6391	785.156	44.9103	785.156	41.953	785.156	39.9794
811.523	87.6526	811.523	87.2998	811.523	85.2818	811.523	82.3046	811.523	44.9745	811.523	41.9974	811.523	39.9794
840.82	88.0872	840.82	87.6927	840.82	85.4586	840.82	82.3677	840.82	45.3044	840.82	42.2135	840.82	39.9794
870.117	87.9796	870.117	87.5672	870.117	85.2945	870.117	82.1021	870.117	45.4445	870.117	42.2521	870.117	39.9794
900.879	88.2462	900.879	87.8177	900.879	85.393	900.879	82.0238	900.879	45.7733	900.879	42.4041	900.879	39.9794
933.105	88.2402	933.105	87.7327	933.105	85.2278	933.105	81.7184	933.105	45.9936	933.105	42.4843	933.105	39.9794
965.332	88.3219	965.332	87.8027	965.332	85.1791	965.332	81.6001	965.332	46.182	965.332	42.603	965.332	39.9794
1,000.49	88.3847	1,000.49	87.8388	1,000.49	85.1214	1,000.49	81.4345	1,000.49	46.3837	1,000.49	42.6968	1,000.49	39.9794
1,035.64	88.2828	1,035.64	87.7214	1,035.64	84.7824	1,035.64	81.1404	1,035.64	46.5604	1,035.64	42.9184	1,035.64	39.9794
1,072.27	87.9482	1,072.27	87.482	1,072.27	84.5277	1,072.27	80.9208	1,072.27	46.5406	1,072.27	42.9337	1,072.27	39.9794
1,108.89	87.2904	1,108.89	86.9806	1,108.89	84.1776	1,108.89	80.6371	1,108.89	46.3229	1,108.89	42.7825	1,108.89	39.9794
1,148.44	86.6398	1,148.44	86.2035	1,148.44	83.4157	1,148.44	80.1232	1,148.44	46.0597	1,148.44	42.7673	1,148.44	39.9794
1,189.45	86.0051	1,189.45	85.5769	1,189.45	82.7675	1,189.45	79.7451	1,189.45	45.8112	1,189.45	42.7888	1,189.45	39.9794
1,230.47	86.1995	1,230.47	85.6672	1,230.47	82.9115	1,230.47	79.8952	1,230.47	45.7513	1,230.47	42.7351	1,230.47	39.9794
1,274.41	86.3885	1,274.41	85.8767	1,274.41	82.9805	1,274.41	79.9141	1,274.41	45.9421	1,274.41	42.8756	1,274.41	39.9794
1,319.82	86.3643	1,319.82	85.785	1,319.82	82.7498	1,319.82	79.8022	1,319.82	45.9622	1,319.82	43.0146	1,319.82	39.9794
1,366.7	85.6845	1,366.7	85.3386	1,366.7	82.384	1,366.7	79.6201	1,366.7	45.6979	1,366.7	42.934	1,366.7	39.9794
1,413.57	85.4836	1,413.57	85.0164	1,413.57	82.2416	1,413.57	79.7486	1,413.57	45.2473	1,413.57	42.7543	1,413.57	39.9794
1,463.38	86.6439	1,463.38	85.9764	1,463.38	82.7694	1,463.38	80.0684	1,463.38	45.8874	1,463.38	43.1863	1,463.38	39.9794
1,516.11	87.2848	1,516.11	86.7468	1,516.11	83.5643	1,516.11	80.4546	1,516.11	46.2716	1,516.11	43.1619	1,516.11	39.9794
1,568.85	86.9347	1,568.85	86.3634	1,568.85	83.3816	1,568.85	80.5043	1,568.85	45.8386	1,568.85	42.9613	1,568.85	39.9794
1,624.51	86.1448	1,624.51	85.7521	1,624.51	82.7194	1,624.51	80.4474	1,624.51	45.284	1,624.51	43.0121	1,624.51	39.9794
1,681.64	86.2036	1,681.64	86.0178	1,681.64	83.0519	1,681.64	80.3724	1,681.64	45.6248	1,681.64	42.9453	1,681.64	39.9794
1,741.7	87.0938	1,741.7	86.7344	1,741.7	84.1349	1,741.7	81.1888	1,741.7	45.525	1,741.7	42.5789	1,741.7	39.9794
1,803.22	86.8378	1,803.22	86.5508	1,803.22	84.0612	1,803.22	81.5885	1,803.22	44.9417	1,803.22	42.469	1,803.22	39.9794
1,866.21	86.5805	1,866.21	86.1516	1,866.21	84.0684	1,866.21	81.5998	1,866.21	44.5313	1,866.21	42.0626	1,866.21	39.9794
1,932.13	86.2469	1,932.13	85.9965	1,932.13	84.2136	1,932.13	81.5414	1,932.13	44.4345	1,932.13	41.7623	1,932.13	39.9794
1,999.51	86.0137	1,999.51	85.7817	1,999.51	84.0266	1,999.51	81.3286	1,999.51	44.4325	1,999.51	41.7344	1,999.51	39.9794
