"Early Reflections"
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce"		"Total Early Reflection"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	51.4599	20.5078	46.1613	20.5078	50.4251	20.5078	46.9716	20.5078	59.1273	20.5078	52.1521
21.9727	56.1262	21.9727	54.0635	21.9727	55.6708	21.9727	54.2763	21.9727	61.0044	21.9727	56.278
23.4375	55.1914	23.4375	53.7586	23.4375	54.6128	23.4375	53.8588	23.4375	62.4842	23.4375	56.4482
24.9023	59.1075	24.9023	57.9462	24.9023	58.7115	24.9023	58.0969	24.9023	64.0076	24.9023	59.5639
26.3672	61.0885	26.3672	60.5482	26.3672	60.8719	26.3672	60.6147	26.3672	65.6624	26.3672	61.6918
27.832	63.5347	27.832	62.7995	27.832	63.3021	27.832	62.9522	27.832	67.0833	27.832	63.8105
29.2969	64.8622	29.2969	64.2573	29.2969	64.6458	29.2969	64.4353	29.2969	68.4045	29.2969	65.2019
30.7617	66.9039	30.7617	66.2745	30.7617	66.6925	30.7617	66.4927	30.7617	69.75	30.7617	67.0898
32.2266	68.1312	32.2266	67.6966	32.2266	67.9626	32.2266	67.8838	32.2266	70.9634	32.2266	68.3989
33.6914	69.6223	33.6914	69.2523	33.6914	69.459	33.6914	69.4433	33.6914	72.2257	33.6914	69.8748
35.1562	70.8925	35.1562	70.5537	35.1562	70.7406	35.1562	70.7541	35.1562	73.2847	35.1562	71.1242
36.6211	72.0536	36.6211	71.7747	36.6211	71.9066	36.6211	71.9776	36.6211	74.3116	36.6211	72.2897
38.0859	73.071	38.0859	72.9118	38.0859	72.9464	38.0859	73.0859	38.0859	75.2877	38.0859	73.3502
39.5508	74.2487	39.5508	74.1069	39.5508	74.1365	39.5508	74.2861	39.5508	76.2132	39.5508	74.4966
41.0156	75.1644	41.0156	75.0036	41.0156	75.047	41.0156	75.2092	41.0156	76.9594	41.0156	75.3832
42.4805	75.7942	42.4805	75.5037	42.4805	75.6494	42.4805	75.728	42.4805	77.2746	42.4805	75.9004
43.9453	76.4675	43.9453	76.252	43.9453	76.3308	43.9453	76.4762	43.9453	77.9726	43.9453	76.6154
45.4102	77.1331	45.4102	76.9648	45.4102	77.0055	45.4102	77.1803	45.4102	78.5945	45.4102	77.2958
46.875	77.7953	46.875	77.6433	46.875	77.6785	46.875	77.85	46.875	79.1276	46.875	77.9455
48.3398	78.2359	48.3398	78.1152	48.3398	78.1176	48.3398	78.3288	48.3398	79.5711	48.3398	78.404
51.2695	79.2991	51.2695	79.1894	51.2695	79.1825	51.2695	79.4101	51.2695	80.4598	51.2695	79.4498
52.7344	79.7634	52.7344	79.66	52.7344	79.651	52.7344	79.8811	52.7344	80.8451	52.7344	79.907
54.1992	80.2049	54.1992	80.1056	54.1992	80.0949	54.1992	80.3276	54.1992	81.2254	54.1992	80.3427
55.6641	80.5724	55.6641	80.4887	55.6641	80.4648	55.6641	80.7077	55.6641	81.5629	55.6641	80.7132
58.5938	81.3702	58.5938	81.2764	58.5938	81.2595	58.5938	81.5106	58.5938	82.2292	58.5938	81.4928
60.0586	81.7064	60.0586	81.6209	60.0586	81.6002	60.0586	81.8504	60.0586	82.4851	60.0586	81.8216
62.9883	82.4535	62.9883	82.3365	62.9883	82.3428	62.9883	82.5798	62.9883	83.0923	62.9883	82.5386
64.4531	82.7351	64.4531	82.6121	64.4531	82.6219	64.4531	82.8628	64.4531	83.3456	64.4531	82.8158
67.3828	83.277	67.3828	83.1565	67.3828	83.1594	67.3828	83.4206	67.3828	83.8629	67.3828	83.3598
68.8477	83.5434	68.8477	83.4215	68.8477	83.4255	68.8477	83.6929	68.8477	84.1068	68.8477	83.6254
71.7773	84.1455	71.7773	84.0451	71.7773	84.0421	71.7773	84.2954	71.7773	84.6167	71.7773	84.222
74.707	84.7439	74.707	84.635	74.707	84.6466	74.707	84.8837	74.707	85.1147	74.707	84.8045
77.6367	85.2656	77.6367	85.1318	77.6367	85.1689	77.6367	85.3919	77.6367	85.5413	77.6367	85.3066
79.1016	85.4863	79.1016	85.339	79.1016	85.3884	79.1016	85.6066	79.1016	85.7268	79.1016	85.5189
82.0312	85.9401	82.0312	85.7605	82.0312	85.8295	82.0312	86.052	82.0312	86.1392	82.0312	85.9575
84.9609	86.2889	84.9609	86.1474	84.9609	86.1963	84.9609	86.4282	84.9609	86.5048	84.9609	86.328
87.8906	86.632	87.8906	86.4797	87.8906	86.5397	87.8906	86.7713	87.8906	86.8406	87.8906	86.6691
90.8203	87.1131	90.8203	86.9202	90.8203	87.0296	90.8203	87.1884	90.8203	87.0947	90.8203	87.0961
95.2148	87.5417	95.2148	87.3301	95.2148	87.4601	95.2148	87.619	95.2148	87.4962	95.2148	87.5208
98.1445	87.7552	98.1445	87.5441	98.1445	87.6742	98.1445	87.8371	98.1445	87.7158	98.1445	87.737
101.074	87.8275	101.074	87.6266	101.074	87.7467	101.074	87.9506	101.074	87.8727	101.074	87.8365
105.469	88.2355	105.469	88.013	105.469	88.1915	105.469	88.3151	105.469	88.051	105.469	88.2087
108.398	88.6147	108.398	88.3515	108.398	88.5675	108.398	88.649	108.398	88.326	108.398	88.5532
112.793	89.0286	112.793	88.7599	112.793	88.9887	112.793	89.0157	112.793	88.593	112.793	88.934
117.188	89.0331	117.188	88.6827	117.188	88.9925	117.188	89.0084	117.188	88.6037	117.188	88.9254
120.117	89.1996	120.117	88.8101	120.117	89.1312	120.117	89.137	120.117	88.6815	120.117	89.0557
124.512	89.4442	124.512	89.0864	124.512	89.3934	124.512	89.4127	124.512	88.9219	124.512	89.3204
128.906	89.2777	128.906	88.8891	128.906	89.2121	128.906	89.3089	128.906	88.9792	128.906	89.1953
133.301	89.3204	133.301	88.8615	133.301	89.2405	133.301	89.2886	133.301	88.9255	133.301	89.1912
139.16	89.381	139.16	88.914	139.16	89.3263	139.16	89.3132	139.16	88.8454	139.16	89.2286
143.555	89.3354	143.555	88.8686	143.555	89.3017	143.555	89.2464	143.555	88.7819	143.555	89.1786
147.949	89.3647	147.949	88.8274	147.949	89.3347	147.949	89.2382	147.949	88.7848	147.949	89.184
153.809	89.3418	153.809	88.7466	153.809	89.323	153.809	89.1676	153.809	88.586	153.809	89.1214
159.668	89.3637	159.668	88.8014	159.668	89.365	159.668	89.1854	159.668	88.5934	159.668	89.1494
165.527	89.2289	165.527	88.7446	165.527	89.2668	165.527	89.1534	165.527	88.6194	165.527	89.0897
171.387	89.0843	171.387	88.4889	171.387	89.1095	171.387	88.9195	171.387	88.4013	171.387	88.8874
177.246	89.0919	177.246	88.3907	177.246	89.1174	177.246	88.8296	177.246	88.137	177.246	88.8188
183.105	88.7235	183.105	88.0512	183.105	88.7899	183.105	88.5215	183.105	87.8244	183.105	88.4941
188.965	88.3646	188.965	87.8159	188.965	88.5101	188.965	88.2544	188.965	87.6051	188.965	88.2203
196.289	88.6024	196.289	87.7257	196.289	88.6448	196.289	88.2659	196.289	87.441	196.289	88.2676
203.613	88.3083	203.613	87.363	203.613	88.3843	203.613	87.9719	203.613	87.0761	203.613	87.9698
210.938	88.2117	210.938	87.2142	210.938	88.32	210.938	87.873	210.938	86.8952	210.938	87.8688
218.262	87.9371	218.262	86.8184	218.262	88.0039	218.262	87.6032	218.262	86.7272	218.262	87.5818
225.586	87.7068	225.586	86.5078	225.586	87.7569	225.586	87.2272	225.586	86.4367	225.586	87.2772
232.91	87.6623	232.91	86.3778	232.91	87.8105	232.91	87.0377	232.91	85.7332	232.91	87.141
241.699	87.7166	241.699	86.1781	241.699	87.9088	241.699	86.628	241.699	85.0448	241.699	86.9567
250.488	89.8362	250.488	88.3154	250.488	89.9403	250.488	88.3697	250.488	86.709	250.488	88.8833
259.277	89.4968	259.277	88.0909	259.277	89.6146	259.277	88.497	259.277	86.8238	259.277	88.757
268.066	88.7693	268.066	87.243	268.066	88.8748	268.066	87.8493	268.066	86.4134	268.066	88.067
276.855	88.3347	276.855	86.8403	276.855	88.5484	276.855	87.6194	276.855	86.0654	276.855	87.7529
287.109	87.9971	287.109	86.487	287.109	88.2366	287.109	87.3062	287.109	85.9567	287.109	87.4496
297.363	87.8472	297.363	86.3622	297.363	88.2316	297.363	87.2311	297.363	85.6697	297.363	87.3661
