"Estimated In-Room Response"	
"Estimated In-Room Response"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	61.5479
23.4375	59.8393
26.3672	66.6824
29.2969	71.7433
32.2266	74.0156
35.1563	76.1156
38.0859	78.6159
41.0156	79.9578
43.9453	81.0446
46.875	82.0041
49.8047	82.9252
55.6641	84.3745
58.5938	85.3399
61.5234	85.7721
67.3828	86.2739
73.2422	86.8038
76.1719	87.0358
82.0313	87.3029
87.8906	87.738
93.75	87.6906
102.539	87.3902
108.398	87.4192
117.188	87.3633
125.977	87.2293
134.766	87.0495
143.555	86.7154
155.273	86.2477
164.063	86.5845
175.781	86.538
190.43	86.1119
202.148	86.3215
216.797	85.2724
234.375	85.7295
249.023	85.6405
266.602	86.5226
287.109	86.4498
307.617	86.5511
331.055	86.2597
354.492	86.4268
377.93	86.5179
407.227	85.7278
436.523	85.4348
465.82	86.1284
500.977	85.4676
536.133	85.8836
574.219	85.6798
615.234	85.6932
659.18	85.9929
706.055	85.4947
758.789	85.2079
811.523	85.422
870.117	85.9401
931.641	86.1252
999.023	85.9293
1,072.27	85.0887
1,148.44	84.9785
1,230.47	85.4869
1,318.36	85.3787
1,415.04	84.6979
1,514.65	85.0557
1,623.05	84.9914
1,740.23	84.1876
1,866.21	83.957
2,000.98	83.4751
2,144.53	84.0673
2,296.88	84.1253
2,460.94	85.018
2,639.65	85.1312
2,827.15	85.2961
3,032.23	84.8707
3,249.02	84.2067
3,483.4	83.8189
3,732.42	83.5119
3,999.02	83.4563
4,286.13	83.6423
4,593.75	83.6379
4,924.8	83.3514
5,279.3	82.8845
5,657.23	82.9238
6,061.52	83.2772
6,498.05	83.3518
6,963.87	82.8491
7,464.84	82.166
8,000.98	82.1372
8,575.2	82.4717
9,190.43	82.3824
9,849.61	82.3036
10,555.7	82.5582
11,314.5	82.4175
12,126	82.0496
12,996.1	81.9271
13,927.7	81.6125
14,929.7	81.4617
15,999	81.3395
17,147.5	81.1026
18,377.9	80.5636
19,699.2	79.357
19,998	79.0388
