"Early Reflections"
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce"		"Total Early Reflection"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	46.6038	20.5078	47.6965	20.5078	43.3244	20.5078	44.2644	20.5078	47.784	20.5078	45.447
21.9727	54.0109	21.9727	49.95	21.9727	51.0642	21.9727	52.1263	21.9727	53.9949	21.9727	52.2159
23.4375	54.776	23.4375	54.5965	23.4375	53.6031	23.4375	53.7773	23.4375	54.603	23.4375	54.0604
24.9023	55.7145	24.9023	55.0599	24.9023	54.2396	24.9023	54.4932	24.9023	55.5523	24.9023	54.7876
26.3672	57.266	26.3672	55.0292	26.3672	55.133	26.3672	55.6935	26.3672	57.1556	26.3672	55.8953
27.832	59.9635	27.832	58.2399	27.832	58.4484	27.832	58.8329	27.832	59.8375	27.832	58.9478
29.2969	62.0217	29.2969	60.4897	29.2969	60.7815	29.2969	61.0369	29.2969	61.7362	29.2969	61.125
30.7617	63.3581	30.7617	62.0969	30.7617	62.3023	30.7617	62.5053	30.7617	63.0957	30.7617	62.5878
32.2266	64.9932	32.2266	63.6526	32.2266	63.9863	32.2266	64.1667	32.2266	64.677	32.2266	64.2302
33.6914	66.4752	33.6914	65.2616	33.6914	65.5924	33.6914	65.7339	33.6914	66.1492	33.6914	65.788
35.1563	67.9006	35.1563	66.7823	35.1563	67.1159	35.1563	67.2314	35.1563	67.573	35.1563	67.2757
36.6211	68.99	36.6211	67.9151	36.6211	68.2522	36.6211	68.3466	36.6211	68.6339	36.6211	68.3881
