"Estimated In-Room Response"	
"Estimated In-Room Response"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	52.6395
21.9727	50.8204
23.4375	52.8239
24.9023	54.2293
26.3672	55.9604
27.832	57.6919
29.2969	58.4072
30.7617	60.5568
32.2266	61.7822
33.6914	63.0067
35.1562	64.7995
36.6211	65.9003
38.0859	67.2215
39.5508	68.5784
41.0156	69.859
42.4805	71.1848
43.9453	72.4312
45.4102	73.4987
46.875	74.6215
48.3398	75.5919
51.2695	77.6278
52.7344	78.408
54.1992	79.1197
55.6641	79.7471
58.5938	80.7933
60.0586	81.2425
62.9883	81.9638
64.4531	82.1934
67.3828	82.5335
68.8477	82.6329
71.7773	82.9172
74.707	83.1737
77.6367	83.2948
79.1016	83.3575
82.0312	83.5534
84.9609	83.6292
87.8906	83.5023
90.8203	83.7276
95.2148	83.8983
98.1445	83.9503
101.074	83.9344
105.469	84.1268
108.398	84.1653
112.793	84.3282
117.188	84.385
120.117	84.424
124.512	84.4638
128.906	84.3532
133.301	84.365
139.16	84.4074
143.555	84.4472
147.949	84.3794
153.809	84.1285
159.668	84.2824
165.527	84.2743
171.387	84.1579
177.246	84.1239
183.105	84.0149
188.965	83.8322
196.289	83.8509
203.613	83.764
210.938	83.5846
218.262	83.3709
225.586	83.3614
232.91	83.2582
241.699	82.9834
250.488	82.9791
259.277	82.9143
268.066	82.665
276.855	82.6292
287.109	82.4212
297.363	82.3715
307.617	82.3089
319.336	81.8909
329.59	81.6892
341.309	81.534
353.027	81.3302
366.211	81.3403
379.395	81.2984
392.578	80.9712
405.762	80.6278
420.41	80.6699
435.059	80.381
451.172	80.4475
465.82	80.5748
483.398	80.716
499.512	81.0845
517.09	80.7165
536.133	80.5461
555.176	80.825
574.219	80.6729
594.727	81.0871
615.234	81.164
637.207	80.7317
659.18	80.3011
682.617	80.5224
707.52	81.0583
732.422	80.762
757.324	80.8851
785.156	80.8043
811.523	80.7401
840.82	80.9721
870.117	80.9698
900.879	81.191
933.105	80.8468
965.332	80.6748
1,000.49	80.2353
1,035.64	79.6997
1,072.27	79.5526
1,108.89	79.596
1,148.44	79.7177
1,189.45	79.6265
1,230.47	80.072
1,274.41	80.469
1,319.82	80.7414
1,366.7	80.3657
1,413.57	80.0396
1,463.38	79.6972
1,516.11	78.6475
1,568.85	77.8733
1,624.51	77.8173
1,681.64	77.881
1,741.7	78.1173
1,803.22	78.0031
1,866.21	77.4272
1,932.13	77.7255
1,999.51	78.9463
2,069.82	79.7392
2,143.07	79.774
2,219.24	79.1063
2,296.88	78.8943
2,378.91	79.7898
2,462.4	81.0858
2,548.83	81.1107
2,639.65	80.3391
2,731.93	80.1456
2,828.61	80.798
2,928.22	81.2908
3,030.76	81.3293
3,137.7	81.211
3,249.02	81.0984
3,363.28	81.1407
3,481.93	81.4376
3,604.98	81.5551
3,732.42	81.8346
3,864.26	81.2138
4,000.49	81.2564
4,141.11	81.7077
4,287.6	81.76
4,438.48	81.8072
4,595.21	81.1586
4,756.35	81.5169
4,924.8	81.5905
5,097.66	81.4448
5,277.83	81.5348
5,463.87	81.5009
5,657.23	81.2614
5,856.45	80.9581
6,062.99	81.1984
6,276.86	80.8606
6,498.05	81.1164
6,726.56	81.0054
6,963.87	80.9028
7,209.96	81.0557
7,464.84	80.5817
7,727.05	80.8955
7,999.51	80.5252
8,282.23	80.4203
8,573.73	80.0311
8,876.95	79.8724
9,188.96	79.5059
9,514.16	79.2642
9,849.61	78.9862
10,196.8	78.7381
10,555.7	78.5124
10,927.7	78.3348
11,313	78.197
11,712.9	78.3174
12,126	78.5443
12,553.7	78.6299
12,996.1	78.4738
13,454.6	78.1581
13,929.2	78.0103
14,419.9	77.7583
14,928.2	77.35
15,455.6	77.0319
16,000.5	76.7745
16,564.5	76.334
17,148.9	75.7059
17,752.4	74.941
18,379.4	73.9999
19,026.9	72.8869
19,697.8	71.535
19,999.5	70.9016
