"Estimated In-Room Response"
"Estimated In-Room Response"
"Frequency [Hz]"	"Sound Pessure Level [dB] [0.3V at 1m]"
20.5078	62.7456
21.9727	62.7172
23.4375	63.7293
24.9023	66.5338
26.3672	70.0053
27.832	68.5737
29.2969	70.1427
30.7617	72.7288
32.2266	74.0038
33.6914	75.4922
35.1562	77.3822
36.6211	78.4462
38.0859	80.0275
39.5508	81.2774
41.0156	82.8501
42.4805	84.1294
43.9453	85.446
45.4102	86.6498
46.875	87.837
48.3398	88.9443
51.2695	90.7624
52.7344	91.5692
54.1992	92.4545
55.6641	93.201
58.5938	94.3581
60.0586	94.8077
62.9883	95.4788
64.4531	95.7171
67.3828	96.0178
68.8477	96.144
71.7773	96.2215
74.707	96.19
77.6367	96.1403
79.1016	96.1395
82.0312	96.0844
84.9609	96.008
87.8906	95.975
90.8203	96.0657
95.2148	95.972
98.1445	95.9021
101.074	95.8472
105.469	95.7956
108.398	95.7297
112.793	95.6392
117.188	95.4792
120.117	95.5734
124.512	95.698
128.906	95.6035
133.301	95.5758
139.16	95.4499
143.555	95.2328
147.949	95.3328
153.809	95.4681
159.668	95.0854
165.527	94.8482
171.387	94.5831
177.246	94.6659
183.105	94.6448
188.965	94.7106
196.289	94.7822
203.613	94.4093
210.938	94.606
218.262	94.7179
225.586	94.7236
232.91	94.3108
241.699	94.5984
250.488	94.0368
259.277	94.4339
268.066	95.021
276.855	94.287
287.109	94.5081
297.363	94.903
307.617	95.1606
319.336	94.5588
329.59	94.5904
341.309	94.7224
353.027	94.6366
366.211	95.2067
379.395	94.9306
392.578	94.9892
405.762	95.0491
420.41	94.7489
435.059	94.973
451.172	94.7387
465.82	94.848
483.398	94.6314
499.512	94.7731
517.09	95.1316
536.133	95.959
555.176	96.1008
574.219	95.7847
594.727	96.3608
615.234	95.8551
637.207	96.166
659.18	95.3762
682.617	95.0084
707.52	95.0391
732.422	95.4612
757.324	96.1282
785.156	96.376
811.523	95.8192
840.82	96.1277
870.117	95.5831
900.879	95.5524
933.105	95.241
965.332	95.1691
1000.49	94.8394
1035.64	94.9916
1072.27	94.9766
1108.89	95.0868
1148.44	95.274
1189.45	95.5831
1230.47	95.6199
1274.41	96.2607
1319.82	96.1157
1366.7	96.1618
1413.57	96.0807
1463.38	95.1189
1516.11	94.0571
1568.85	93.6661
1624.51	93.2473
1681.64	93.3973
1741.7	93.2739
1803.22	93.0231
1866.21	93.3991
1932.13	93.5521
1999.51	93.0746
2069.82	92.6075
2143.07	92.9899
2219.24	92.948
2296.88	92.311
2378.91	92.4039
2462.4	92.2958
2548.83	91.2416
2639.65	91.1922
2731.93	90.7899
2828.61	90.3222
2928.22	89.7962
3030.76	89.7458
3137.7	89.5508
3249.02	89.4418
3363.28	89.5034
3481.93	89.8408
3604.98	90.1357
3732.42	90.2525
3864.26	89.9486
4000.49	89.6027
4141.11	89.6392
4287.6	89.5255
4438.48	89.5974
4595.21	89.6945
4756.35	90.0598
4924.8	90.5049
5097.66	90.5074
5277.83	90.1881
5463.87	90.1465
5657.23	89.8899
5856.45	90.0437
6062.99	90.2201
6276.86	90.5181
6498.05	90.6114
6726.56	90.3219
6963.87	90.1673
7209.96	90.1298
7464.84	90.0446
7727.05	89.8628
7999.51	89.8061
8282.23	89.7906
8573.73	89.6793
8876.95	89.6964
9188.96	89.8329
9514.16	90.1684
9849.61	90.5054
10196.8	90.7328
10555.7	90.7081
10927.7	90.621
11313	90.8242
11712.9	91.0154
12126	91.2503
12553.7	91.3577
12996.1	91.2375
13454.6	91.0793
13929.2	90.7024
14419.9	89.9852
14928.2	89.1304
15455.6	88.2369
16000.5	87.8702
16564.5	87.7916
17148.9	87.4955
17752.4	87.2914
18379.4	86.8453
19026.9	85.7162
19697.8	84.1923
19999.5	83.275
