"Horizontal Reflections"							
"Front"		"Side"		"Rear"		"Total Horizontal Reflection"	
"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"
20.5078	73.905	20.5078	74.3154	20.5078	75.1941	20.5078	74.7325
21.9727	76.7928	21.9727	77.2149	21.9727	78.2011	21.9727	77.6936
23.4375	78.493	23.4375	78.8927	23.4375	79.8312	23.4375	79.3468
24.9023	81.0718	24.9023	81.4848	24.9023	82.4805	24.9023	81.9706
26.3672	83.8657	26.3672	84.2818	26.3672	85.2602	26.3672	84.7569
27.832	86.5078	27.832	86.9245	27.832	87.9328	27.832	87.4172
29.2969	88.8353	29.2969	89.243	29.2969	90.2336	29.2969	89.7266
30.7617	89.9838	30.7617	90.3959	30.7617	91.4296	30.7617	90.9044
32.2266	90.1753	32.2266	90.5673	32.2266	91.5671	32.2266	91.0589
33.6914	90.151	33.6914	90.546	33.6914	91.5667	33.6914	91.0495
35.1562	90.3326	35.1562	90.7182	35.1562	91.7371	35.1562	91.2221
36.6211	90.796	36.6211	91.1839	36.6211	92.2167	36.6211	91.6957
38.0859	91.6741	38.0859	92.0509	38.0859	93.0707	38.0859	92.5568
39.5508	92.7842	39.5508	93.1597	39.5508	94.1876	39.5508	93.6705
41.0156	94.1929	41.0156	94.5688	41.0156	95.6151	41.0156	95.0906
42.4805	95.4412	42.4805	95.8066	42.4805	96.8379	42.4805	96.3211
43.9453	96.4898	43.9453	96.8456	43.9453	97.8641	43.9453	97.354
45.4102	97.0829	45.4102	97.4263	45.4102	98.4296	45.4102	97.9277
46.875	97.2597	46.875	97.598	46.875	98.6038	46.875	98.1017
48.3398	97.1108	48.3398	97.439	48.3398	98.4345	48.3398	97.9382
51.2695	96.5125	51.2695	96.8192	51.2695	97.7839	51.2695	97.3037
52.7344	96.3052	52.7344	96.597	52.7344	97.54	52.7344	97.0711
54.1992	96.1547	54.1992	96.4295	54.1992	97.3482	54.1992	96.8921
55.6641	96.0628	55.6641	96.3295	55.6641	97.2391	55.6641	96.7881
58.5938	96.0982	58.5938	96.3374	58.5938	97.2099	58.5938	96.7789
60.0586	96.1665	60.0586	96.3898	60.0586	97.239	60.0586	96.8204
62.9883	96.3391	62.9883	96.5344	62.9883	97.3458	62.9883	96.9478
