"CEA2034"													
"On Axis"		"Listening Window"		"Early Reflections"		"Sound Power"		"Sound Power DI"		"Early Reflections DI"		"DI offset"	
"Frequency [Hz]"	"Sound Pessure Level [dB] [0.3V at 1m]"	"Frequency [Hz]"	"Sound Pessure Level [dB] [0.3V at 1m]"	"Frequency [Hz]"	"Sound Pessure Level [dB] [0.3V at 1m]"	"Frequency [Hz]"	"Sound Pessure Level [dB] [0.3V at 1m]"	"Frequency [Hz]"	"Sound Pessure Level [dB] [0.3V at 1m]"	"Frequency [Hz]"	"Sound Pessure Level [dB] [0.3V at 1m]"	"Frequency [Hz]"	"Sound Pessure Level [dB] [0.3V at 1m]"
20.5078	38.0275	20.5078	37.7051	20.5078	46.7316	20.5078	50.8117	20.5078	37.4001	20.5078	41.4802	20.5078	50.5067
21.9727	46.2916	21.9727	45.6181	21.9727	49.0737	21.9727	52.5996	21.9727	43.5252	21.9727	47.0511	21.9727	50.5067
23.4375	51.773	23.4375	51.8648	23.4375	55.4447	23.4375	58.292	23.4375	44.0796	23.4375	46.9269	23.4375	50.5067
24.9023	56.0562	24.9023	55.9626	24.9023	56.6984	24.9023	58.0959	24.9023	48.3734	24.9023	49.7709	24.9023	50.5067
26.3672	56.6751	26.3672	56.5063	26.3672	56.8935	26.3672	58.0397	26.3672	48.9732	26.3672	50.1195	26.3672	50.5067
27.832	63.1487	27.832	62.9787	27.832	62.9349	27.832	63.6087	27.832	49.8767	27.832	50.5505	27.832	50.5067
29.2969	55.483	29.2969	55.374	29.2969	61.5507	29.2969	65.2549	29.2969	40.6259	29.2969	44.33	29.2969	50.5067
30.7617	65.0474	30.7617	65.0527	30.7617	65.9816	30.7617	67.1646	30.7617	48.3948	30.7617	49.5778	30.7617	50.5067
32.2266	67.117	32.2266	67.1401	32.2266	68.2165	32.2266	69.4982	32.2266	48.1486	32.2266	49.4303	32.2266	50.5067
33.6914	69.9918	33.6914	70.0019	33.6914	70.826	33.6914	71.8985	33.6914	48.6101	33.6914	49.6826	33.6914	50.5067
35.1562	72.4242	35.1562	72.4169	35.1562	72.9647	35.1562	73.7855	35.1562	49.1382	35.1562	49.959	35.1562	50.5067
36.6211	74.356	36.6211	74.343	36.6211	74.9767	36.6211	75.9398	36.6211	48.91	36.6211	49.873	36.6211	50.5067
38.0859	75.5995	38.0859	75.6183	38.0859	76.4194	38.0859	77.4707	38.0859	48.6543	38.0859	49.7056	38.0859	50.5067
39.5508	77.292	39.5508	77.3203	39.5508	78.1553	39.5508	79.2229	39.5508	48.6042	39.5508	49.6717	39.5508	50.5067
41.0156	79.4703	41.0156	79.4947	41.0156	80.0854	41.0156	80.8598	41.0156	49.1416	41.0156	49.916	41.0156	50.5067
42.4805	80.8931	42.4805	80.9175	42.4805	81.5384	42.4805	82.3626	42.4805	49.0616	42.4805	49.8858	42.4805	50.5067
43.9453	82.393	43.9453	82.419	43.9453	83.0071	43.9453	83.7845	43.9453	49.1412	43.9453	49.9186	43.9453	50.5067
45.4102	84.136	45.4102	84.1612	45.4102	84.681	45.4102	85.3773	45.4102	49.2906	45.4102	49.9869	45.4102	50.5067
46.875	85.5232	46.875	85.5532	46.875	86.0729	46.875	86.7518	46.875	49.3081	46.875	49.987	46.875	50.5067
48.3398	86.7868	48.3398	86.8137	48.3398	87.2713	48.3398	87.8853	48.3398	49.4351	48.3398	50.0491	48.3398	50.5067
51.2695	88.623	51.2695	88.6585	51.2695	89.1504	51.2695	89.7828	51.2695	49.3824	51.2695	50.0148	51.2695	50.5067
52.7344	89.3808	52.7344	89.419	52.7344	89.8978	52.7344	90.5042	52.7344	49.4215	52.7344	50.0279	52.7344	50.5067
54.1992	90.0196	54.1992	90.057	54.1992	90.4918	54.1992	91.0385	54.1992	49.5251	54.1992	50.0718	54.1992	50.5067
55.6641	90.5628	55.6641	90.5949	55.6641	90.9478	55.6641	91.397	55.6641	49.7045	55.6641	50.1538	55.6641	50.5067
58.5938	91.228	58.5938	91.2579	58.5938	91.5637	58.5938	91.9587	58.5938	49.8059	58.5938	50.2009	58.5938	50.5067
60.0586	91.3608	60.0586	91.3908	60.0586	91.6853	60.0586	92.0647	60.0586	49.8327	60.0586	50.2122	60.0586	50.5067
62.9883	91.6022	62.9883	91.6313	62.9883	91.8849	62.9883	92.212	62.9883	49.926	62.9883	50.253	62.9883	50.5067
64.4531	91.6177	64.4531	91.6457	64.4531	91.873	64.4531	92.1658	64.4531	49.9866	64.4531	50.2794	64.4531	50.5067
67.3828	91.6559	67.3828	91.684	67.3828	91.8924	67.3828	92.1459	67.3828	50.0447	67.3828	50.2983	67.3828	50.5067
68.8477	91.6485	68.8477	91.6769	68.8477	91.8824	68.8477	92.1323	68.8477	50.0513	68.8477	50.3012	68.8477	50.5067
71.7773	91.5997	71.7773	91.6284	71.7773	91.8206	71.7773	92.0536	71.7773	50.0815	71.7773	50.3145	71.7773	50.5067
74.707	91.5864	74.707	91.6138	74.707	91.7807	74.707	91.9791	74.707	50.1414	74.707	50.3398	74.707	50.5067
77.6367	91.5356	77.6367	91.562	77.6367	91.7072	77.6367	91.8781	77.6367	50.1906	77.6367	50.3615	77.6367	50.5067
79.1016	91.4944	79.1016	91.5213	79.1016	91.6668	79.1016	91.837	79.1016	50.191	79.1016	50.3612	79.1016	50.5067
82.0312	91.418	82.0312	91.4459	82.0312	91.5908	82.0312	91.759	82.0312	50.1936	82.0312	50.3618	82.0312	50.5067
84.9609	91.4365	84.9609	91.462	84.9609	91.5888	84.9609	91.7371	84.9609	50.2316	84.9609	50.3799	84.9609	50.5067
87.8906	91.3002	87.8906	91.3257	87.8906	91.4604	87.8906	91.6198	87.8906	50.2126	87.8906	50.372	87.8906	50.5067
90.8203	91.3641	90.8203	91.3865	90.8203	91.494	90.8203	91.6182	90.8203	50.275	90.8203	50.3992	90.8203	50.5067
95.2148	91.4205	95.2148	91.4403	95.2148	91.5199	95.2148	91.6128	95.2148	50.3342	95.2148	50.4271	95.2148	50.5067
98.1445	91.3909	98.1445	91.4085	98.1445	91.4725	98.1445	91.5508	98.1445	50.3643	98.1445	50.4427	98.1445	50.5067
101.074	91.4435	101.074	91.4576	101.074	91.4874	101.074	91.5288	101.074	50.4355	101.074	50.4769	101.074	50.5067
105.469	91.547	105.469	91.5573	105.469	91.5423	105.469	91.519	105.469	50.5449	105.469	50.5217	105.469	50.5067
108.398	91.4564	108.398	91.4671	108.398	91.4718	108.398	91.4766	108.398	50.4972	108.398	50.502	108.398	50.5067
112.793	91.3439	112.793	91.3543	112.793	91.3767	112.793	91.4253	112.793	50.4357	112.793	50.4843	112.793	50.5067
117.188	91.459	117.188	91.4627	117.188	91.4289	117.188	91.4332	117.188	50.5362	117.188	50.5405	117.188	50.5067
120.117	91.6503	120.117	91.6541	120.117	91.6159	120.117	91.5876	120.117	50.5732	120.117	50.5449	120.117	50.5067
124.512	91.6423	124.512	91.6459	124.512	91.6093	124.512	91.5694	124.512	50.5832	124.512	50.5432	124.512	50.5067
128.906	91.7226	128.906	91.7217	128.906	91.6426	128.906	91.5672	128.906	50.6611	128.906	50.5858	128.906	50.5067
133.301	91.8291	133.301	91.8288	133.301	91.7059	133.301	91.5565	133.301	50.779	133.301	50.6296	133.301	50.5067
139.16	91.5697	139.16	91.5732	139.16	91.5141	139.16	91.4504	139.16	50.6294	139.16	50.5658	139.16	50.5067
143.555	91.5333	143.555	91.5227	143.555	91.4062	143.555	91.327	143.555	50.7023	143.555	50.6231	143.555	50.5067
147.949	91.6425	147.949	91.6305	147.949	91.5018	147.949	91.3671	147.949	50.7701	147.949	50.6353	147.949	50.5067
153.809	91.454	153.809	91.4537	153.809	91.3192	153.809	91.1147	153.809	50.8457	153.809	50.6411	153.809	50.5067
159.668	91.1788	159.668	91.1673	159.668	91.0664	159.668	90.958	159.668	50.716	159.668	50.6076	159.668	50.5067
165.527	91.3786	165.527	91.3315	165.527	91.0214	165.527	90.782	165.527	51.0562	165.527	50.8167	165.527	50.5067
171.387	91.3992	171.387	91.3985	171.387	91.2461	171.387	90.9968	171.387	50.9084	171.387	50.6591	171.387	50.5067
177.246	90.8141	177.246	90.7976	177.246	90.7008	177.246	90.6607	177.246	50.6436	177.246	50.6035	177.246	50.5067
