* Measurement data measured by REW V5.30.8
* Source: C:\Users\User\Documents\Sun Audio\Spinorama\Purified 4 PP T25A\Polar FR\Purified_4_XP25A_PolarFR V000H300.txt
* Format: Comma/Tab/Space delimited data
* Dated: 16-feb-2024 13:25:20
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Sun Audio Purified 4 XP25A Crossover: Woofer: BW12 @ 1495Hz Tweeter: BW18 @ 2201Hz; Measurement imported from C:\Users\User\Documents\Sun Audio\Spinorama\Purified 4 PP T25A\Polar FR\Purified_4_XP25A_PolarFR V000H300.txt Format: Comma/Tab/Space delimited data 587 values loaded, 5 Hz to 23.661 Hz log spaced
* Measurement: Purified_4_XP25A_PolarFR V
* Smoothing: None
* Frequency Step: 96 ppo
* Start Frequency: 5.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 25.862 -112.2710
5.036232 25.888 -112.7445
5.072727 25.917 -113.2549
5.109486 25.950 -113.8490
5.146511 25.988 -114.5350
5.183805 26.033 -115.3558
5.221369 26.083 -116.2539
5.259205 26.134 -117.1794
5.297315 26.188 -118.1528
5.335701 26.245 -119.1916
5.374366 26.304 -120.2559
5.413311 26.362 -121.3069
5.452538 26.420 -122.3579
5.492049 26.478 -123.4112
5.531847 26.537 -124.4608
5.571933 26.596 -125.5033
5.612310 26.658 -126.5339
5.652979 26.722 -127.5522
5.693943 26.791 -128.5420
5.735203 26.868 -129.4888
5.776763 26.953 -130.3870
5.818624 27.048 -131.2249
5.860788 27.153 -132.0059
5.903257 27.268 -132.7292
5.946035 27.392 -133.3958
5.989122 27.526 -134.0030
6.032522 27.668 -134.5620
6.076236 27.816 -135.0784
6.120267 27.969 -135.5669
6.164618 28.124 -136.0436
6.209289 28.280 -136.5089
6.254284 28.437 -136.9676
6.299605 28.594 -137.4229
6.345254 28.751 -137.8804
6.391235 28.909 -138.3379
6.437548 29.066 -138.7949
6.484197 29.224 -139.2519
6.531184 29.381 -139.7094
6.578512 29.539 -140.1669
6.626183 29.697 -140.6244
6.674199 29.854 -141.0819
6.722563 30.011 -141.5393
6.771277 30.168 -141.9969
6.820345 30.325 -142.4549
6.869768 30.483 -142.9129
6.919549 30.640 -143.3704
6.969691 30.798 -143.8279
7.020196 30.956 -144.2858
7.071068 31.113 -144.7439
7.122308 31.270 -145.2019
7.173919 31.427 -145.6599
7.225904 31.584 -146.1178
7.278266 31.742 -146.5759
7.331007 31.899 -147.0344
7.384131 32.057 -147.4929
7.437639 32.215 -147.9509
7.491536 32.372 -148.4088
7.545823 32.529 -148.8673
7.600503 32.686 -149.3259
7.655580 32.843 -149.7843
7.711055 33.001 -150.2429
7.766933 33.158 -150.7019
7.823215 33.316 -151.1609
7.879906 33.474 -151.6194
7.937007 33.631 -152.0778
7.994522 33.788 -152.5368
8.052453 33.945 -152.9959
8.110805 34.102 -153.4548
8.169579 34.260 -153.9138
8.228779 34.417 -154.3738
8.288408 34.575 -154.8328
8.348470 34.732 -155.2895
8.408966 34.889 -155.7429
8.469901 35.045 -156.1929
8.531278 35.200 -156.6348
8.593099 35.354 -157.0644
8.655368 35.507 -157.4798
8.718088 35.657 -157.8773
8.781263 35.806 -158.2579
8.844896 35.953 -158.6214
8.908990 36.098 -158.9679
8.973548 36.242 -159.2958
9.038574 36.384 -159.6089
9.104072 36.525 -159.9088
9.170044 36.665 -160.1999
9.236494 36.804 -160.4868
9.303426 36.943 -160.7699
9.370842 37.082 -161.0510
9.438747 37.221 -161.3309
9.507145 37.360 -161.6109
9.576037 37.499 -161.8909
9.645430 37.638 -162.1713
9.715324 37.777 -162.4519
9.785726 37.915 -162.7328
9.856637 38.054 -163.0139
9.928062 38.193 -163.2949
10.000006 38.332 -163.5759
10.072470 38.471 -163.8568
10.145459 38.610 -164.1377
10.218977 38.748 -164.4188
10.293028 38.887 -164.7000
10.367616 39.026 -164.9810
10.442743 39.165 -165.2620
10.518415 39.304 -165.5434
10.594636 39.443 -165.8250
10.671409 39.582 -166.1070
10.748738 39.721 -166.3890
10.826628 39.859 -166.6704
10.905082 39.998 -166.9518
10.984104 40.137 -167.2338
11.063700 40.276 -167.5158
11.143872 40.415 -167.7977
11.224626 40.553 -168.0789
11.305964 40.691 -168.3594
11.387891 40.829 -168.6388
11.470412 40.966 -168.9169
11.553532 41.102 -169.1929
11.637254 41.237 -169.4656
11.721582 41.371 -169.7358
11.806521 41.504 -170.0040
11.892076 41.637 -170.2698
11.978251 41.768 -170.5324
12.065051 41.899 -170.7930
12.152479 42.029 -171.0520
12.240541 42.158 -171.3100
12.329242 42.287 -171.5676
12.418585 42.416 -171.8248
12.508575 42.545 -172.0814
12.599217 42.674 -172.3379
12.690516 42.803 -172.5947
12.782477 42.932 -172.8518
12.875105 43.061 -173.1093
12.968403 43.190 -173.3668
13.062377 43.318 -173.6239
13.157032 43.447 -173.8809
13.252374 43.576 -174.1382
13.348406 43.705 -174.3958
13.445134 43.834 -174.6537
13.542563 43.963 -174.9117
13.640698 44.092 -175.1698
13.739545 44.221 -175.4279
13.839108 44.349 -175.6857
13.939391 44.478 -175.9438
14.040401 44.607 -176.2027
14.142144 44.735 -176.4619
14.244624 44.862 -176.7208
14.347847 44.988 -176.9799
14.451818 45.114 -177.2397
14.556541 45.238 -177.4999
14.662024 45.361 -177.7606
14.768271 45.482 -178.0217
14.875288 45.602 -178.2835
14.983081 45.722 -178.5458
15.091655 45.840 -178.8086
15.201015 45.958 -179.0718
15.311169 46.075 -179.3353
15.422120 46.192 -179.5988
15.533875 46.309 -179.8622
15.646441 46.425 179.8741
15.759821 46.541 179.6097
15.874023 46.658 179.3452
15.989053 46.774 179.0812
16.104916 46.891 178.8172
16.221619 47.007 178.5523
16.339167 47.124 178.2873
16.457567 47.240 178.0228
16.576826 47.357 177.7582
16.696949 47.473 177.4929
16.817942 47.590 177.2272
16.939812 47.706 176.9612
17.062565 47.823 176.6943
17.186207 47.939 176.4260
17.310745 48.056 176.1561
17.436186 48.173 175.8845
17.562536 48.290 175.6112
17.689802 48.407 175.3361
17.817989 48.525 175.0593
17.947105 48.643 174.7805
18.077158 48.761 174.5002
18.208153 48.878 174.2187
18.340097 48.996 173.9363
18.472998 49.114 173.6534
18.606861 49.232 173.3701
18.741693 49.350 173.0863
18.877504 49.468 172.8022
19.014299 49.586 172.5184
19.152084 49.704 172.2343
19.290869 49.822 171.9494
19.430658 49.940 171.6642
19.571461 50.058 171.3791
19.713284 50.176 171.0933
19.856134 50.294 170.8064
20.000021 50.411 170.5182
20.144949 50.528 170.2286
20.290928 50.645 169.9372
20.437963 50.762 169.6437
20.586065 50.878 169.3481
20.735241 50.994 169.0502
20.885496 51.109 168.7503
21.036840 51.224 168.4486
21.189281 51.339 168.1454
21.342827 51.454 167.8403
21.497486 51.569 167.5344
21.653265 51.683 167.2286
21.810173 51.798 166.9224
21.968218 51.912 166.6151
22.127409 52.027 166.3073
22.287754 52.141 165.9995
22.449261 52.255 165.6912
22.611937 52.369 165.3828
22.775791 52.484 165.0734
22.940834 52.598 164.7623
23.107073 52.711 164.4494
23.274517 52.824 164.1343
23.443174 52.937 163.8174
23.613052 53.050 163.4988
23.784163 53.163 163.1782
23.956512 53.275 162.8556
24.130112 53.387 162.5314
24.304968 53.498 162.2059
24.481092 53.610 161.8794
24.658493 53.721 161.5517
24.837179 53.833 161.2234
25.017160 53.944 160.8952
25.198444 54.056 160.5663
25.381042 54.167 160.2363
25.564964 54.278 159.9053
25.750219 54.389 159.5731
25.936815 54.500 159.2394
26.124763 54.610 158.9034
26.314074 54.720 158.5654
26.504757 54.829 158.2255
26.696821 54.939 157.8834
26.890278 55.048 157.5388
27.085136 55.157 157.1924
27.281406 55.266 156.8441
27.479099 55.375 156.4944
27.678225 55.483 156.1439
27.878792 55.591 155.7924
28.080812 55.699 155.4404
28.284298 55.808 155.0874
28.489258 55.915 154.7337
28.695704 56.023 154.3784
28.903645 56.130 154.0210
29.113092 56.238 153.6615
29.324059 56.346 153.2999
29.536552 56.453 152.9364
29.750586 56.560 152.5712
29.966171 56.666 152.2043
30.183319 56.772 151.8357
30.402040 56.879 151.4654
30.622347 56.985 151.0935
30.844250 57.091 150.7204
31.067760 57.196 150.3466
31.292891 57.302 149.9715
31.519651 57.407 149.5948
31.748056 57.513 149.2164
31.978115 57.618 148.8359
32.209843 57.723 148.4534
32.443249 57.828 148.0690
32.678345 57.932 147.6824
32.915146 58.036 147.2934
33.153664 58.140 146.9024
33.393909 58.244 146.5097
33.635895 58.348 146.1155
33.879635 58.451 145.7202
34.125141 58.554 145.3235
34.372425 58.657 144.9253
34.621502 58.760 144.5255
34.872383 58.862 144.1239
35.125084 58.965 143.7204
35.379616 59.067 143.3148
35.635990 59.169 142.9074
35.894222 59.271 142.4984
36.154327 59.372 142.0875
36.416317 59.473 141.6744
36.680206 59.574 141.2596
36.946007 59.674 140.8434
37.213734 59.775 140.4255
37.483398 59.875 140.0055
37.755020 59.976 139.5836
38.028610 60.076 139.1600
38.304180 60.175 138.7345
38.581749 60.275 138.3066
38.861328 60.374 137.8766
39.142933 60.473 137.4445
39.426579 60.571 137.0106
39.712280 60.669 136.5749
40.000053 60.768 136.1376
40.289909 60.866 135.6985
40.581867 60.964 135.2576
40.875938 61.061 134.8146
41.172142 61.158 134.3696
41.470493 61.255 133.9227
41.771004 61.352 133.4737
42.073692 61.449 133.0226
42.378574 61.545 132.5696
42.685665 61.641 132.1150
42.994984 61.736 131.6586
43.306541 61.832 131.2001
43.620358 61.927 130.7396
43.936447 62.022 130.2771
44.254829 62.116 129.8127
44.575520 62.210 129.3467
44.898533 62.304 128.8787
45.223885 62.397 128.4083
45.551594 62.491 127.9356
45.881680 62.584 127.4608
46.214157 62.677 126.9837
46.549046 62.769 126.5043
46.886360 62.862 126.0227
47.226116 62.954 125.5389
47.568336 63.046 125.0527
47.913036 63.138 124.5641
48.260235 63.230 124.0727
48.609947 63.321 123.5785
48.962196 63.412 123.0817
49.316998 63.503 122.5824
49.674370 63.594 122.0807
50.034332 63.685 121.5769
50.396900 63.776 121.0707
50.762096 63.866 120.5621
51.129940 63.957 120.0508
51.500450 64.047 119.5366
51.873642 64.137 119.0198
52.249538 64.226 118.5005
52.628159 64.315 117.9788
53.009525 64.404 117.4548
53.393654 64.493 116.9288
53.780567 64.581 116.4009
54.170284 64.668 115.8708
54.562824 64.756 115.3380
54.958210 64.843 114.8028
55.356461 64.930 114.2653
55.757595 65.016 113.7258
56.161636 65.102 113.1842
56.568607 65.187 112.6408
56.978527 65.272 112.0958
57.391418 65.357 111.5489
57.807301 65.441 111.0002
58.226196 65.525 110.4499
58.648129 65.609 109.8981
59.073116 65.692 109.3448
59.501183 65.775 108.7901
59.932354 65.857 108.2339
60.366650 65.939 107.6761
60.804092 66.020 107.1169
61.244705 66.101 106.5561
61.688511 66.182 105.9939
62.135532 66.262 105.4302
62.585793 66.341 104.8649
63.039314 66.420 104.2978
63.496124 66.498 103.7289
63.956242 66.576 103.1579
64.419693 66.653 102.5849
64.886505 66.730 102.0100
65.356697 66.806 101.4329
65.830299 66.881 100.8532
66.307335 66.956 100.2711
66.787827 67.030 99.6864
67.271797 67.104 99.0990
67.759277 67.177 98.5084
68.250290 67.250 97.9150
68.744858 67.322 97.3189
69.243011 67.393 96.7200
69.744774 67.464 96.1180
70.250175 67.534 95.5130
70.759239 67.603 94.9054
71.271988 67.672 94.2950
71.788452 67.741 93.6819
72.308662 67.809 93.0661
72.832642 67.877 92.4472
73.360420 67.944 91.8260
73.892021 68.011 91.2030
74.427475 68.078 90.5781
74.966805 68.144 89.9514
75.510048 68.210 89.3230
76.057228 68.276 88.6928
76.608368 68.341 88.0611
77.163506 68.406 87.4283
77.722664 68.470 86.7942
78.285873 68.534 86.1591
78.853165 68.597 85.5232
79.424568 68.660 84.8870
80.000114 68.722 84.2501
80.579826 68.784 83.6121
81.163742 68.845 82.9731
81.751884 68.905 82.3331
82.344292 68.965 81.6922
82.940994 69.024 81.0503
83.542023 69.082 80.4072
84.147400 69.140 79.7627
84.757164 69.197 79.1171
85.371353 69.253 78.4707
