"Fundamental + Harmonic distortion components"					
"Woofer"		"Tweeter"		"Port"	
"Frequency [Hz]"	"dB - [V]  (rms)"	"Frequency [Hz]"	"dB - [V]  (rms)"	"Frequency [Hz]"	"dB - [V]  (rms)"
79.4678	99.0592	559.57	93.0327	79.4678	105.311
79.834	99.2086	559.937	93.0172	79.834	105.293
80.2002	99.3557	560.303	93.0015	80.2002	105.274
80.5664	99.5005	560.669	92.9856	80.5664	105.256
80.9326	99.6431	561.035	92.9696	80.9326	105.237
81.2988	99.7835	561.401	92.9536	81.2988	105.219
81.665	99.9216	561.768	92.9375	81.665	105.2
82.0312	100.057	562.134	92.9216	82.0312	105.18
82.3975	100.191	562.5	92.9059	82.3975	105.161
82.7637	100.323	562.866	92.8904	82.7637	105.141
83.1299	100.452	563.232	92.8754	83.1299	105.121
83.4961	100.579	563.599	92.8609	83.4961	105.101
83.8623	100.704	563.965	92.8469	83.8623	105.08
84.2285	100.827	564.331	92.8337	84.2285	105.06
84.5947	100.947	564.697	92.8213	84.5947	105.038
84.9609	101.066	565.063	92.8222	84.9609	105.017
85.3271	101.183	565.43	92.8111	85.3271	104.996
85.6934	101.297	565.796	92.8011	85.6934	104.974
86.0596	101.41	566.162	92.792	86.0596	104.952
86.4258	101.521	566.528	92.7841	86.4258	104.929
86.792	101.629	566.895	92.7774	86.792	104.907
87.1582	101.736	567.261	92.7719	87.1582	104.884
87.5244	101.841	567.627	92.7677	87.5244	104.86
87.8906	101.944	567.993	92.7647	87.8906	104.837
88.2568	102.046	568.359	92.763	88.2568	104.813
88.623	102.145	568.726	92.7626	88.623	104.789
88.9893	102.243	569.092	92.7634	88.9893	104.765
89.3555	102.339	569.458	92.7654	89.3555	104.74
89.7217	102.434	569.824	92.7684	89.7217	104.715
90.0879	102.526	570.19	92.7725	90.0879	104.69
90.4541	102.618	570.557	92.7776	90.4541	104.664
90.8203	102.707	570.923	92.7835	90.8203	104.639
91.1865	102.795	571.289	92.7901	91.1865	104.613
91.5527	102.882	571.655	92.7974	91.5527	104.586
91.9189	102.967	572.021	92.8052	91.9189	104.56
92.2852	103.05	572.388	92.8133	92.2852	104.533
92.6514	103.133	572.754	92.8217	92.6514	104.506
