"Early Reflections"
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce (full horizontal rear)"		"Total Early Reflection"
"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"
20.5078	47.6199	20.5078	41.7851	20.5078	46.8964	20.5078	43.1408	20.5078	43.8776	20.5078	45.2338
21.9727	43.8683	21.9727	34.8598	21.9727	42.6606	21.9727	36.7581	21.9727	50.4873	21.9727	45.1188
23.4375	48.2618	23.4375	45.3876	23.4375	47.6601	23.4375	45.7471	23.4375	52.5533	23.4375	48.7797
24.9023	49.6515	24.9023	46.4244	24.9023	48.9527	24.9023	46.9935	24.9023	53.4967	24.9023	49.899
26.3672	53.2667	26.3672	50.9969	26.3672	52.7679	26.3672	51.4404	26.3672	55.3948	26.3672	53.0654
27.832	54.0413	27.832	51.3945	27.832	53.4856	27.832	51.8944	27.832	55.9393	27.832	53.6618
29.2969	55.9917	29.2969	54.1704	29.2969	55.5461	29.2969	54.57	29.2969	58.0549	29.2969	55.8941
30.7617	56.6058	30.7617	54.4491	30.7617	56.1238	30.7617	54.8367	30.7617	58.2568	30.7617	56.2733
32.2266	57.9362	32.2266	56.9385	32.2266	57.6263	32.2266	57.1705	32.2266	60.5186	32.2266	58.2516
33.6914	59.7515	33.6914	58.8846	33.6914	59.4666	33.6914	59.1271	33.6914	61.9073	33.6914	59.9753
35.1562	60.8045	35.1562	59.9073	35.1562	60.5178	35.1562	60.1707	35.1562	62.7914	35.1562	60.9697
36.6211	62.0027	36.6211	61.3245	36.6211	61.7506	36.6211	61.5718	36.6211	64.0065	36.6211	62.2483
38.0859	63.1644	38.0859	62.691	38.0859	62.9492	38.0859	62.9062	38.0859	65.2328	38.0859	63.4992
39.5508	64.1616	39.5508	63.7741	39.5508	63.9555	39.5508	64.003	39.5508	66.2027	39.5508	64.5218
41.0156	65.1409	41.0156	64.867	41.0156	64.9584	41.0156	65.0695	41.0156	67.1012	41.0156	65.5167
42.4805	66.6731	42.4805	66.3719	42.4805	66.5149	42.4805	66.5732	42.4805	68.142	42.4805	66.9072
43.9453	67.6283	43.9453	67.3017	43.9453	67.4664	43.9453	67.5154	43.9453	69.0006	43.9453	67.8294
