"CEA2034"
"On Axis"		"Listening Window"		"Early Reflections"		"Sound Power"		"Sound Power DI"		"Early Reflections DI"		"DI offset"
"Frequency / Hz"	"Sound Pessure Level / dB   [2.83V at 1m]"	"Frequency / Hz"	"Sound Pessure Level / dB   [2.83V at 1m]"	"Frequency / Hz"	"Sound Pessure Level / dB   [2.83V at 1m]"	"Frequency / Hz"	"Sound Pessure Level / dB   [2.83V at 1m]"	"Frequency / Hz"	"Sound Pessure Level / dB   [2.83V at 1m]"	"Frequency / Hz"	"Sound Pessure Level / dB   [2.83V at 1m]"	"Frequency / Hz"	"Sound Pessure Level / dB   [2.83V at 1m]"
20.5078	70.13	20.5078	70.0014	20.5078	68.9394	20.5078	67.3841	20.5078	52.6173	20.5078	51.0621	20.5078	50
21.9727	68.7914	21.9727	68.6276	21.9727	67.4229	21.9727	65.6597	21.9727	52.9678	21.9727	51.2046	21.9727	50
23.4375	68.5756	23.4375	68.3672	23.4375	66.8967	23.4375	64.6524	23.4375	53.7148	23.4375	51.4704	23.4375	50
24.9023	66.4107	24.9023	66.033	24.9023	64.7386	24.9023	64.4533	24.9023	51.5797	24.9023	51.2943	24.9023	50
26.3672	67.145	26.3672	66.94	26.3672	66.2586	26.3672	66.2661	26.3672	50.6739	26.3672	50.6814	26.3672	50
27.832	67.2769	27.832	67.1317	27.832	67.2	27.832	68.1877	27.832	48.944	27.832	49.9317	27.832	50
29.2969	68.4358	29.2969	68.4629	29.2969	69.4134	29.2969	70.9289	29.2969	47.534	29.2969	49.0495	29.2969	50
30.7617	71.9351	30.7617	71.9644	30.7617	72.4837	30.7617	73.4405	30.7617	48.5239	30.7617	49.4807	30.7617	50
32.2266	74.0018	32.2266	74.0262	32.2266	74.3816	32.2266	75.1087	32.2266	48.9174	32.2266	49.6446	32.2266	50
33.6914	75.5121	33.6914	75.54	33.6914	75.8501	33.6914	76.4838	33.6914	49.0561	33.6914	49.6899	33.6914	50
