Plot Subfolder,Directivity Indices,Directivity Indices,Horizontal,Horizontal,Vertical,Vertical,Constant Directivity Metrics,Constant Directivity Metrics,Constant Directivity Metrics,Constant Directivity Metrics,Directivity Indices,Directivity Indices,Horizontal,Horizontal,Vertical,Vertical,Horizontal,Vertical,Constant Directivity Metrics,Constant Directivity Metrics,Constant Directivity Metrics,Constant Directivity Metrics,Constant Directivity Metrics,Constant Directivity Metrics
Plot Suffix,Full Sphere DI Plot,Front Hemisphere DI Plot,H Contour Plot,H Front Contour Plot,V Contour Plot,V Front Contour Plot,Horizontal Polar XCorr Plot,Front Horizontal Polar XCorr Plot,Vertical Polar XCorr Plot,Front Vertical Polar XCorr Plot,Full Sphere DI Plot,Front Hemisphere DI Plot,H Contour Plot,H Front Contour Plot,V Contour Plot,V Front Contour Plot,H Front Contour Plot,V Front Contour Plot,Frontal Hemisphere Avg. FR Distortion Plot,Front Horizontal FR Distortions Density Plot,Front Vertical FR Distortions Density Plot,Frontal Hemisphere LW Region Plot,Front Horizontal LW Region Plot,Front Vertical LW Region Plot
Units, dB, dB, dB, dB, dB, dB,,,,, dB, dB, dB, dB, dB, dB,&deg;,&deg;, dB, dB, dB,,&deg;,&deg;
Loudspeaker Name,Directivity Index - Full 3D,Directivity Index - Front 3D,Directivity Index - Horizontal,Directivity Index - Front Horizontal,Directivity Index - Vertical,Directivity Index - Front Vertical,Constant Directivity Index - Horizontal,Constant Directivity Index - Front Horizontal,Constant Directivity Index - Vertical,Constant Directivity Index - Front Vertical,Std. Dev. of Directivity Index - Full 3D,Std. Dev. of Directivity Index - Front 3D,Std. Dev. of Directivity Index - Horizontal,Std. Dev. of Directivity Index - Front Horizontal,Std. Dev. of Directivity Index - Vertical,Std. Dev. of Directivity Index - Front Vertical,Fourier Analysis of Contour Lines - Front Horizontal,Fourier Analysis of Contour Lines - Front Vertical,Directional Avg. of FR Distortions - Front 3D,Directional Avg. of FR Distortions - Front Horizontal,Directional Avg. of FR Distortions - Front Vertical,Distortion Thresholding of Polar Responses - Front 3D,Distortion Thresholding of Polar Responses - Front Horizontal,Distortion Thresholding of Polar Responses - Front Vertical
Ascend Acoustics CBM-170 SE,6.86,4.36,5.15,2.49,6.01,3.35,0.93,0.93,0.9,0.9,2.64,2.44,1.75,1.6,1.83,1.69,38.12,50.26,1.1,0.82,0.27,0.47,146.72,101.18
Avantgarde Acoustic Solo,--,--,8.67,5.77,--,--,0.9,0.9,--,--,--,--,2.38,2.32,--,--,58.3,--,--,2.87,--,--,66.47,--
CommonSense Audio 5.6,--,--,9.08,6.14,--,--,0.83,0.83,--,--,--,--,2.57,2.5,--,--,52.13,--,--,6.3,--,--,23.16,--
Dynaudio Xeo 3,6.3,3.92,4.87,2.31,5.16,2.62,0.89,0.9,0.84,0.85,3.74,3.51,2.87,2.71,2.63,2.47,38.4,47.01,1.67,1.3,0.61,0.42,125.79,98.51
Essence Electrostatic Model 1600,--,--,5.75,6.51,--,--,0.84,0.94,--,--,--,--,2.07,1.44,--,--,54.4,--,--,4.84,--,--,104.34,--
Fisher STE-720,8.47,5.83,6.86,4.09,5.84,3.07,0.87,0.87,0.78,0.79,3.76,3.56,2.69,2.56,2.9,2.81,48.26,50.79,5.32,3.55,3.28,0.27,85.48,71.16
Gainphile R16,--,--,6.45,4.6,--,--,0.8,0.96,--,--,--,--,2.9,1.31,--,--,51.37,--,--,0.84,--,--,102.79,--
GedLee Nathan,--,6.72,--,3.99,--,4.22,--,0.95,--,0.89,--,2.08,--,1.65,--,1.75,53.1,55.84,1.47,1.26,0.8,0.24,100.37,68.44
Genelec 8030A,--,5.12,--,3.12,--,3.64,--,0.97,--,0.92,--,1.63,--,0.98,--,1.27,53.75,47.24,0.84,0.31,0.5,0.51,137.5,102.54
Genelec 8351A,7.33,4.65,5.64,2.84,5.91,3.1,0.98,0.98,0.98,0.98,1.12,0.89,0.87,0.69,0.76,0.7,55.7,58.78,0.48,0.38,0.23,0.77,148.64,157.68
