Plot Subfolder,Directivity Indices,Directivity Indices,Horizontal,Horizontal,Vertical,Vertical,Constant Directivity Metrics,Constant Directivity Metrics,Constant Directivity Metrics,Constant Directivity Metrics,Directivity Indices,Directivity Indices,Horizontal,Horizontal,Vertical,Vertical,Horizontal,Vertical,Constant Directivity Metrics,Constant Directivity Metrics,Constant Directivity Metrics,Constant Directivity Metrics,Constant Directivity Metrics,Constant Directivity Metrics
Gradient Helsinki 1.5,7.19,4.49,5.87,3.08,5.6,2.76,0.97,0.98,0.92,0.92,1.28,1.14,0.99,0.84,1.21,1.22,53.25,55.31,0.83,0.41,0.75,0.46,151.28,96.67
iKey-Audio M-808V2,7.78,5.23,5.89,3.18,6.55,3.85,0.95,0.95,0.89,0.89,2.28,2,1.54,1.34,1.32,1.15,50.5,51.98,0.95,0.59,0.49,0.46,141.89,102.81
JansZen Loudspeaker zA1.1,14.85,12.17,10.1,7.32,10.28,7.48,0.75,0.75,0.75,0.75,6.97,6.65,4.38,4.13,4.1,3.84,36.07,36.86,15.18,15.53,4.03,0.08,37.18,34.58
JansZen Loudspeaker zA2.1,--,12.21,--,6.71,--,8.73,--,0.81,--,0.7,--,6.77,--,3.35,--,4.53,34.5,54.38,12.19,12.3,3.59,0.01,11.42,9.19
JBL Professional PRX635,--,--,6.89,3.96,--,--,0.95,0.95,--,--,--,--,1.22,1.2,--,--,53.86,--,--,1.11,--,--,107.52,--
KEF LS50,7.09,4.6,5.6,2.98,5.53,2.92,0.94,0.96,0.95,0.96,2.18,1.77,1.51,1.13,1.47,1.13,53.13,49.12,0.51,0.48,0.13,0.58,128.97,131.31
King's Audio KingSound KS 3001,11.98,11.56,6.35,6.05,9.38,8.57,0.83,0.85,0.84,0.85,5.24,4.89,3.21,2.87,3.25,2.93,39.96,51.32,7.18,7.12,1.99,0.03,33.66,15.14
KRK Systems RoKit 6 G2,7.2,4.73,5.43,2.79,6.11,3.44,0.93,0.94,0.9,0.9,2.61,2.33,1.79,1.57,1.63,1.45,42.9,52.09,0.97,0.68,0.39,0.48,140.96,106.19
Manger Sidekick,--,--,--,4.76,--,--,--,0.82,--,--,--,--,--,3.05,--,--,43.38,--,--,8.75,--,--,71.7,--
Polk Audio 5JR,5.95,3.5,4.82,2.19,4.73,2.11,0.88,0.89,0.82,0.82,3.36,3.19,2.52,2.39,2.28,2.19,37.69,41.89,4.04,1.58,1.59,0.35,116.12,86.6
Quad Electroacoustics ESL-57,--,12.82,--,6.93,--,8.21,--,0.88,--,0.86,--,3.13,--,2.23,--,2.4,52.39,57.58,4.86,4.18,2.6,0.09,52.79,34.57
Sanders Sound Systems Model 11,--,--,8.66,8.54,--,--,0.78,0.79,--,--,--,--,3.75,3.64,--,--,43.76,--,--,12.36,--,--,27.23,--
Sanders Sound Systems Model 11 with Anechoic Foam,--,--,11.28,8.61,--,--,0.78,0.79,--,--,--,--,3.81,3.65,--,--,44.18,--,--,14.51,--,--,26.92,--
Sanders Sound Systems Model 11 with Back-Wave Absorber,--,--,10.89,8.55,--,--,0.78,0.79,--,--,--,--,3.96,3.64,--,--,43.64,--,--,14.69,--,--,27.15,--
Spendor Audio Systems SA1,--,4.85,--,3.08,--,3.36,--,0.96,--,0.92,--,1.95,--,1.18,--,1.45,49.61,43.76,1.51,0.56,0.81,0.56,134.43,121.81
Tannoy Definition DC6i,--,6.37,--,3.97,--,3.96,--,0.94,--,0.94,--,2.54,--,1.5,--,1.5,47.18,48.44,1.92,1.44,0.3,0.56,120.05,121.2
