"Directivity Index"			
"Sound Power DI"		"Early Reflections DI"	
"Frequency [Hz]"	"[dB] Directivity Index "	"Frequency [Hz]"	"[dB] Directivity Index "
20.5078	-0.743571	20.5078	-0.0992035
21.9727	-0.41438	21.9727	-0.0385573
23.4375	-0.15841	23.4375	0.0357383
24.9023	0.0167225	24.9023	0.0753035
26.3672	0.111521	26.3672	0.097468
27.832	0.183014	27.832	0.115436
29.2969	0.232203	29.2969	0.127131
30.7617	0.262358	30.7617	0.134991
32.2266	0.304768	32.2266	0.152916
33.6914	0.338439	33.6914	0.163262
35.1563	0.361255	35.1563	0.171096
36.6211	0.387002	36.6211	0.179398
38.0859	0.380417	38.0859	0.174889
39.5508	0.397401	39.5508	0.180959
41.0156	0.411718	41.0156	0.187273
42.4805	0.437756	42.4805	0.196627
43.9453	0.438167	43.9453	0.197869
45.4102	0.472851	45.4102	0.212251
46.875	0.514984	46.875	0.226388
48.3398	0.479381	48.3398	0.214198
51.2695	0.494033	51.2695	0.223008
52.7344	0.509232	52.7344	0.22953
54.1992	0.562578	54.1992	0.249173
55.6641	0.528368	55.6641	0.237999
58.5938	0.516159	58.5938	0.237814
60.0586	0.526515	60.0586	0.243202
62.9883	0.540564	62.9883	0.2526
64.4531	0.546778	64.4531	0.257032
67.3828	0.563675	67.3828	0.268259
68.8477	0.580784	68.8477	0.277504
71.7773	0.614003	71.7773	0.292624
74.707	0.633053	74.707	0.300741
77.6367	0.623109	77.6367	0.301426
79.1016	0.628249	79.1016	0.305802
82.0313	0.651697	82.0313	0.319063
84.9609	0.674158	84.9609	0.333283
87.8906	0.724136	87.8906	0.353622
90.8203	0.729627	90.8203	0.357908
95.2148	0.781379	95.2148	0.385476
98.1445	0.821935	98.1445	0.404309
101.074	0.882981	101.074	0.427574
105.469	0.96648	105.469	0.457828
108.398	1.03824	108.398	0.480794
112.793	1.08313	112.793	0.502659
117.188	1.08413	117.188	0.510104
120.117	1.0914	120.117	0.516145
124.512	1.08784	124.512	0.523586
128.906	1.16478	128.906	0.558735
133.301	1.20235	133.301	0.576908
139.16	1.25246	139.16	0.603462
143.555	1.33473	143.555	0.644204
147.949	1.48198	147.949	0.704996
153.809	1.71344	153.809	0.780147
159.668	1.71829	159.668	0.78773
165.527	1.73915	165.527	0.797374
171.387	1.75908	171.387	0.820751
177.246	1.81289	177.246	0.838105
183.105	1.96809	183.105	0.913168
188.965	2.25089	188.965	0.984095
196.289	2.16943	196.289	0.96889
203.613	2.33247	203.613	1.01474
210.938	2.41566	210.938	1.02748
218.262	2.41184	218.262	1.04135
225.586	2.5268	225.586	1.11389
232.91	2.82824	232.91	1.1697
241.699	2.60769	241.699	1.08399
250.488	2.85634	250.488	1.24811
259.277	3.14338	259.277	1.29759
268.066	2.79219	268.066	1.22632
276.855	3.29531	276.855	1.34879
287.109	3.18972	287.109	1.26241
297.363	3.22422	297.363	1.27765
307.617	3.0704	307.617	1.22576
319.336	2.79596	319.336	1.25073
329.59	3.07192	329.59	1.34669
341.309	2.64814	341.309	1.20324
353.027	3.37459	353.027	1.63296
366.211	3.68775	366.211	1.59848
379.395	3.90467	379.395	1.73928
392.578	3.07184	392.578	1.48987
405.762	3.14156	405.762	1.65907
420.41	3.76805	420.41	1.89731
435.059	3.27347	435.059	1.85504
451.172	4.71149	451.172	2.3603
465.82	4.7209	465.82	2.19642
483.398	3.93225	483.398	1.80064
499.512	3.70049	499.512	1.65744
517.09	4.05574	517.09	2.11076
536.133	5.25674	536.133	2.73812
555.176	5.93704	555.176	2.592
574.219	5.76474	574.219	2.54757
594.727	5.98923	594.727	2.86966
615.234	6.0497	615.234	2.75949
637.207	5.72003	637.207	2.57868
659.18	5.61906	659.18	2.72022
682.617	5.49217	682.617	2.74722
707.52	5.68565	707.52	2.62587
732.422	5.35212	732.422	2.54078
757.324	5.57948	757.324	2.6394
785.156	5.73297	785.156	2.57585
811.523	5.42524	811.523	2.53719
840.82	5.40144	840.82	2.57304
870.117	5.62624	870.117	2.88544
900.879	5.56436	900.879	2.61601
933.105	5.74983	933.105	2.57509
965.332	5.41089	965.332	2.4053
1,000.49	5.61318	1,000.49	2.3265
1,035.64	4.79092	1,035.64	1.88331
1,072.27	5.23463	1,072.27	2.27994
1,108.89	4.60603	1,108.89	1.82576
1,148.44	4.55429	1,148.44	1.92638
1,189.45	4.85527	1,189.45	2.28004
1,230.47	4.98473	1,230.47	2.12935
1,274.41	5.07256	1,274.41	2.06778
1,319.82	5.20781	1,319.82	2.14145
1,366.7	4.47338	1,366.7	1.69707
1,413.57	4.92202	1,413.57	1.88002
1,463.38	5.38355	1,463.38	2.09219
1,516.11	5.4564	1,516.11	2.06481
1,568.85	5.35842	1,568.85	2.00192
1,624.51	5.42024	1,624.51	2.09007
1,681.64	5.25516	1,681.64	2.03672
1,741.7	5.46893	1,741.7	2.01011
1,803.22	5.7078	1,803.22	2.16033
1,866.21	5.4407	1,866.21	2.26872
1,932.13	5.80921	1,932.13	2.22421
1,999.51	5.70976	1,999.51	2.20413
2,069.82	5.53713	2,069.82	2.26382
2,143.07	5.44359	2,143.07	2.23728
2,219.24	5.62677	2,219.24	2.29257
2,296.88	6.21348	2,296.88	2.63278
2,378.91	6.39867	2,378.91	2.76689
2,462.4	6.60187	2,462.4	2.65981
2,548.83	6.30733	2,548.83	2.54862
2,639.65	6.5926	2,639.65	2.69228
2,731.93	6.78662	2,731.93	2.7687
2,828.61	7.03894	2,828.61	2.88891
2,928.22	7.15012	2,928.22	2.8893
3,030.76	7.2057	3,030.76	2.90519
3,137.7	7.51679	3,137.7	3.00587
3,249.02	8.00732	3,249.02	3.27363
3,363.28	8.43302	3,363.28	3.51347
3,481.93	8.46341	3,481.93	3.46338
3,604.98	7.98835	3,604.98	3.09406
3,732.42	7.34251	3,732.42	2.66249
3,864.26	6.87517	3,864.26	2.30747
4,000.49	6.33276	4,000.49	1.96288
4,141.11	6.31642	4,141.11	1.95272
4,287.6	6.48983	4,287.6	2.13537
4,438.48	6.45744	4,438.48	2.11699
4,595.21	6.55852	4,595.21	2.19502
4,756.35	6.78698	4,756.35	2.32913
4,924.8	6.76106	4,924.8	2.4005
5,097.66	6.92932	5,097.66	2.51037
5,277.83	7.13816	5,277.83	2.62754
5,463.87	7.16018	5,463.87	2.63323
5,657.23	7.24971	5,657.23	2.64819
5,856.45	7.44385	5,856.45	2.76859
6,062.99	7.52197	6,062.99	2.84426
6,276.86	7.63566	6,276.86	2.92207
6,498.05	7.83082	6,498.05	3.07813
6,726.56	8.01911	6,726.56	3.31536
6,963.87	8.15442	6,963.87	3.42883
7,209.96	8.32951	7,209.96	3.52481
7,464.84	8.26777	7,464.84	3.41796
7,727.05	8.35174	7,727.05	3.38622
7,999.51	8.61007	7,999.51	3.5213
8,282.23	8.86909	8,282.23	3.68455
8,573.73	9.11785	8,573.73	3.86542
8,876.95	9.24711	8,876.95	3.91988
9,188.96	9.49434	9,188.96	4.04001
9,514.16	9.60081	9,514.16	4.11117
9,849.61	9.7242	9,849.61	4.14012
10,196.8	9.85614	10,196.8	4.19264
10,555.7	9.95874	10,555.7	4.19994
10,927.7	10.0042	10,927.7	4.23273
11,313	9.8771	11,313	4.26864
11,712.9	9.67624	11,712.9	4.29528
12,126	9.72743	12,126	4.35874
12,553.7	9.74722	12,553.7	4.31481
12,996.1	9.77308	12,996.1	4.24402
13,454.6	9.77197	13,454.6	4.15104
13,929.2	9.71958	13,929.2	4.04301
14,419.9	9.67404	14,419.9	3.99464
14,928.2	9.73831	14,928.2	4.00375
15,455.6	9.81234	15,455.6	4.04016
16,000.5	9.89449	16,000.5	4.07579
16,564.5	10.0213	16,564.5	4.11422
17,148.9	10.2414	17,148.9	4.18106
17,752.4	10.4425	17,752.4	4.25152
18,379.4	10.6641	18,379.4	4.30956
19,026.9	10.9238	19,026.9	4.40019
19,697.8	11.1875	19,697.8	4.47564
19,999.5	11.3254	19,999.5	4.50975
