"Estimated In-Room Response"
"Estimated In-Room Response"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	66.5666
21.9727	60.4209
23.4375	68.2884
24.9023	70.4707
26.3672	68.6333
27.832	67.4706
29.2969	69.0314
30.7617	69.2105
32.2266	73.6753
33.6914	75.5697
35.1562	76.953
36.6211	78.657
38.0859	80.4648
39.5508	82.171
41.0156	83.8488
42.4805	85.1984
43.9453	86.5163
45.4102	87.6862
46.875	88.9536
48.3398	90.2356
51.2695	92.4849
52.7344	93.5115
54.1992	94.5087
55.6641	95.4405
58.5938	97.1455
60.0586	97.8264
62.9883	99
64.4531	99.485
67.3828	100.212
68.8477	100.484
71.7773	100.833
74.707	101.003
77.6367	101.024
79.1016	101.006
82.0312	100.97
84.9609	100.912
87.8906	100.759
90.8203	100.649
95.2148	100.513
98.1445	100.405
101.074	100.251
105.469	100.049
108.398	100.051
112.793	99.9693
117.188	99.9544
120.117	99.8426
124.512	99.9371
128.906	99.898
133.301	99.7181
139.16	99.6342
143.555	99.6363
147.949	99.6235
153.809	99.3777
159.668	99.4888
165.527	99.5109
171.387	99.3286
177.246	99.2623
183.105	99.1957
188.965	99.2151
196.289	99.2042
203.613	99.0434
210.938	99.162
218.262	99.0691
225.586	98.8999
232.91	98.2593
241.699	98.6983
250.488	99.0304
259.277	99.0768
268.066	98.9245
276.855	98.8861
287.109	98.6674
297.363	99.0785
307.617	98.8363
319.336	98.6192
329.59	98.6041
341.309	98.8318
353.027	98.7473
366.211	98.9241
379.395	99.1207
392.578	98.825
405.762	98.6645
420.41	98.9265
435.059	98.807
451.172	98.8916
465.82	98.7599
483.398	98.669
499.512	98.7171
517.09	98.7614
536.133	98.6928
555.176	99.3523
574.219	99.3612
594.727	99.2811
615.234	99.6407
637.207	97.4321
659.18	96.4863
682.617	97.3799
707.52	97.6023
732.422	97.0981
757.324	97.1903
785.156	97.3883
811.523	98.005
840.82	97.7929
870.117	97.5788
900.879	97.5774
933.105	97.0421
965.332	97.5281
1,000.49	97.506
1,035.64	94.487
1,072.27	92.7801
1,108.89	95.4577
1,148.44	95.3114
1,189.45	95.3218
1,230.47	96.6115
1,274.41	96.9639
1,319.82	97.3178
1,366.7	97.4256
1,413.57	97.5326
1,463.38	97.4235
1,516.11	96.6109
1,568.85	95.9084
1,624.51	95.9698
1,681.64	96.4784
1,741.7	96.4385
1,803.22	95.9183
1,866.21	94.9058
1,932.13	94.5815
1,999.51	95.4804
2,069.82	95.4767
2,143.07	94.1663
2,219.24	93.2948
2,296.88	94.7379
2,378.91	96.3672
2,462.4	97.4664
2,548.83	97.1598
2,639.65	96.5112
2,731.93	96.4256
2,828.61	97.0984
2,928.22	97.6041
3,030.76	97.6561
3,137.7	97.561
3,249.02	97.4233
3,363.28	97.5254
3,481.93	97.8321
3,604.98	97.5914
3,732.42	98.0269
3,864.26	98.0659
4,000.49	98.6232
4,141.11	99.4136
4,287.6	99.8052
4,438.48	100.032
4,595.21	99.4887
4,756.35	99.904
4,924.8	100.198
5,097.66	99.8191
5,277.83	99.7217
5,463.87	99.6697
5,657.23	99.4045
5,856.45	98.7514
6,062.99	99.2968
6,276.86	98.8589
6,498.05	99.0666
6,726.56	98.8538
6,963.87	98.8921
7,209.96	99.2074
7,464.84	98.7751
7,727.05	98.8575
7,999.51	98.2164
8,282.23	97.8896
8,573.73	97.6089
8,876.95	97.8317
9,188.96	97.8404
9,514.16	97.7569
9,849.61	97.3251
10,196.8	97.0082
10,555.7	96.8396
10,927.7	96.7086
11,313	96.6866
11,712.9	96.6928
12,126	96.8408
12,553.7	96.9802
12,996.1	97.014
13,454.6	96.7605
13,929.2	96.6295
14,419.9	96.4676
14,928.2	96.7616
15,455.6	97.3494
16,000.5	97.8094
16,564.5	97.9742
17,148.9	97.9944
17,752.4	97.644
18,379.4	97.0072
19,026.9	96.1907
19,697.8	95.1563
19,999.5	94.6174
