"CEA2034"
"On Axis"		"Listening Window"		"Early Reflections"		"Sound Power"		"Sound Power DI"		"Early Reflections DI"		"DI offset"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
105.469	94.0578	105.469	94.0521	105.469	93.9759	105.469	93.8594	105.469	50.1722	105.469	50.0557	105.469	49.9794
108.398	94.3351	108.398	94.3224	108.398	94.196	108.398	94.0073	108.398	50.2945	108.398	50.1059	108.398	49.9794
112.793	94.5306	112.793	94.5143	112.793	94.3465	112.793	94.0662	112.793	50.4275	112.793	50.1472	112.793	49.9794
117.188	94.4523	117.188	94.4369	117.188	94.2883	117.188	94.0445	117.188	50.3718	117.188	50.128	117.188	49.9794
120.117	94.5216	120.117	94.5039	120.117	94.3392	120.117	94.0848	120.117	50.3984	120.117	50.1441	120.117	49.9794
124.512	94.6652	124.512	94.6482	124.512	94.4676	124.512	94.1639	124.512	50.4637	124.512	50.16	124.512	49.9794
128.906	94.4644	128.906	94.4561	128.906	94.3379	128.906	94.1257	128.906	50.3099	128.906	50.0977	128.906	49.9794
133.301	94.5229	133.301	94.5066	133.301	94.3663	133.301	94.1787	133.301	50.3073	133.301	50.1197	133.301	49.9794
139.16	94.6684	139.16	94.6443	139.16	94.4549	139.16	94.202	139.16	50.4216	139.16	50.1688	139.16	49.9794
143.555	94.7664	143.555	94.735	143.555	94.5093	143.555	94.2308	143.555	50.4836	143.555	50.2051	143.555	49.9794
147.949	94.8957	147.949	94.86	147.949	94.5918	147.949	94.24	147.949	50.5994	147.949	50.2476	147.949	49.9794
153.809	94.6438	153.809	94.609	153.809	94.3584	153.809	94.0291	153.809	50.5593	153.809	50.23	153.809	49.9794
159.668	94.7871	159.668	94.7574	159.668	94.5417	159.668	94.262	159.668	50.4749	159.668	50.1951	159.668	49.9794
165.527	94.8029	165.527	94.7596	165.527	94.4898	165.527	94.1854	165.527	50.5535	165.527	50.2491	165.527	49.9794
171.387	94.711	171.387	94.671	171.387	94.3972	171.387	94.0794	171.387	50.5711	171.387	50.2532	171.387	49.9794
177.246	94.9549	177.246	94.8843	177.246	94.4644	177.246	94.019	177.246	50.8447	177.246	50.3993	177.246	49.9794
183.105	94.908	183.105	94.8532	183.105	94.442	183.105	93.8562	183.105	50.9763	183.105	50.3906	183.105	49.9794
188.965	94.663	188.965	94.6047	188.965	94.2293	188.965	93.7931	188.965	50.7911	188.965	50.3548	188.965	49.9794
196.289	94.8803	196.289	94.8095	196.289	94.4072	196.289	93.958	196.289	50.8309	196.289	50.3817	196.289	49.9794
203.613	95.0875	203.613	94.9996	203.613	94.4574	203.613	93.7497	203.613	51.2293	203.613	50.5216	203.613	49.9794
210.938	94.826	210.938	94.7477	210.938	94.2473	210.938	93.6191	210.938	51.1081	210.938	50.4798	210.938	49.9794
218.262	94.7413	218.262	94.6618	218.262	94.1964	218.262	93.7027	218.262	50.9384	218.262	50.4447	218.262	49.9794
225.586	95.2301	225.586	95.1206	225.586	94.4945	225.586	93.7834	225.586	51.3165	225.586	50.6055	225.586	49.9794
232.91	95.2458	232.91	95.1393	232.91	94.4832	232.91	93.6419	232.91	51.4768	232.91	50.6355	232.91	49.9794
241.699	95.0995	241.699	95.0232	241.699	94.4361	241.699	93.5809	241.699	51.4217	241.699	50.5664	241.699	49.9794
250.488	95.3431	250.488	95.2384	250.488	94.5617	250.488	93.6542	250.488	51.5635	250.488	50.6561	250.488	49.9794
259.277	95.4758	259.277	95.3757	259.277	94.6454	259.277	93.7089	259.277	51.6463	259.277	50.7098	259.277	49.9794
268.066	94.8371	268.066	94.775	268.066	94.2585	268.066	93.4411	268.066	51.3133	268.066	50.4959	268.066	49.9794
276.855	94.9806	276.855	94.8693	276.855	94.2661	276.855	93.5518	276.855	51.2969	276.855	50.5826	276.855	49.9794
287.109	95.0524	287.109	94.9388	287.109	94.1901	287.109	93.404	287.109	51.5142	287.109	50.7281	287.109	49.9794
297.363	95.9805	297.363	95.8041	297.363	94.7335	297.363	93.524	297.363	52.2595	297.363	51.05	297.363	49.9794
