* Measurement data measured by REW V5.19
* Source: Fireface UFX+ (24006088), Fireface UFX+ (24006088), 15, volume: no control. Timing signal peak level -15.8 dBFS, measurement signal peak level -13.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  Using an acoustic timing reference
* Dated: Mar 16, 2021 5:26:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.289±0.010 ms (-99 mm, -3.90 in) using estimated IR delay relative to Acoustic reference on  L
* Measurement: L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
68.115, 72.493, 53.070
68.481, 72.381, 43.825
68.848, 72.236, 34.605
69.214, 72.091, 25.447
69.580, 71.972, 16.257
69.946, 71.889, 6.867
70.312, 71.836, -2.877
70.679, 71.795, -13.035
71.045, 71.745, -23.536
71.411, 71.676, -34.205
71.777, 71.597, -44.827
72.144, 71.532, -55.214
72.510, 71.518, -65.278
72.876, 71.590, -75.071
73.242, 71.774, -84.761
73.608, 72.065, -94.560
73.975, 72.445, -104.636
74.341, 72.884, -115.071
74.707, 73.352, -125.871
75.073, 73.827, -137.008
75.439, 74.290, -148.449
75.806, 74.725, -160.168
76.172, 75.116, -172.142
76.538, 75.443, 175.671
76.904, 75.691, 163.335
77.271, 75.845, 150.947
77.637, 75.892, 138.629
78.003, 75.826, 126.528
78.369, 75.648, 114.812
78.735, 75.363, 103.665
79.102, 74.985, 93.282
79.468, 74.540, 83.852
79.834, 74.071, 75.521
80.200, 73.635, 68.327
80.566, 73.293, 62.133
80.933, 73.099, 56.595
81.299, 73.077, 51.222
81.665, 73.214, 45.512
82.031, 73.471, 39.075
82.397, 73.796, 31.677
82.764, 74.133, 23.221
83.130, 74.433, 13.713
83.496, 74.652, 3.239
83.862, 74.753, -8.052
84.229, 74.709, -19.958
84.595, 74.502, -32.245
84.961, 74.122, -44.655
85.327, 73.575, -56.933
85.693, 72.877, -68.847
86.060, 72.058, -80.225
86.426, 71.151, -90.994
86.792, 70.192, -101.203
87.158, 69.202, -111.010
87.524, 68.181, -120.616
87.891, 67.111, -130.168
88.257, 65.960, -139.697
88.623, 64.701, -149.113
88.989, 63.318, -158.252
89.355, 61.808, -166.957
89.722, 60.175, -175.156
90.088, 58.413, 177.102
90.454, 56.474, 169.714
90.820, 54.247, 162.731
91.187, 51.520, 156.788
91.553, 47.938, 154.246
91.919, 43.124, 163.858
92.285, 40.267, -154.855
92.651, 43.864, -126.552
93.018, 47.188, -124.285
93.384, 49.362, -129.738
93.750, 50.845, -137.415
94.116, 51.968, -145.618
94.482, 52.948, -153.900
94.849, 53.915, -162.394
95.215, 54.909, -171.408
95.581, 55.905, 178.891
95.947, 56.856, 168.603
96.313, 57.721, 158.035
96.680, 58.488, 147.564
97.046, 59.166, 137.518
97.412, 59.785, 128.079
97.778, 60.378, 119.250
98.145, 60.965, 110.876
98.511, 61.546, 102.751
98.877, 62.096, 94.734
99.243, 62.591, 86.822
99.609, 63.014, 79.126
99.976, 63.367, 71.799
100.342, 63.669, 64.937
100.708, 63.947, 58.518
101.074, 64.215, 52.410
101.440, 64.469, 46.463
101.807, 64.687, 40.615
102.173, 64.847, 34.958
102.539, 64.941, 29.701
102.905, 64.990, 25.073
103.271, 65.033, 21.197
103.638, 65.117, 18.008
104.004, 65.271, 15.287
104.370, 65.499, 12.806
104.736, 65.793, 10.445
105.103, 66.152, 8.176
105.469, 66.595, 5.926
105.835, 67.140, 3.452
106.201, 67.781, 0.381
106.567, 68.471, -3.607
106.934, 69.147, -8.619
107.300, 69.748, -14.534
107.666, 70.235, -21.089
108.032, 70.594, -27.982
108.398, 70.828, -34.942
108.765, 70.956, -41.773
109.131, 71.002, -48.368
109.497, 70.989, -54.700
109.863, 70.935, -60.806
110.229, 70.852, -66.758
110.596, 70.739, -72.641
110.962, 70.591, -78.524
111.328, 70.397, -84.442
111.694, 70.144, -90.387
112.061, 69.817, -96.302
112.427, 69.406, -102.095
112.793, 68.909, -107.663
113.159, 68.327, -112.918
113.525, 67.663, -117.802
113.892, 66.910, -122.280
114.258, 66.054, -126.289
114.624, 65.072, -129.662
114.990, 63.940, -132.041
115.356, 62.659, -132.825
115.723, 61.289, -131.191
116.089, 60.000, -126.403
116.455, 59.078, -118.603
116.821, 58.758, -109.540
117.188, 58.999, -101.612
117.554, 59.552, -96.032
117.920, 60.200, -92.684
118.286, 60.830, -91.007
118.652, 61.399, -90.499
119.019, 61.892, -90.795
119.385, 62.307, -91.616
119.751, 62.647, -92.737
120.117, 62.925, -93.993
120.483, 63.156, -95.293
120.850, 63.352, -96.605
121.216, 63.516, -97.920
121.582, 63.647, -99.197
121.948, 63.747, -100.350
122.314, 63.828, -101.286
122.681, 63.911, -101.962
123.047, 64.019, -102.435
123.413, 64.163, -102.842
123.779, 64.339, -103.323
124.146, 64.531, -103.950
124.512, 64.727, -104.703
124.878, 64.922, -105.522
125.244, 65.120, -106.369
125.610, 65.328, -107.260
125.977, 65.552, -108.251
126.343, 65.787, -109.411
126.709, 66.026, -110.791
