* Measurement data measured by REW V5.19
* Source: Fireface UFX+ (24006088), Fireface UFX+ (24006088), 15, volume: no control. Timing signal peak level -14.9 dBFS, measurement signal peak level -13.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  Using an acoustic timing reference
* Dated: Mar 16, 2021 5:25:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 0.253±0.010 ms (87 mm, 3.42 in) using estimated IR delay relative to Acoustic reference on  R
* Measurement: R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.142, 68.746, 35.604
20.508, 69.452, 19.950
20.874, 70.019, 4.761
21.240, 70.496, -9.978
21.606, 70.889, -24.337
21.973, 71.208, -38.408
22.339, 71.458, -52.265
22.705, 71.617, -65.942
23.071, 71.674, -79.440
23.438, 71.613, -92.731
23.804, 71.421, -105.763
24.170, 71.063, -118.437
24.536, 70.496, -130.558
24.902, 69.684, -141.751
25.269, 68.590, -151.341
25.635, 67.216, -158.179
26.001, 65.678, -160.544
26.367, 64.396, -156.883
26.733, 64.069, -148.746
27.100, 64.900, -141.755
27.466, 66.343, -139.395
27.832, 67.900, -141.189
28.198, 69.393, -145.871
28.564, 70.771, -152.655
28.931, 72.005, -161.092
29.297, 73.063, -170.792
29.663, 73.927, 178.672
30.029, 74.604, 167.729
30.396, 75.117, 156.728
30.762, 75.508, 145.848
31.128, 75.827, 135.040
31.494, 76.099, 124.057
31.860, 76.311, 112.596
32.227, 76.416, 100.463
32.593, 76.342, 87.682
32.959, 76.024, 74.496
33.325, 75.415, 61.339
33.691, 74.484, 48.808
34.058, 73.223, 37.680
34.424, 71.676, 28.905
34.790, 69.988, 23.444
35.156, 68.420, 21.669
35.522, 67.249, 22.508
35.889, 66.533, 23.833
36.255, 66.079, 24.377
36.621, 65.704, 24.397
36.987, 65.384, 24.630
37.354, 65.204, 25.264
37.720, 65.222, 25.770
38.086, 65.386, 25.532
38.452, 65.593, 24.453
38.818, 65.787, 22.914
39.185, 65.978, 21.358
39.551, 66.224, 19.954
39.917, 66.574, 18.496
40.283, 67.041, 16.559
40.649, 67.593, 13.756
41.016, 68.177, 9.891
41.382, 68.738, 4.961
41.748, 69.225, -0.906
