* Measurement data measured by REW V5.19
* Source: Fireface UFX+ (24006088), Fireface UFX+ (24006088), 15, volume: no control. Timing signal peak level -15.8 dBFS, measurement signal peak level -13.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  Using an acoustic timing reference
* Dated: Mar 16, 2021 5:26:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.289±0.010 ms (-99 mm, -3.90 in) using estimated IR delay relative to Acoustic reference on  L
* Measurement: L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.6 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.586, 68.485, 6.803
21.189, 68.599, -16.383
21.810, 68.491, -33.143
22.449, 68.600, -46.460
23.107, 69.263, -58.174
23.784, 70.433, -71.922
24.481, 71.590, -89.882
25.198, 72.181, -111.019
25.937, 71.914, -131.694
26.697, 71.059, -146.365
27.479, 70.952, -154.368
28.284, 71.966, -166.107
29.113, 72.588, 175.423
29.966, 72.342, 157.283
30.844, 71.816, 142.217
31.748, 71.000, 128.283
32.678, 69.824, 121.013
33.636, 70.154, 119.053
34.621, 71.346, 107.852
35.636, 71.799, 92.452
36.680, 71.928, 78.477
37.755, 71.902, 65.641
38.861, 71.872, 55.477
40.000, 72.337, 46.289
41.172, 73.102, 33.727
42.379, 73.577, 18.600
43.620, 73.910, 3.945
44.898, 74.355, -11.329
46.214, 74.670, -28.074
47.568, 74.813, -43.882
48.962, 75.536, -60.679
50.397, 76.140, -85.538
51.874, 75.647, -114.911
53.394, 73.459, -144.526
54.958, 69.790, -159.995
56.569, 66.615, -163.469
58.226, 65.541, -152.041
59.932, 68.773, -148.669
61.688, 72.189, -176.021
63.496, 72.868, 147.309
65.357, 72.651, 111.781
67.272, 72.527, 73.126
69.243, 72.109, 24.740
71.272, 71.695, -30.081
73.360, 71.991, -87.986
75.510, 74.385, -150.919
77.723, 75.744, 136.234
80.000, 74.002, 73.605
82.344, 73.803, 31.407
84.757, 74.154, -37.664
87.241, 69.303, -112.765
89.797, 60.714, -175.865
92.428, 47.134, -156.946
95.137, 55.082, -170.398
97.924, 60.733, 116.705
100.794, 63.995, 57.746
103.747, 65.313, 18.123
106.787, 68.956, -8.483
109.916, 70.828, -61.287
113.137, 68.364, -111.528
116.452, 60.671, -116.235
119.865, 62.635, -93.692
123.377, 64.237, -102.832
126.992, 66.168, -112.740
130.713, 66.616, -127.169
134.543, 69.983, -134.568
138.486, 70.626, -170.170
