"Vertical Reflections"
"Floor Reflection"		"Ceiling Reflection"		"Total Vertical Reflection"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.1416	70.0248	20.1416	70.0055	20.1416	70.0151
20.5078	70.3588	20.5078	70.3314	20.5078	70.3451
21.2402	70.9389	21.2402	70.9053	21.2402	70.9221
21.9727	71.4864	21.9727	71.4645	21.9727	71.4754
22.7051	71.9308	22.7051	71.9069	22.7051	71.9189
23.8037	72.6701	23.8037	72.6388	23.8037	72.6545
24.5361	73.1045	24.5361	73.072	24.5361	73.0883
25.2686	73.5322	25.2686	73.4984	25.2686	73.5153
26.3672	74.1505	26.3672	74.1112	26.3672	74.1309
27.0996	74.6084	27.0996	74.5665	27.0996	74.5875
28.1982	75.2784	28.1982	75.2233	28.1982	75.2509
29.2969	75.7762	29.2969	75.6907	29.2969	75.7337
30.0293	76.1548	30.0293	76.0867	30.0293	76.1209
31.1279	76.7945	31.1279	76.7161	31.1279	76.7555
32.2266	77.0654	32.2266	77.0086	32.2266	77.0371
33.3252	77.7376	33.3252	77.6462	33.3252	77.6921
34.79	78.0881	34.79	77.9417	34.79	78.0155
35.8887	77.8213	35.8887	77.7564	35.8887	77.789
36.9873	78.1763	36.9873	78.1643	36.9873	78.1703
38.4521	78.5512	38.4521	78.5968	38.4521	78.5741
39.917	78.9714	39.917	79.0751	39.917	79.0235
41.3818	80.3576	41.3818	80.3315	41.3818	80.3446
42.8467	80.8166	42.8467	80.7937	42.8467	80.8052
44.3115	81.1418	44.3115	81.1282	44.3115	81.135
45.7764	81.5937	45.7764	81.5787	45.7764	81.5862
47.2412	81.9984	47.2412	81.9849	47.2412	81.9916
49.0723	82.51	49.0723	82.4888	49.0723	82.4994
50.9033	82.9857	50.9033	82.9669	50.9033	82.9763
52.7344	83.3867	52.7344	83.367	52.7344	83.3768
54.5654	83.8757	54.5654	83.853	54.5654	83.8644
56.3965	84.3153	56.3965	84.2916	56.3965	84.3035
58.2275	84.7044	58.2275	84.6765	58.2275	84.6905
